Period Ending,"Sep '25Sep 30, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017"
Revenue,281.49,202.7,143.99,283.61,218.81,116.16,84.07,85.21,101.07
Revenue Growth (YoY),59.04%,40.77%,-49.23%,29.61%,88.37%,38.16%,-1.34%,-15.68%,-
Cost of Revenue,134.54,98.2,61.91,100.64,79.35,58.22,44.52,49.01,53.15
Gross Profit,146.95,104.49,82.09,182.96,139.46,57.93,39.56,36.21,47.92
"Selling, General & Admin",113.38,102.16,83.97,76.53,54.52,34.89,20.64,21.22,21.34
Research & Development,121.43,108.36,101.49,99.29,54.5,30.69,23.8,22.78,20.99
Operating Expenses,234.81,210.51,185.46,175.82,109.02,65.59,44.43,44,42.33
Operating Income,-87.87,-106.02,-103.37,7.14,30.44,-7.65,-4.87,-7.79,5.59
Interest Expense,-,-,-,-,-,-,-1.71,-1.51,-0.87
Interest & Investment Income,21.92,22.88,26.96,7.29,-,-,-,-,-
Other Non Operating Income (Expenses),-0.76,-0.76,-0.14,-0.1,-0.49,-0.76,-0.03,-0.07,-0.03
EBT Excluding Unusual Items,-66.4,-83.89,-76.56,14.34,29.96,-8.41,-6.62,-9.37,4.69
Merger & Restructuring Charges,-5.4,-10.72,-7.73,-,-,-,-,-,-
Asset Writedown,-,-,-,-,-,-0.96,-,-,-
Other Unusual Items,1.5,1.5,3.9,9,2.4,-,-,-,-
Pretax Income,-70.3,-93.12,-80.38,23.34,32.36,-9.37,-6.62,-9.37,4.69
Income Tax Expense,0.59,0.49,0.15,0.08,0.08,0,-0.01,-0.03,-0.03
Net Income,-70.88,-93.6,-80.54,23.25,32.28,-9.37,-6.61,-9.34,4.72
Net Income to Common,-70.88,-93.6,-80.54,23.25,32.28,-9.37,-6.61,-9.34,4.72
Net Income Growth,-,-,-,-27.96%,-,-,-,-,-
Shares Outstanding (Basic),24,23,22,21,19,16,11,10,10
Shares Outstanding (Diluted),24,23,22,23,21,16,11,10,10
Shares Change (YoY),6.08%,4.19%,-2.10%,7.19%,31.62%,52.15%,5.58%,-,-
EPS (Basic),-2.92,-4.05,-3.63,1.09,1.70,-0.58,-0.63,-0.93,0.47
EPS (Diluted),-2.92,-4.05,-3.63,1.03,1.53,-0.58,-0.63,-0.93,0.47
EPS Growth,-,-,-,-32.68%,-,-,-,-,-
Free Cash Flow,19.74,-13.03,-0.89,7.96,28.2,10.51,5.95,-3.36,-1.92
Free Cash Flow Per Share,0.81,-0.56,-0.04,0.35,1.33,0.65,0.56,-0.34,-0.19
Gross Margin,52.20%,51.55%,57.01%,64.51%,63.74%,49.87%,47.05%,42.49%,47.41%
Operating Margin,-31.21%,-52.30%,-71.79%,2.52%,13.91%,-6.59%,-5.80%,-9.14%,5.53%
Profit Margin,-25.18%,-46.18%,-55.93%,8.20%,14.75%,-8.07%,-7.86%,-10.96%,4.67%
Free Cash Flow Margin,7.01%,-6.43%,-0.62%,2.81%,12.89%,9.04%,7.08%,-3.94%,-1.90%
EBITDA,-50.47,-75.95,-87.24,18.99,38.37,-1.25,3.4,-0.38,9.14
EBITDA Margin,-17.93%,-37.47%,-60.59%,6.69%,17.54%,-1.08%,4.04%,-0.44%,9.04%
D&A For EBITDA,37.4,30.07,16.13,11.84,7.93,6.4,8.27,7.41,3.55
EBIT,-87.87,-106.02,-103.37,7.14,30.44,-7.65,-4.87,-7.79,5.59
EBIT Margin,-31.21%,-52.30%,-71.79%,2.52%,13.91%,-6.59%,-5.80%,-9.14%,5.53%
Effective Tax Rate,-,-,-,0.35%,0.24%,-,-,-,-
Advertising Expenses,-,1.5,1.6,2.3,1.5,0.3,0.3,0.2,0.2
