Period Ending,"Nov '25Nov 13, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017"
Market Capitalization,"7,534","5,012","2,741","2,179","5,925","1,896",381,-,-
Market Cap Growth,74.35%,82.82%,25.83%,-63.23%,212.49%,397.54%,-,-,-
Enterprise Value,"6,729","4,584","2,182","1,626","5,666","1,835",428,-,-
Last Close Price,305.85,214.53,122.08,101.62,292.54,111.93,25.50,-,-
PE Ratio,-,-,-,93.69,183.57,-,-,-,-
Forward PE,70.30,169.46,162.08,64.03,85.29,158.03,-,-,-
PS Ratio,26.38,24.73,19.04,7.68,27.08,16.32,4.53,-,-
PB Ratio,7.23,7.16,3.87,3.08,9.37,17.26,6.13,-,-
P/TBV Ratio,8.72,11.16,6.18,3.10,9.46,17.59,6.61,-,-
P/FCF Ratio,381.65,-,-,273.74,210.11,180.48,64.03,-,-
P/OCF Ratio,100.10,216.12,340.30,54.81,100.29,114.20,51.65,-,-
PEG Ratio,-,2.73,2.73,2.73,5.69,14.77,-,-,-
EV/Sales Ratio,23.91,22.61,15.15,5.73,25.89,15.80,5.09,-,-
EV/EBITDA Ratio,-,-,-,85.63,147.67,-,125.87,-,-
EV/EBIT Ratio,-,-,-,227.63,186.11,-,-,-,-
EV/FCF Ratio,340.87,-,-,204.26,200.92,174.71,71.90,-,-
Debt / Equity Ratio,0.00,0.01,0.01,0.02,0.01,0.08,0.82,4.18,2.43
Debt / EBITDA Ratio,-,-,-,0.44,0.19,7.29,9.03,-,4.71
Debt / FCF Ratio,0.23,-,-,1.34,0.27,0.79,8.54,-,-
Asset Turnover,0.26,0.22,0.17,0.40,0.54,0.90,0.86,1.16,-
Inventory Turnover,1.70,1.38,1.00,2.48,4.41,4.80,2.74,2.73,-
Quick Ratio,7.52,4.21,4.53,17.91,15.99,5.13,1.54,0.49,0.58
Current Ratio,8.42,5.02,5.13,19.80,16.74,5.91,1.87,0.91,0.99
Return on Equity (ROE),-7.88%,-13.30%,-11.37%,3.47%,8.70%,-10.90%,-18.06%,-65.12%,-
Return on Assets (ROA),-5.10%,-7.22%,-7.59%,0.63%,4.67%,-3.69%,-3.11%,-6.60%,-
Return on Capital (ROIC),-6.07%,-9.32%,-9.00%,0.66%,5.02%,-4.14%,-3.58%,-8.27%,-
Return on Capital Employed (ROCE),-,-,-,1.00%,4.80%,-,-,-,27.50%
Earnings Yield,-0.94%,-1.87%,-2.94%,1.07%,0.55%,-0.49%,-1.73%,-,-
FCF Yield,0.26%,-0.26%,-0.03%,0.36%,0.48%,0.55%,1.56%,-,-
Buyback Yield / Dilution,-6.08%,-4.19%,2.10%,-7.19%,-31.62%,-52.15%,-5.58%,-,-
