Period Ending,"Jun '25Jun 30, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017"
Operating Revenue,"8,437","7,785","7,046","8,177","9,057","6,540","3,945","2,205","1,218"
Other Revenue,-,0.15,1.73,2.85,3.88,37.77,11.2,13.29,18.21
Revenue,"8,437","7,785","7,047","8,180","9,061","6,577","3,956","2,218","1,236"
Revenue Growth (YoY),20.27%,10.47%,-13.85%,-9.72%,37.76%,66.25%,78.36%,79.47%,-
Cost of Revenue,"7,050","6,444","6,197","7,751","8,709","6,220","3,949","2,419","1,354"
Gross Profit,"1,386","1,341",850.17,429.54,351.29,356.98,7.71,-200.39,-118.19
"Selling, General & Admin","1,385","1,314","1,520","1,710","1,120",789.1,556.07,338.52,209.51
Research & Development,830.52,845.99,784.81,971.22,"1,044",775.13,595.17,440.52,399.21
Operating Expenses,"2,215","2,160","2,305","2,681","2,164","1,564","1,151",779.04,608.72
Operating Income,-828.75,-819.29,"-1,455","-2,251","-1,812","-1,207","-1,144",-979.43,-726.91
Interest Expense,-326.79,-229.71,-146.03,-137.81,-52.04,-9.45,-4.93,-38.83,-36.41
Interest & Investment Income,25.16,27.01,78.41,80.74,71.94,77.12,78.61,116.5,19.63
Currency Exchange Gain (Loss),4,-21.95,-57.21,-334.63,37.82,188.8,-38.96,-102.2,25.86
Other Non Operating Income (Expenses),26.28,-6.38,100.36,23.01,87.94,-13.05,6.61,7.14,4.24
EBT Excluding Unusual Items,"-1,102","-1,050","-1,479","-2,620","-1,667",-963.84,"-1,102",-996.81,-713.58
Gain (Loss) on Sale of Investments,5.5,-10.53,-18.24,-15.29,92.86,14.3,-,-,-
Gain (Loss) on Sale of Assets,-,-,-,-,7.11,2.24,-,-,-
Asset Writedown,-919.72,-919.72,-653.67,-,-,-,-,-,-
Other Unusual Items,-,-,-14.43,-28.52,-9.25,-,-,-,-
Pretax Income,"-2,016","-1,981","-2,166","-2,664","-1,576",-947.29,"-1,102",-996.81,-713.58
Income Tax Expense,18.54,-1.52,17.96,24.47,15.74,14.9,9,9.63,0.67
Earnings From Continuing Operations,"-2,035","-1,979","-2,184","-2,688","-1,592",-962.2,"-1,111","-1,006",-714.25
Minority Interest in Earnings,9.2,12.36,7.31,30.2,3.04,-0.06,-,-,-
Net Income,"-2,025","-1,967","-2,176","-2,658","-1,589",-962.26,"-1,111","-1,006",-714.25
Preferred Dividends & Other Adjustments,-,-,-,-,-,19.77,49.73,742.47,605.52
Net Income to Common,"-2,025","-1,967","-2,176","-2,658","-1,589",-982.03,"-1,161","-1,749","-1,320"
Shares Outstanding (Basic),252,244,237,242,229,160,59,53,53
Shares Outstanding (Diluted),252,244,237,242,229,160,59,53,53
Shares Change (YoY),4.87%,2.80%,-1.81%,5.29%,43.35%,169.91%,12.11%,-,-
EPS (Basic),-8.05,-8.06,-9.17,-11.00,-6.92,-6.14,-19.58,-33.06,-24.95
EPS (Diluted),-8.05,-8.06,-9.17,-11.00,-6.92,-6.14,-19.58,-33.06,-24.95
Free Cash Flow,"-1,832","-3,044","-2,128","-1,230","-1,432","-1,850","-1,439","-1,478",-480.61
Free Cash Flow Per Share,-7.28,-12.48,-8.97,-5.09,-6.24,-11.56,-24.26,-27.94,-9.09
Gross Margin,16.43%,17.22%,12.06%,5.25%,3.88%,5.43%,0.19%,-9.03%,-9.56%
Operating Margin,-9.82%,-10.52%,-20.64%,-27.52%,-20.00%,-18.36%,-28.90%,-44.16%,-58.81%
Profit Margin,-24.01%,-25.26%,-30.88%,-32.50%,-17.53%,-14.93%,-29.34%,-78.84%,-106.78%
Free Cash Flow Margin,-21.71%,-39.09%,-30.19%,-15.03%,-15.81%,-28.13%,-36.36%,-66.62%,-38.88%
EBITDA,918.81,443.8,-514.4,"-1,094",-956.79,-449.21,-538.95,-567.07,-429.26
EBITDA Margin,10.89%,5.70%,-7.30%,-13.37%,-10.56%,-6.83%,-13.62%,-25.56%,-34.73%
D&A For EBITDA,"1,748","1,263",940.48,"1,157",855.6,758.04,604.58,412.35,297.65
EBIT,-828.75,-819.29,"-1,455","-2,251","-1,812","-1,207","-1,144",-979.43,-726.91
EBIT Margin,-9.82%,-10.52%,-20.64%,-27.52%,-20.00%,-18.36%,-28.90%,-44.16%,-58.81%
Revenue as Reported,"8,437","7,785","7,047","8,180","9,061","6,577","3,956","2,218","1,236"
Advertising Expenses,-,4.69,9.11,9.51,24.07,15.35,29.27,23.03,11.9
