Period Ending,"Nov '25Nov 18, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017"
Market Capitalization,"3,839","2,508",884,929,"3,806","9,495",-,-,-
Market Cap Growth,483.97%,183.63%,-4.87%,-75.58%,-59.91%,-,-,-,-
Enterprise Value,"4,592","2,887",733,585,"3,210","8,594",-,-,-
Last Close Price,12.20,10.49,3.78,3.83,15.75,43.55,-,-,-
PS Ratio,2.61,2.35,0.89,0.78,2.67,9.42,-,-,-
PB Ratio,3.48,3.33,0.87,0.67,2.10,7.52,-,-,-
P/TBV Ratio,17.95,-,4.32,2.01,5.03,7.54,-,-,-
P/OCF Ratio,14.63,29.13,-,33.92,-,-,-,-,-
EV/Sales Ratio,3.90,2.71,0.74,0.49,2.25,8.53,-,-,-
EV/EBITDA Ratio,35.81,47.49,-,-,-,-,-,-,-
Debt / Equity Ratio,1.62,1.22,0.36,0.22,0.25,0.07,0.05,0.14,-
Debt / EBITDA Ratio,11.30,12.25,-,-,-,-,-,-,-
Asset Turnover,0.41,0.48,0.44,0.43,0.55,0.73,0.67,-,-
Quick Ratio,0.75,0.57,0.68,1.18,1.48,2.57,1.54,3.13,-
Current Ratio,0.96,0.75,0.89,1.36,1.65,2.75,1.72,3.30,-
Return on Equity (ROE),-29.57%,-31.04%,-25.95%,-25.51%,-16.13%,-16.34%,-29.09%,-,-
Return on Assets (ROA),-2.51%,-3.14%,-5.62%,-7.33%,-6.86%,-8.40%,-12.02%,-,-
Return on Capital (ROIC),-3.57%,-4.65%,-8.45%,-10.82%,-9.78%,-12.01%,-17.02%,-,-
Earnings Yield,-7.52%,-10.75%,-34.72%,-41.47%,-6.57%,-1.55%,-,-,-
FCF Yield,-6.86%,-16.63%,-33.94%,-19.18%,-5.92%,-2.99%,-,-,-
Buyback Yield / Dilution,-4.87%,-2.80%,1.81%,-5.29%,-43.35%,-169.91%,-12.11%,-,-
