Period Ending,"Sep '25Sep 27, 2025","Sep '24Sep 28, 2024","Sep '23Sep 30, 2023","Oct '22Oct 1, 2022","Oct '21Oct 2, 2021","Oct '20Oct 3, 2020","Sep '19Sep 28, 2019","Sep '18Sep 29, 2018","Sep '17Sep 30, 2017","Oct '16Oct 1, 2016"
Cash & Equivalents,926.27,625.86,667.57,529.86,650.03,480.53,454.74,419.53,406.66,398.29
Cash & Short-Term Investments,926.27,625.86,667.57,529.86,650.03,480.53,454.74,419.53,406.66,398.29
Cash Growth,48.00%,-6.25%,25.99%,-18.49%,35.27%,5.67%,8.39%,3.16%,2.10%,-3.39%
Receivables,"1,826","1,722","1,677","1,615","1,526","1,440","1,525","1,177","1,110",973.68
Inventory,"1,988","1,444","1,477","1,684","1,042",861.28,900.56,"1,374","1,052",946.24
Prepaid Expenses,124.66,73.8,50.91,62.04,53.95,37.72,40.95,43.68,47.59,57.45
Other Current Assets,-,5.51,7.34,-,-,-,-,-,-,-
Total Current Assets,"4,865","3,870","3,880","3,891","3,271","2,819","2,921","3,014","2,616","2,376"
"Property, Plant & Equipment",682.35,693.68,728.59,654.67,601,611.79,630.65,642.91,640.28,617.52
Goodwill,-,-,-,-,-,-,-,28.52,59.13,-
Other Intangible Assets,-,-,-,-,-,-,-,-,9.22,-
Long-Term Deferred Tax Assets,171.22,160.7,177.6,209.55,242.26,273.47,279.8,344.12,476.55,514.31
Other Long-Term Assets,139.14,98.03,88.22,80.7,88.94,67.95,74.13,55.15,45.94,117.73
Total Assets,"5,858","4,823","4,874","4,836","4,204","3,773","3,906","4,085","3,847","3,625"
Accounts Payable,"1,579","1,442","1,559","2,041","1,472","1,210","1,337","1,547","1,280","1,121"
Accrued Expenses,347.15,453.61,387.85,346.8,244.63,229.13,226.75,214.18,247.52,251.71
Short-Term Debt,17.5,-,8.45,-,-,-,-,215,85,25
Current Portion of Long-Term Debt,-,17.5,17.5,17.5,27.75,18.75,38.35,378.32,3.42,3.42
Current Portion of Leases,-,22.27,22.34,16.7,17.22,16.66,-,-,-,-
Current Unearned Revenue,878.47,-,-,-,-,-,-,-,-,-
Other Current Liabilities,-,5.32,37.9,49,24,48,81,47,-,-
Total Current Liabilities,"2,822","1,941","2,033","2,471","1,786","1,523","1,683","2,402","1,616","1,401"
Long-Term Debt,282.97,299.82,312.33,329.24,321.57,329.25,346.97,14.35,391.45,434.06
Long-Term Leases,-,44.51,60.66,48.57,38.59,37.02,-,-,-,-
Pension & Post-Retirement Benefits,-,34.9,32.22,37,-,-,-,-,-,-
Other Long-Term Liabilities,214.02,141.42,116.81,129.77,204.95,253.89,232.95,196.05,192.19,180.1
Total Liabilities,"3,319","2,461","2,555","3,016","2,351","2,143","2,263","2,612","2,200","2,015"
Common Stock,"2,539",0.54,0.57,0.57,0.64,0.65,0.7,0.68,0.72,0.73
Additional Paid-In Capital,-,"6,576","6,513","6,381","6,339","6,301","6,267","6,222","6,184","6,120"
Retained Earnings,-,"-2,707","-2,930","-3,240","-3,480","-3,723","-3,863","-4,033","-3,980","-4,119"
Treasury Stock,-,"-1,740","-1,485","-1,378","-1,047",-983.14,-804.12,-791.37,-633.74,-456.8
Comprehensive Income & Other,-,66.74,70.88,56.33,40.69,34.89,42.26,73.94,76.79,65.38
Total Common Equity,"2,539","2,197","2,169","1,820","1,853","1,630","1,643","1,473","1,648","1,610"
Minority Interest,-,164.89,149.68,-,-,-,-,-,-,-
Shareholders' Equity,"2,539","2,362","2,319","1,820","1,853","1,630","1,643","1,473","1,648","1,610"
Total Liabilities & Equity,"5,858","4,823","4,874","4,836","4,204","3,773","3,906","4,085","3,847","3,625"
Total Debt,300.47,384.11,421.28,412,405.13,401.67,385.33,607.67,479.86,462.48
Net Cash (Debt),625.79,241.75,246.29,117.86,244.9,78.85,69.42,-188.14,-73.2,-64.19
Net Cash Growth,158.85%,-1.84%,108.97%,-51.87%,210.57%,13.59%,-,-,-,-
Net Cash Per Share,11.34,4.24,4.12,1.87,3.65,1.11,0.97,-2.69,-0.94,-0.81
Filing Date Shares Outstanding,53.57,53.93,56.84,57.43,64.38,65.07,69.98,68.26,72.02,73.42
Total Common Shares Outstanding,53.57,53.92,56.83,57.39,64.31,65,69.72,67.78,71.66,73.03
Working Capital,"2,043","1,930","1,846","1,419","1,486","1,297","1,238",612.53,"1,000",974.39
Book Value Per Share,47.40,40.74,38.16,31.70,28.81,25.08,23.56,21.73,22.99,22.04
Tangible Book Value,"2,539","2,197","2,169","1,820","1,853","1,630","1,643","1,444","1,579","1,610"
Tangible Book Value Per Share,47.40,40.74,38.16,31.70,28.81,25.08,23.56,21.31,22.04,22.04
Land,-,735.2,677.48,656.84,645.64,657.72,639.67,617.26,607.7,601.47
Machinery,-,"1,777","1,652","1,548","1,517","1,504","1,472","1,501","1,476","1,424"
Construction In Progress,-,20.34,124.66,91.93,40.52,3.75,39.42,47.73,37.86,34.42
Leasehold Improvements,-,46.07,44.62,42.79,44.9,44.79,44.02,56.19,55.69,54
