Period Ending,"Nov '25Nov 14, 2025","Sep '25Sep 27, 2025","Sep '24Sep 28, 2024","Sep '23Sep 30, 2023","Oct '22Oct 1, 2022","Oct '21Oct 2, 2021","Oct '20Oct 3, 2020","Sep '19Sep 28, 2019","Sep '18Sep 29, 2018","Sep '17Sep 30, 2017","Oct '16Oct 1, 2016"
Market Capitalization,"8,750","6,080","3,764","3,106","2,664","2,550","1,799","2,235","1,876","2,800","2,104"
Market Cap Growth,123.02%,61.56%,21.16%,16.62%,4.44%,41.76%,-19.52%,19.18%,-33.01%,33.08%,22.38%
Enterprise Value,"8,182","5,827","3,652","3,016","2,541","2,339","1,746","2,344","2,097","2,759","2,212"
Last Close Price,160.37,114.11,68.87,54.28,46.08,39.18,26.55,32.12,27.60,37.15,28.47
PE Ratio,35.96,24.73,16.91,10.02,11.08,10.22,13.51,15.80,-,20.17,11.20
Forward PE,16.62,17.12,11.84,8.42,8.40,9.79,9.06,9.15,10.34,11.94,10.70
PS Ratio,1.06,0.75,0.50,0.35,0.34,0.38,0.26,0.27,0.26,0.41,0.33
PB Ratio,3.64,2.40,1.59,1.34,1.46,1.38,1.10,1.36,1.27,1.70,1.31
P/TBV Ratio,3.72,2.40,1.71,1.43,1.46,1.38,1.10,1.36,1.30,1.77,1.31
P/FCF Ratio,18.30,12.72,16.43,70.92,13.86,9.62,7.67,9.00,49.96,20.13,7.80
P/OCF Ratio,14.10,9.80,11.06,13.21,8.05,7.54,5.99,5.84,11.99,11.16,5.39
PEG Ratio,0.66,1.26,1.02,0.52,0.57,0.66,0.71,0.71,0.70,0.81,0.61
EV/Sales Ratio,1.01,0.72,0.48,0.34,0.32,0.35,0.25,0.28,0.30,0.40,0.34
EV/EBITDA Ratio,15.90,11.32,7.80,5.20,5.49,6.15,4.76,5.62,7.04,7.96,6.50
EV/EBIT Ratio,20.71,14.75,10.56,6.53,7.17,8.63,6.91,7.82,11.70,12.11,9.68
EV/FCF Ratio,17.11,12.19,15.95,68.85,13.22,8.83,7.44,9.44,55.85,19.83,8.20
Debt / Equity Ratio,0.12,0.12,0.16,0.18,0.23,0.22,0.25,0.24,0.41,0.29,0.29
Debt / EBITDA Ratio,0.58,0.58,0.77,0.68,0.85,1.01,1.04,0.92,2.04,1.38,1.36
Debt / FCF Ratio,0.63,0.63,1.68,9.62,2.14,1.53,1.71,1.55,16.19,3.45,1.72
Asset Turnover,1.52,1.52,1.56,1.84,1.75,1.69,1.81,2.06,1.79,1.84,1.82
Inventory Turnover,4.32,4.32,4.74,5.18,5.35,6.53,7.30,6.72,5.48,6.36,6.40
Quick Ratio,0.98,0.98,1.21,1.15,0.87,1.22,1.26,1.18,0.67,0.94,0.98
Current Ratio,1.72,1.72,1.99,1.91,1.57,1.83,1.85,1.74,1.25,1.62,1.70
Return on Equity (ROE),10.87%,10.87%,10.16%,15.83%,13.09%,14.33%,8.14%,9.09%,-6.12%,8.52%,12.00%
Return on Assets (ROA),4.62%,4.62%,4.46%,5.94%,4.90%,4.25%,4.11%,4.69%,2.82%,3.81%,4.01%
Return on Capital (ROIC),8.84%,8.84%,7.88%,11.61%,9.87%,7.90%,7.78%,9.12%,5.32%,6.78%,6.92%
Return on Capital Employed (ROCE),13.00%,13.00%,12.00%,16.30%,15.00%,11.20%,11.20%,13.50%,10.60%,10.20%,10.30%
Earnings Yield,2.81%,4.04%,5.91%,9.98%,9.03%,9.79%,7.40%,6.33%,-5.09%,4.96%,8.93%
FCF Yield,5.46%,7.86%,6.08%,1.41%,7.22%,10.39%,13.04%,11.11%,2.00%,4.97%,12.82%
Buyback Yield / Dilution,3.15%,3.15%,4.76%,5.23%,5.91%,5.24%,1.23%,-2.64%,10.62%,0.84%,8.00%
