Period Ending,"Sep '25Sep 30, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016","Dec '15Dec 31, 2015"
Revenue,853.14,"1,018","1,131",920,662.43,474.56,342.96,442.58,410.56,266.98,301.5
Revenue Growth (YoY),-20.69%,-9.97%,22.89%,38.88%,39.59%,38.37%,-22.51%,7.80%,53.78%,-11.45%,48.48%
Cost of Revenue,472,563.21,639.3,518.21,375.98,275.98,198.81,262.94,260.31,167.38,199.79
Gross Profit,381.14,454.65,491.3,401.79,286.45,198.58,144.15,179.64,150.25,99.6,101.71
"Selling, General & Admin",137.63,138.99,129.19,111.4,94.12,79.2,66.33,67.8,59.33,48.29,48.38
Research & Development,105.84,104.88,96.32,78.03,65,61.34,53.62,51.88,43.07,34.4,32.59
Operating Expenses,243.47,243.86,225.51,189.43,159.12,140.54,119.95,119.68,102.41,82.69,80.97
Operating Income,137.67,210.79,265.8,212.36,127.33,58.04,24.21,59.96,47.84,16.91,20.74
Interest Expense,-5.47,-5.46,-5.35,-5.58,-4.84,-5.21,-5.16,-5.11,-5.12,-5.07,-4.98
Interest & Investment Income,22.82,24.4,18.2,4.55,0.21,0.74,2.96,2.33,0.71,0.24,0.06
Currency Exchange Gain (Loss),6,-,-0.5,-6.6,-,-,-,-1.3,1.1,-0.6,-
Other Non Operating Income (Expenses),-4.15,0.54,0.45,0.15,-2.27,2.32,-1.08,-1.17,-0.7,-0.16,-0.6
EBT Excluding Unusual Items,156.88,230.27,278.6,204.89,120.43,55.89,20.92,54.71,43.83,11.31,15.22
Merger & Restructuring Charges,-,-,-,-,-,-,-,-,-,-0.28,-0.02
Pretax Income,156.88,230.27,278.6,204.89,120.43,55.89,20.92,54.71,43.83,11.02,15.21
Income Tax Expense,20.98,29.28,32.34,21.81,21.78,5.9,3.89,8.82,-83.13,0.02,0.53
Net Income,135.9,200.99,246.26,183.08,98.65,49.98,17.03,45.89,126.96,11,14.68
Net Income to Common,135.9,200.99,246.26,183.08,98.65,49.98,17.03,45.89,126.96,11,14.68
Net Income Growth,-38.81%,-18.38%,34.51%,85.58%,97.37%,193.43%,-62.88%,-63.86%,1054.07%,-25.05%,-
Shares Outstanding (Basic),32,33,33,33,34,33,33,32,31,29,29
Shares Outstanding (Diluted),32,33,33,34,34,34,34,34,33,31,30
Shares Change (YoY),-2.52%,-1.39%,-1.12%,-2.12%,0.41%,0.89%,-0.51%,1.69%,8.04%,2.38%,8.49%
EPS (Basic),4.25,6.17,7.52,5.54,2.94,1.50,0.52,1.42,4.11,0.38,0.51
EPS (Diluted),4.25,6.15,7.43,5.46,2.88,1.46,0.50,1.35,3.80,0.36,0.49
EPS Growth,-37.19%,-17.23%,36.08%,89.58%,97.26%,192.00%,-62.96%,-64.47%,955.56%,-26.53%,-
Free Cash Flow,124.03,128.64,136.21,204.92,141.47,62.27,-25.56,42.25,49,-11.29,16.44
Free Cash Flow Per Share,3.87,3.93,4.11,6.11,4.13,1.82,-0.76,1.24,1.47,-0.36,0.54
Gross Margin,44.67%,44.67%,43.45%,43.67%,43.24%,41.85%,42.03%,40.59%,36.60%,37.30%,33.73%
Operating Margin,16.14%,20.71%,23.51%,23.08%,19.22%,12.23%,7.06%,13.55%,11.65%,6.33%,6.88%
Profit Margin,15.93%,19.75%,21.78%,19.90%,14.89%,10.53%,4.97%,10.37%,30.92%,4.12%,4.87%
Free Cash Flow Margin,14.54%,12.64%,12.05%,22.27%,21.36%,13.12%,-7.45%,9.55%,11.94%,-4.23%,5.45%
EBITDA,148.29,219.8,273.26,218.77,132.84,62.78,28.19,63.13,50.04,18.76,25.61
EBITDA Margin,17.38%,21.59%,24.17%,23.78%,20.05%,13.23%,8.22%,14.26%,12.19%,7.03%,8.49%
D&A For EBITDA,10.62,9.01,7.47,6.41,5.52,4.74,3.98,3.17,2.2,1.86,4.87
EBIT,137.67,210.79,265.8,212.36,127.33,58.04,24.21,59.96,47.84,16.91,20.74
EBIT Margin,16.14%,20.71%,23.51%,23.08%,19.22%,12.23%,7.06%,13.55%,11.65%,6.33%,6.88%
Effective Tax Rate,13.37%,12.72%,11.61%,10.64%,18.08%,10.56%,18.58%,16.12%,-,0.21%,3.47%
Revenue as Reported,853.14,"1,018","1,131",920,662.43,474.56,342.96,442.58,410.56,266.98,301.5
