Period Ending,"Nov '25Nov 18, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018"
Market Capitalization,"3,333","2,117",670,391,465,840,-,-
Market Cap Growth,96.94%,215.74%,71.44%,-15.95%,-44.60%,-,-,-
Enterprise Value,"2,799","1,873",455,185,283,857,-,-
Last Close Price,74.17,55.37,20.25,14.66,22.50,41.33,-,-
PS Ratio,8.25,11.57,38.42,15.15,8.16,-,-,-
PB Ratio,9.40,9.43,3.40,2.03,2.79,5.06,-,-
P/TBV Ratio,9.52,9.79,3.47,2.03,2.79,5.06,-,-
P/FCF Ratio,-,-,-,-,147.13,-,-,-
P/OCF Ratio,-,-,-,-,124.13,-,-,-
EV/Sales Ratio,7.65,10.24,26.10,7.15,4.96,-,-,-
EV/FCF Ratio,-,-,-,-,89.41,-,-,-
Debt / Equity Ratio,0.25,0.32,0.15,0.10,0.01,0.01,0.00,-
Debt / FCF Ratio,-,-,-,-,0.38,-,-,-
Asset Turnover,0.80,0.57,0.07,0.13,0.33,-,-,-
Inventory Turnover,26.29,23.12,-,-,-,-,-,-
Quick Ratio,4.07,4.21,6.64,14.30,14.98,31.21,70.80,13.18
Current Ratio,4.29,4.43,6.93,14.61,15.33,31.68,70.86,13.31
Return on Equity (ROE),-28.35%,-54.83%,-69.71%,-34.53%,-8.31%,-24.01%,-15.67%,-
Return on Assets (ROA),-12.00%,-23.46%,-36.27%,-19.27%,-4.33%,-14.65%,-8.85%,-
Return on Capital (ROIC),-15.00%,-28.75%,-40.65%,-20.58%,-4.54%,-15.04%,-8.99%,-
Return on Capital Employed (ROCE),-20.90%,-40.70%,-62.60%,-29.50%,-7.30%,-16.20%,-7.50%,-61.10%
Earnings Yield,-2.60%,-5.46%,-20.27%,-15.88%,-2.97%,-3.19%,-,-
FCF Yield,-1.84%,-4.00%,-17.75%,-12.67%,0.68%,-2.57%,-,-
Buyback Yield / Dilution,-12.21%,-27.98%,-19.35%,-19.78%,-231.12%,-162.72%,-34.29%,-
