Period Ending,"Nov '25Nov 18, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016","Dec '15Dec 31, 2015"
Market Capitalization,"2,320","2,567","2,259","2,298","2,295","1,718","2,528","2,322","1,635","1,763","1,114"
Market Cap Growth,-6.67%,13.62%,-1.69%,0.11%,33.59%,-32.04%,8.87%,42.02%,-7.23%,58.24%,-2.37%
Last Close Price,23.27,26.13,22.22,21.71,21.00,14.53,19.91,17.89,19.35,20.36,12.54
PE Ratio,8.62,11.22,8.83,10.56,11.19,11.03,12.76,13.46,16.90,19.91,14.84
PS Ratio,2.70,3.40,2.84,3.54,3.65,3.02,4.34,4.32,4.59,5.31,3.57
PB Ratio,0.85,1.05,1.00,1.13,1.02,0.75,1.13,1.12,1.76,2.04,1.38
P/FCF Ratio,8.60,10.65,4.88,12.28,6.16,18.70,15.29,9.59,13.98,13.27,13.25
P/OCF Ratio,8.02,9.79,4.64,11.44,5.91,15.86,13.57,8.92,13.24,12.36,12.17
Debt / Equity Ratio,0.45,0.60,0.63,0.88,0.37,0.45,0.80,0.78,1.02,1.07,1.31
Debt / FCF Ratio,4.35,6.03,3.10,9.63,2.25,11.04,10.85,6.72,8.11,6.98,12.58
Return on Equity (ROE),10.16%,9.72%,11.88%,10.12%,9.04%,6.88%,9.16%,11.47%,10.78%,10.57%,9.42%
Return on Assets (ROA),1.41%,1.27%,1.48%,1.31%,1.27%,1.02%,1.39%,1.51%,1.12%,1.07%,0.98%
Earnings Yield,11.11%,8.91%,11.33%,9.47%,8.94%,9.07%,7.83%,7.43%,5.92%,5.02%,6.74%
FCF Yield,11.62%,9.39%,20.49%,8.14%,16.24%,5.35%,6.54%,10.42%,7.15%,7.54%,7.55%
Dividend Yield,4.30%,3.60%,4.14%,4.24%,4.38%,6.33%,4.52%,4.36%,3.51%,3.14%,5.10%
Payout Ratio,36.30%,39.13%,34.06%,39.80%,42.56%,57.56%,44.98%,46.15%,42.55%,44.20%,52.05%
Buyback Yield / Dilution,-0.33%,-0.33%,-0.54%,1.37%,2.24%,0.77%,-10.31%,-44.14%,-0.30%,-0.22%,-4.13%
Total Shareholder Return,3.92%,3.27%,3.60%,5.61%,6.62%,7.10%,-5.79%,-39.78%,3.21%,2.92%,0.97%
