Period Ending,"Sep '25Sep 30, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016","Dec '15Dec 31, 2015"
Cash & Equivalents,163.26,159.26,191.46,182.5,186.03,193.05,100.79,150.32,83.95,62.7,58.34
Investment Securities,"2,192","2,327","2,585","2,381","2,546","1,752","1,393","1,313",825.23,726.58,562.08
Trading Asset Securities,301.95,0.2,153.65,161.33,60.74,132.57,76.68,-,0.1,0.2,0.1
Mortgage-Backed Securities,"2,190","1,963","1,628","1,802","2,212","2,058","1,825","2,092","1,304","1,248","1,443"
Total Investments,"4,684","4,289","4,367","4,345","4,819","3,943","3,295","3,405","2,130","1,974","2,006"
Gross Loans,"11,792","11,762","10,933","10,299","9,291","9,915","9,202","8,824","6,013","5,757","5,389"
Allowance for Loan Losses,-161.92,-156.79,-141.43,-132.98,-131.99,-175.68,-57.65,-56.54,-54.02,-57.96,-53.4
Other Adjustments to Gross Loans,-77.89,-,-,-,-2.6,-13.7,-,-,-,-,-
Net Loans,"11,553","11,605","10,792","10,166","9,156","9,725","9,144","8,768","5,959","5,700","5,335"
"Property, Plant & Equipment",458.82,456.98,402.15,335.12,311.05,271.11,273.11,215.65,125.04,131.58,136.6
Goodwill,"1,008","1,008","1,006","1,002","1,001",937.77,937.77,880.25,204.08,204.08,204.08
Other Intangible Assets,53.69,60.87,66.85,77.38,88.9,64.55,76.2,40.81,3.79,6.54,7.78
Loans Held for Sale,21.47,13.18,9.21,7.92,29.48,41.1,13.68,4.37,11.5,13.14,20.96
Accrued Interest Receivable,66.87,67.42,72.62,63.72,44.63,50.9,39.59,41.82,24.5,18.5,210.67
Restricted Cash,-,15,21.6,25,34,38,99.9,85.9,66.7,58.9,56.5
Other Real Estate Owned & Foreclosed,0.11,0.06,0.11,0.19,0.1,1.29,2.03,1.4,2.78,6.28,13.25
Other Long-Term Assets,534.67,895.52,604.63,799.2,659.08,707.3,529.34,393.19,285.9,262.27,98.3
Total Assets,"18,555","18,570","17,533","17,003","16,329","15,973","14,512","13,987","8,897","8,438","8,147"
Interest Bearing Deposits,"11,306","10,643","9,743","8,401","8,491","8,248","7,346","7,363","5,058","4,787","4,766"
Institutional Deposits,-,554.01,300.06,165.14,195.63,220.46,220.5,284.9,174.8,190.9,-
Non-Interest Bearing Deposits,"3,128","3,132","3,318","4,135","4,186","3,764","2,644","2,492","1,662","1,548","1,413"
Total Deposits,"14,433","14,329","13,361","12,701","12,872","12,232","10,210","10,140","6,895","6,526","6,180"
Short-Term Borrowings,896.12,"1,046","1,028","1,390",360.63,166.89,"1,316","1,055",829.63,807.91,938.53
Current Portion of Leases,2.09,8.15,-,-,-,-,-,-,-,-,-
Accrued Interest Payable,35.3,350.03,468,11.15,4.5,6.24,13.67,12.13,5.1,5.05,100.35
Long-Term Debt,220.65,345.99,342.5,344.97,408.05,754.37,170.74,170.14,119.41,119.24,119.09
"Federal Home Loan Bank Debt, Long-Term",-,-,-,-,-,19.97,242.43,400.6,0.24,0.35,0.45
Long-Term Leases,54.51,53.17,66.11,66.2,69.38,73.56,65.51,-,-,-,-
Other Long-Term Liabilities,280.55,-,-,448.35,355.69,438.03,244.96,129.75,116.82,114.41,-
Total Liabilities,"15,923","16,132","15,265","14,962","14,070","13,691","12,264","11,908","7,966","7,573","7,338"
Common Stock,"1,641","1,642","1,639","1,635","1,640","1,639","1,641","1,633",573.11,570.38,571.16
Retained Earnings,"1,400","1,276","1,137",968.24,837.47,720.43,711.25,600.01,491.85,437.19,388.24
Treasury Stock,-186.04,-190.54,-197.9,-202.81,-218.46,-125.97,-117.64,-110.61,-113.9,-113.9,-119.44
Comprehensive Income & Other,-223,-289.8,-309.82,-358.66,-0.43,48.66,13.32,-44.41,-20.39,-28.44,-30.58
Shareholders' Equity,"2,632","2,438","2,268","2,041","2,259","2,282","2,248","2,078",930.66,865.22,809.38
Total Liabilities & Equity,"18,555","18,570","17,533","17,003","16,329","15,973","14,512","13,987","8,897","8,438","8,147"
Total Debt,"1,173","1,453","1,436","1,801",838.06,"1,015","1,795","1,626",949.29,927.5,"1,058"
Net Cash (Debt),-143.07,-563.36,-298.05,"-1,069",-376.48,-668.86,"-1,561","-1,438",-831.26,-782.15,-965.89
Net Cash Per Share,-1.50,-5.90,-3.13,-11.30,-3.93,-6.82,-15.79,-16.05,-13.37,-12.62,-15.62
Filing Date Shares Outstanding,98.53,95.42,95.07,94.87,94.15,97.37,98.49,98.39,62.09,62,61.64
Total Common Shares Outstanding,95.76,95.49,95.14,94.89,94.15,98.02,98.49,97.89,62.07,61.98,61.64
Book Value Per Share,27.48,25.53,23.84,21.51,23.99,23.28,22.82,21.23,14.99,13.96,13.13
Tangible Book Value,"1,571","1,370","1,195",962.48,"1,169","1,280","1,234","1,157",722.79,654.6,597.51
Tangible Book Value Per Share,16.40,14.34,12.56,10.14,12.42,13.06,12.53,11.82,11.64,10.56,9.69
