Period Ending,"Aug '25Aug 31, 2025","Nov '24Nov 30, 2024","Nov '23Nov 30, 2023","Nov '22Nov 30, 2022","Nov '21Nov 30, 2021","Nov '20Nov 30, 2020","Nov '19Nov 30, 2019","Nov '18Nov 30, 2018","Nov '17Nov 30, 2017"
Revenue,"9,721","9,619","7,115","6,324","5,587","4,720","4,708","2,463","1,990"
Revenue Growth (YoY),3.40%,35.20%,12.50%,13.20%,18.38%,0.25%,91.13%,23.77%,-
Cost of Revenue,"6,291","6,170","4,537","4,067","3,618","3,058","2,959","1,526","1,241"
Gross Profit,"3,430","3,449","2,578","2,257","1,969","1,662","1,748",937.55,749.15
"Selling, General & Admin","2,278","2,244","1,635","1,423","1,415","1,359","1,458",680.98,569.22
Amortization of Goodwill & Intangibles,436.65,458.93,214.83,162.67,-,-,-,74.32,64.25
Operating Expenses,"2,714","2,703","1,850","1,586","1,415","1,359","1,458",755.3,633.47
Operating Income,715.49,746.09,728.27,671.55,554.75,302.66,290.4,182.25,115.68
Interest Expense,-296.53,-321.83,-201,-70.08,-23.05,-48.31,-92.2,-38.24,-24.02
Currency Exchange Gain (Loss),63.76,9.94,-13.01,-57.98,-2.88,32.15,20.87,6.42,0.31
Other Non Operating Income (Expenses),-6.7,-7.43,-4.39,95.28,14.5,-18.6,-14.66,-2.03,-2.64
EBT Excluding Unusual Items,476.02,426.78,509.87,638.77,543.32,267.9,204.42,148.4,89.33
Merger & Restructuring Charges,-113.09,-156.77,-85.97,-33.76,-0.83,-,-,-37.49,-1.06
Gain (Loss) on Sale of Assets,-,-,-,-,13.2,-,-,-,-
Other Unusual Items,13.93,29.27,-15.68,-,-,-,-,-,-
Pretax Income,376.86,299.27,408.23,605,555.7,267.9,204.42,110.91,88.28
Income Tax Expense,60.75,48.06,94.39,169.36,150.12,103.08,87.25,62.64,16.03
Earnings From Continuing Operations,316.11,251.22,313.84,435.64,405.58,164.81,117.16,48.27,72.25
Minority Interest in Earnings,-,-,-,-0.59,-,-,-,-,-
Net Income,316.11,251.22,313.84,435.05,405.58,164.81,117.16,48.27,72.25
Preferred Dividends & Other Adjustments,14.35,9.5,6,6.63,5.79,-,-,-,-
Net Income to Common,301.77,241.71,307.84,428.42,399.79,164.81,117.16,48.27,72.25
Net Income Growth,54.16%,-19.95%,-27.86%,7.27%,146.09%,40.67%,142.72%,-33.19%,-
Shares Outstanding (Basic),64,65,54,51,51,52,52,52,-
Shares Outstanding (Diluted),64,65,54,52,52,52,52,52,-
Shares Change (YoY),-1.29%,20.48%,4.39%,-0.34%,0.60%,-,-,-,-
EPS (Basic),4.75,3.72,5.72,8.34,7.78,3.19,2.27,0.94,-
EPS (Diluted),4.74,3.71,5.70,8.28,7.70,3.19,2.27,0.94,-
EPS Growth,54.10%,-34.83%,-31.17%,7.52%,141.45%,40.53%,142.66%,-,-
Free Cash Flow,515.81,428.73,497.48,460.7,365.1,336.28,338.61,119.81,89.66
Free Cash Flow Per Share,8.11,6.59,9.21,8.90,7.03,6.52,6.56,2.32,-
Dividend Per Share,1.331,1.240,1.127,1.025,0.250,-,-,-,-
Dividend Growth,10.00%,10.00%,10.00%,310.00%,-,-,-,-,-
Gross Margin,35.28%,35.85%,36.23%,35.69%,35.25%,35.20%,37.14%,38.06%,37.64%
Operating Margin,7.36%,7.76%,10.24%,10.62%,9.93%,6.41%,6.17%,7.40%,5.81%
Profit Margin,3.10%,2.51%,4.33%,6.77%,7.16%,3.49%,2.49%,1.96%,3.63%
Free Cash Flow Margin,5.31%,4.46%,6.99%,7.28%,6.54%,7.12%,7.19%,4.86%,4.50%
EBITDA,"1,379","1,452","1,117",981.09,831.92,579.22,596.18,336.85,245.55
EBITDA Margin,14.18%,15.10%,15.69%,15.51%,14.89%,12.27%,12.66%,13.68%,12.34%
D&A For EBITDA,663.3,705.85,388.3,309.54,277.18,276.57,305.78,154.6,129.87
EBIT,715.49,746.09,728.27,671.55,554.75,302.66,290.4,182.25,115.68
EBIT Margin,7.36%,7.76%,10.24%,10.62%,9.93%,6.41%,6.17%,7.40%,5.81%
Effective Tax Rate,16.12%,16.06%,23.12%,27.99%,27.02%,38.48%,42.68%,56.48%,18.15%
Revenue as Reported,-,-,-,-,-,-,-,"2,463","1,990"
