Period Ending,"Sep '25Sep 30, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016","Dec '15Dec 31, 2015"
Cash & Equivalents,"1,059",407.45,182.09,247.95,562.55,71.77,58.26,27.12,17.68,10.12,4.4
Short-Term Investments,70.9,17.28,80.52,70.49,-,-,-,-,-,-,-
Trading Asset Securities,-,19.37,21.31,20.21,29.5,28.24,-,-,-,-,-
Cash & Short-Term Investments,"1,130",444.1,283.93,338.65,592.05,100.01,58.26,27.12,17.68,10.12,4.4
Cash Growth,201.98%,56.41%,-16.16%,-42.80%,492.02%,71.65%,114.80%,53.41%,74.73%,129.93%,-
Accounts Receivable,477,387.05,283.19,182.94,105.55,56.44,31.09,24.61,26.76,16.03,12.07
Other Receivables,50.45,41.86,40.07,29.62,20.06,9.68,2.6,3.55,2.49,1.76,1.22
Receivables,527.45,428.9,323.25,212.55,125.61,66.12,33.69,28.16,29.25,17.79,13.29
Inventory,676.41,597.98,545.4,393.17,218.12,88.64,44.8,38.76,15.39,11.67,9.15
Prepaid Expenses,15.14,7.51,20.02,15.61,14.26,5.89,2.05,1.99,0.55,0.72,1.1
Restricted Cash,8.43,3.87,1.08,0.5,0.52,-,59.6,-,-,-,-
Other Current Assets,0.93,1.02,2.43,3.32,2.38,-,-,-,0.05,0.05,0.01
Total Current Assets,"2,358","1,483","1,176",963.81,952.93,260.66,198.4,96.03,62.91,40.35,27.95
"Property, Plant & Equipment",314.74,283.31,217.24,85.36,18.22,12.49,7.51,3.71,2.34,2.26,1.77
Long-Term Investments,63.56,50.34,68.7,119.42,12.69,6.34,5.93,1.36,1.24,-,-
Other Intangible Assets,2.71,3.46,2.54,9.95,10.14,10.2,0.34,0.27,0.11,0.02,0
Long-Term Deferred Tax Assets,26.64,14.78,20.27,6.7,13.17,11.08,5.33,1.64,1.29,1.84,2.43
Other Long-Term Assets,4.84,20.45,6.05,50.27,45.02,40.5,0.19,0.04,-,-,-
Total Assets,"2,771","1,856","1,491","1,236","1,052",341.26,217.7,103.05,67.89,44.47,32.15
Accounts Payable,204.21,155.43,153.22,116.2,101.35,35.6,13.26,16.67,7.42,4.67,2.09
Accrued Expenses,86.92,80.78,72.61,35.64,19.13,12.17,7.8,6.75,4.35,3.08,3.21
Short-Term Debt,45.05,32.81,31.34,56,9.59,26.15,13.75,9.45,5.1,5.28,9.69
Current Portion of Long-Term Debt,48.64,44.47,6.78,2.32,2.41,1.59,-,-,-,-,-
Current Portion of Leases,4.12,2.13,2.76,1.38,2.31,1.42,1.36,-,-,-,-
Current Income Taxes Payable,-,12.78,6.4,3.47,0.25,0.03,3.13,1.19,0.04,0.04,0.04
Current Unearned Revenue,219.06,252.49,185.06,157.95,56,1.34,-,-,-,-,-
Other Current Liabilities,69.89,60.35,42.49,23.25,14.89,24.6,14.21,12.08,4.91,4,5.53
Total Current Liabilities,677.87,641.23,500.66,396.21,205.94,102.91,53.5,46.14,21.82,17.07,20.57
Long-Term Debt,193.36,105.53,53.95,18.69,22.96,17.98,-,-,-,-,-
Long-Term Leases,5.88,3.84,4.26,1.11,1.87,2.88,2.53,-,-,-,-
Long-Term Unearned Revenue,8.32,9.22,5.87,7.32,8.45,7.69,4.05,4.52,6.22,6.88,7.19
Long-Term Deferred Tax Liabilities,-,-,-,-,1.3,1.29,-,-,-,-,-
Other Long-Term Liabilities,-,-,-,-,-,0.35,0.13,0.06,-,-,-
Total Liabilities,885.43,759.82,564.75,423.33,240.51,133.09,60.22,50.72,28.03,23.95,27.75
Common Stock,0.01,0.01,0.01,0.01,0.01,0,0,0,0,0,0.28
Additional Paid-In Capital,"1,105",677.48,629.85,604.09,595.05,102,83.49,56.57,49.7,7.62,2.24
Retained Earnings,376.54,290.51,186.89,111.31,72.04,34.29,15.51,-3.39,-9.96,-9.64,-10.68
Comprehensive Income & Other,-49,-63.37,-49.35,-40.55,9.11,4.86,-1.68,-0.86,0.12,-0.41,-0.08
Total Common Equity,"1,433",904.63,767.39,674.86,676.2,141.15,97.32,52.32,39.86,-2.43,-8.24
Minority Interest,452.53,191.28,158.77,137.32,135.46,67.02,60.16,-,-,4.92,3.76
Shareholders' Equity,"1,885","1,096",926.16,812.17,811.67,208.17,157.48,52.32,39.86,20.52,4.4
Total Liabilities & Equity,"2,771","1,856","1,491","1,236","1,052",341.26,217.7,103.05,67.89,44.47,32.15
Total Debt,297.04,188.78,99.1,79.5,39.14,50.01,17.64,9.45,5.1,5.28,9.69
Net Cash (Debt),832.76,255.31,184.83,259.15,552.91,49.99,40.62,17.68,12.59,4.84,-5.29
Net Cash Growth,320.77%,38.13%,-28.68%,-53.13%,1006.01%,23.07%,129.80%,40.45%,160.09%,-,-
Net Cash Per Share,12.43,3.85,2.85,3.97,8.46,0.79,0.71,0.33,0.61,0.43,-0.56
Filing Date Shares Outstanding,64.88,63.13,61.1,59.7,58.74,56.23,54.41,48.23,46.04,13.92,6.14
Total Common Shares Outstanding,64.88,62.96,61.06,59.68,58.7,56.1,54.13,48.03,46.04,13.92,6.14
Working Capital,"1,680",842.15,675.45,567.59,747,157.75,144.89,49.89,41.1,23.28,7.38
Book Value Per Share,22.08,14.37,12.57,11.31,11.52,2.52,1.80,1.09,0.87,-0.17,-1.34
Tangible Book Value,"1,430",901.16,764.85,664.91,666.06,130.95,96.98,52.05,39.75,-2.45,-8.24
Tangible Book Value Per Share,22.04,14.31,12.53,11.14,11.35,2.33,1.79,1.08,0.86,-0.18,-1.34
Buildings,223.25,141.41,83.11,35.86,-,-,-,-,-,-,-
Machinery,48.81,43.25,21.91,13.4,10.2,7.23,4.65,10.4,10.33,9.17,10.54
Construction In Progress,43.35,97.92,106.44,36.49,5.61,2.31,0.6,0.03,-,0.43,0.01
Leasehold Improvements,12.43,11.58,7.89,7.17,4.13,2.4,1.44,1.38,0.28,0.22,0.08
