Period Ending,"Nov '25Nov 18, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016","Dec '15Dec 31, 2015"
Market Capitalization,"1,996",946,"1,184",458,"1,663","1,500",336,174,81,-,-
Market Cap Growth,70.02%,-20.15%,158.33%,-72.44%,10.88%,346.87%,92.81%,116.13%,-,-,-
Enterprise Value,"1,187",929,"1,116",247,"1,683","1,481",335,166,97,-,-
Last Close Price,31.47,15.10,19.54,7.71,28.42,27.08,6.15,3.63,1.75,-,-
PE Ratio,17.85,9.13,15.31,11.68,44.06,79.89,17.77,26.49,-,-,-
Forward PE,14.28,9.19,19.89,12.20,44.76,65.20,29.38,25.70,-,-,-
PS Ratio,2.27,1.21,2.12,1.18,6.40,9.58,3.12,2.33,2.21,-,-
PB Ratio,1.43,0.86,1.28,0.56,2.05,7.21,2.13,3.33,2.02,-,-
P/TBV Ratio,1.41,1.05,1.55,0.69,2.50,11.46,3.46,3.35,2.03,-,-
P/FCF Ratio,-,13.51,-,-,-,-,39.82,34.28,-,-,-
P/OCF Ratio,45.54,6.20,-,-,-,-,35.70,25.20,-,-,-
PEG Ratio,-,0.46,0.99,0.61,2.24,3.26,1.47,1.29,-,-,-
EV/Sales Ratio,1.35,1.19,2.00,0.64,6.48,9.46,3.12,2.23,2.66,-,-
EV/EBITDA Ratio,8.26,5.77,10.74,3.84,40.99,65.68,18.04,24.11,102.77,-,-
EV/EBIT Ratio,9.10,6.15,11.65,4.19,43.48,68.90,18.84,25.66,138.45,-,-
EV/FCF Ratio,-,13.27,-,-,-,-,39.76,32.69,-,-,-
Debt / Equity Ratio,0.16,0.17,0.11,0.10,0.05,0.24,0.11,0.18,0.13,0.26,2.20
Debt / EBITDA Ratio,1.99,1.13,0.91,1.17,0.89,2.06,0.87,1.37,5.40,1.44,1.94
Debt / FCF Ratio,-,2.70,-,-,-,-,2.09,1.86,-,-,7.28
Asset Turnover,0.39,0.47,0.41,0.34,0.37,0.56,0.67,0.87,0.65,0.71,-
Inventory Turnover,0.72,0.68,0.60,0.67,0.95,1.30,1.36,1.48,1.43,1.35,-
Quick Ratio,2.44,1.36,1.21,1.39,3.49,1.61,1.72,1.20,2.15,1.64,0.86
Current Ratio,3.48,2.31,2.35,2.43,4.63,2.53,3.71,2.08,2.88,2.36,1.36
Return on Equity (ROE),9.94%,12.98%,11.14%,6.23%,8.42%,11.86%,18.55%,14.26%,-2.89%,19.16%,-
Return on Assets (ROA),3.57%,5.64%,4.39%,3.23%,3.47%,4.81%,6.93%,4.73%,0.78%,5.69%,-
Return on Capital (ROIC),4.75%,8.17%,6.25%,4.23%,4.36%,6.20%,9.39%,7.58%,1.24%,10.94%,-
Return on Capital Employed (ROCE),6.20%,12.40%,9.70%,7.00%,4.60%,9.00%,10.80%,11.40%,1.50%,12.70%,42.00%
Earnings Yield,5.80%,10.96%,6.53%,8.56%,2.27%,1.25%,5.63%,3.78%,-0.40%,-,-
FCF Yield,-0.47%,7.40%,-11.58%,-33.44%,-2.96%,-3.93%,2.51%,2.92%,-10.86%,-,-
Buyback Yield / Dilution,-1.34%,-2.11%,0.72%,0.02%,-2.84%,-10.70%,-6.83%,-160.90%,-81.04%,-20.61%,-
