Period Ending,"Sep '25Sep 30, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016","Dec '15Dec 31, 2015"
Revenue,"1,795","1,557","1,265","1,085",889.21,774.58,743.29,660.66,599.31,565.03,546.5
Revenue Growth (YoY),20.54%,23.15%,16.54%,22.03%,14.80%,4.21%,12.51%,10.24%,6.07%,3.39%,-1.10%
Cost of Revenue,"1,189","1,027",832.04,723.12,582.4,515.65,508.66,453.6,405.19,381.97,382.62
Gross Profit,605.85,529.95,432.5,361.97,306.81,258.94,234.63,207.06,194.12,183.06,163.89
"Selling, General & Admin",220.49,190.75,155.85,133.42,118.83,102.41,92.78,84.79,79.24,75.36,72.89
Other Operating Expenses,-,-,-,0.76,0.92,-,-,-,-,-,-
Operating Expenses,514.17,425.66,326.55,260.53,223.35,193.19,172.57,155.3,141.35,137.21,135.6
Operating Income,91.68,104.29,105.95,101.44,83.46,65.75,62.06,51.76,52.78,45.85,28.29
Interest Expense,-62.05,-62.41,-47.58,-23.72,-21.23,-22.37,-25.1,-26.29,-25.16,-38.94,-40.65
Interest & Investment Income,11.69,10.43,10.74,0.71,0.3,0.3,0.37,0.27,0.27,0.29,0.33
Other Non Operating Income (Expenses),1.8,1.67,1.65,2.59,1.31,1.07,1.44,0.75,0.94,1.09,1.12
EBT Excluding Unusual Items,43.11,53.97,70.76,81.02,63.85,44.75,38.77,26.48,28.82,8.28,-10.91
Merger & Restructuring Charges,-21.36,-31.53,-19.38,-6.05,-5.8,-6.45,-5.4,-9.93,-65.36,-,-
Gain (Loss) on Sale of Investments,-,-,-,-,-,-,-,-1.07,-,-,-2.1
Gain (Loss) on Sale of Assets,-,-,-,-,-,-,-,-,-,-,5.52
Legal Settlements,-,-,-6.15,-,-,-,-,-,-,-0.9,-
Other Unusual Items,-1.4,-1.4,-8.19,-,-,-,-3.59,-9.45,-0.52,-13.75,-2.94
Pretax Income,20.35,21.05,37.05,74.97,58.05,38.3,29.78,6.04,-37.05,-6.36,-10.43
Income Tax Expense,5.1,7.51,11.65,21.89,16.95,-52.8,-1.87,-0.38,-15.25,0.49,1.35
Earnings From Continuing Operations,15.26,13.54,25.4,53.08,41.1,91.11,31.65,6.42,-21.8,-6.86,-11.78
Minority Interest in Earnings,-,-,-,-,-,-,-,-,-,0.01,-1.19
Net Income,15.26,13.54,25.4,53.08,41.1,91.11,31.65,6.42,-21.8,-6.85,-12.97
Net Income to Common,15.26,13.54,25.4,53.08,41.1,91.11,31.65,6.42,-21.8,-6.85,-12.97
Net Income Growth,122.78%,-46.71%,-52.15%,29.15%,-54.89%,187.83%,393.04%,-,-,-,-
Shares Outstanding (Basic),63,60,55,52,51,49,47,43,42,41,41
Shares Outstanding (Diluted),64,60,55,52,52,49,48,44,42,41,41
Shares Change (YoY),8.90%,7.97%,6.78%,0.49%,5.04%,2.25%,8.60%,5.55%,1.49%,1.45%,0.94%
EPS (Basic),0.24,0.23,0.46,1.03,0.80,1.87,0.67,0.15,-0.52,-0.17,-0.32
EPS (Diluted),0.24,0.23,0.46,1.03,0.80,1.86,0.66,0.15,-0.52,-0.17,-0.32
EPS Growth,102.54%,-50.61%,-55.26%,28.52%,-56.99%,181.82%,340.00%,-,-,-,-
Free Cash Flow,78.31,78.13,78.19,86.35,59.44,31.81,13.66,47.6,42.68,26.2,20.51
Free Cash Flow Per Share,1.23,1.31,1.41,1.67,1.15,0.65,0.28,1.08,1.02,0.64,0.51
Gross Margin,33.75%,34.03%,34.20%,33.36%,34.50%,33.43%,31.57%,31.34%,32.39%,32.40%,29.99%
Operating Margin,5.11%,6.70%,8.38%,9.35%,9.39%,8.49%,8.35%,7.83%,8.81%,8.11%,5.18%
Profit Margin,0.85%,0.87%,2.01%,4.89%,4.62%,11.76%,4.26%,0.97%,-3.64%,-1.21%,-2.37%
Free Cash Flow Margin,4.36%,5.02%,6.18%,7.96%,6.69%,4.11%,1.84%,7.21%,7.12%,4.64%,3.75%
EBITDA,385.36,339.19,276.66,227.79,187.05,156.53,141.85,122.27,114.88,107.7,90.99
EBITDA Margin,21.46%,21.78%,21.88%,20.99%,21.04%,20.21%,19.08%,18.51%,19.17%,19.06%,16.65%
D&A For EBITDA,293.68,234.91,170.71,126.35,103.59,90.78,79.79,70.51,62.1,61.86,62.7
EBIT,91.68,104.29,105.95,101.44,83.46,65.75,62.06,51.76,52.78,45.85,28.29
EBIT Margin,5.11%,6.70%,8.38%,9.35%,9.39%,8.49%,8.35%,7.83%,8.81%,8.11%,5.18%
Effective Tax Rate,25.03%,35.69%,31.44%,29.20%,29.19%,-,-,-,-,-,-
