Period Ending,"Nov '25Nov 14, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016","Dec '15Dec 31, 2015"
Market Capitalization,"5,664","6,699","4,955","4,099","4,390","3,164","2,199","1,223",968,515,245
Market Cap Growth,-3.82%,35.20%,20.89%,-6.64%,38.76%,43.86%,79.86%,26.34%,87.98%,110.17%,49.60%
Enterprise Value,"6,710","7,352","5,854","4,700","4,969","3,773","2,809","1,736","1,450","1,012",775
Last Close Price,89.20,105.81,85.46,79.31,85.42,61.95,46.03,28.49,23.02,12.41,5.98
PE Ratio,371.19,494.92,195.09,77.22,106.82,34.73,69.48,190.47,-,-,-
Forward PE,73.05,122.98,77.37,64.51,83.99,68.90,44.96,34.03,38.69,32.87,-
PS Ratio,3.15,4.30,3.92,3.78,4.94,4.09,2.96,1.85,1.62,0.91,0.45
PB Ratio,3.61,4.32,4.85,8.23,10.39,8.74,17.92,-77.24,-25.56,-20.97,-11.34
P/TBV Ratio,39.73,28.50,110.88,31.13,45.79,29.05,-,-,-,-,-
P/FCF Ratio,72.33,85.75,63.38,47.47,73.86,99.46,160.96,25.69,22.68,19.66,11.94
P/OCF Ratio,16.51,23.81,21.26,18.86,24.03,22.61,18.83,10.12,9.00,6.40,3.48
PEG Ratio,4.95,35.07,35.07,35.07,35.07,35.07,35.07,35.07,35.07,35.07,-
EV/Sales Ratio,3.74,4.72,4.63,4.33,5.59,4.87,3.78,2.63,2.42,1.79,1.42
EV/EBITDA Ratio,17.41,21.68,21.16,20.63,26.57,24.10,19.81,14.20,12.63,9.40,8.51
EV/EBIT Ratio,73.20,70.50,55.25,46.33,59.54,57.38,45.27,33.55,27.48,22.07,27.38
EV/FCF Ratio,85.70,94.11,74.87,54.42,83.60,118.58,205.61,36.48,33.98,38.63,37.77
Debt / Equity Ratio,0.79,0.78,1.11,1.32,1.47,1.72,4.88,-34.50,-12.75,-20.72,-23.50
Debt / EBITDA Ratio,2.97,3.30,3.79,2.68,3.03,3.52,3.67,4.47,4.20,4.72,5.58
Debt / FCF Ratio,15.86,15.50,14.46,7.62,10.45,19.56,43.82,11.48,11.31,19.42,24.74
Asset Turnover,0.56,0.54,0.64,0.79,0.72,0.73,0.89,0.98,0.96,0.89,0.84
Inventory Turnover,53.60,52.15,53.11,62.34,66.19,66.33,71.54,69.38,70.78,83.07,88.41
Quick Ratio,1.33,1.75,1.39,0.99,0.79,1.74,0.65,0.73,0.77,0.78,0.74
Current Ratio,1.51,2.00,1.53,1.17,0.96,1.88,0.79,0.87,0.95,0.95,0.90
Return on Equity (ROE),0.98%,1.05%,3.34%,11.53%,10.48%,37.58%,59.21%,-,-,-,-
Return on Assets (ROA),1.79%,2.26%,3.32%,4.64%,4.21%,3.86%,4.66%,4.80%,5.29%,4.53%,2.71%
Return on Capital (ROIC),2.08%,2.65%,4.00%,5.76%,5.14%,4.82%,6.20%,6.64%,7.10%,5.91%,3.50%
Return on Capital Employed (ROCE),3.10%,3.60%,4.70%,8.00%,7.40%,6.20%,7.70%,8.30%,10.00%,8.30%,5.20%
Earnings Yield,0.27%,0.20%,0.51%,1.29%,0.94%,2.88%,1.44%,0.53%,-2.25%,-1.33%,-5.29%
FCF Yield,1.38%,1.17%,1.58%,2.11%,1.35%,1.00%,0.62%,3.89%,4.41%,5.09%,8.37%
Buyback Yield / Dilution,-8.90%,-7.97%,-6.78%,-0.49%,-5.04%,-2.25%,-8.60%,-5.55%,-1.49%,-1.45%,-0.94%
