Period Ending,"Sep '25Sep 30, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016","Dec '15Dec 31, 2015"
Cash & Equivalents,192.65,358.3,220.91,71.15,33.81,154.34,3.47,4.01,2,2.54,2.31
Trading Asset Securities,2.43,3.61,5.95,4.35,-,-,-,0.34,-,-,-
Cash & Short-Term Investments,195.09,361.91,226.86,75.5,33.81,154.34,3.47,4.35,2,2.54,2.31
Cash Growth,-62.63%,59.53%,200.49%,123.30%,-78.09%,4346.61%,-20.11%,117.79%,-21.58%,10.04%,4.85%
Accounts Receivable,192.51,165.92,157.32,100.89,86.98,74.2,80.21,74.94,65.95,61.2,60.17
Other Receivables,6.27,9.29,3.09,-,-,0.23,1.25,2.25,0.52,0.65,0.65
Receivables,198.78,175.2,160.41,100.89,86.98,74.43,81.46,77.19,66.48,61.85,60.82
Inventory,24.14,21.54,17.86,13.47,9.73,7.87,7.68,6.54,6.53,4.92,4.28
Prepaid Expenses,26.9,23.05,17.22,15.18,12.77,9.29,8.99,7.35,8.3,7.99,7.67
Restricted Cash,-,25,-,-,-,-,-,-,-,-,-
Other Current Assets,3.1,6.61,3.97,2.44,3.2,1.33,1.21,1.67,1.08,1.29,1.59
Total Current Assets,448.01,613.31,426.33,207.48,146.48,247.25,102.81,97.09,84.38,78.59,76.67
"Property, Plant & Equipment","1,377","1,263","1,081",812.61,738.4,605.82,551.85,404.58,361.55,398.47,402.25
Long-Term Investments,12.19,15,15.38,18.43,11.69,11.26,11.26,11.75,12.73,12.33,12.33
Goodwill,"1,116","1,002",735.67,274.46,232.86,194.9,185.82,162.73,122.61,119.9,118.98
Other Intangible Assets,308.95,313.47,241.43,91.78,93.72,58.32,58.72,34.77,8.15,7.7,9.25
Long-Term Deferred Tax Assets,-,-,11.22,22.9,43.96,61.16,8.58,9.59,11.57,-,-
Other Long-Term Assets,10.58,23.16,24.05,21.55,16.47,15.17,13.14,11.9,13.97,14.53,14.19
Total Assets,"3,285","3,230","2,535","1,449","1,284","1,194",932.18,732.41,614.95,631.51,633.67
Accounts Payable,112.96,111.09,116.79,74.2,63.09,49.2,64.4,57.29,47.08,45,44.92
Accrued Expenses,85.64,88.84,75,61.81,50.25,46.5,38.19,36.82,31.58,32.08,38.25
Current Portion of Long-Term Debt,26.49,23.24,35.78,8.97,13.7,14.01,6.13,2.69,5.05,4.69,1.45
Current Portion of Leases,11.69,30.24,9.04,7,7.31,8.55,9.36,-,-,-,-
Current Unearned Revenue,48.49,50.69,31.47,3.74,3.4,2.69,2.3,3.07,1.82,-,-
Other Current Liabilities,11.24,3.22,10.77,21.88,14.45,10.27,10.22,11.63,3.04,0.67,0.73
Total Current Liabilities,296.51,307.32,278.86,177.6,152.19,131.21,130.59,111.5,88.57,82.43,85.35
Long-Term Debt,"1,042","1,043",966.36,535.2,498.16,507.39,494.26,532.31,471.98,503.96,505.99
Long-Term Leases,161.68,114.16,119.14,107.16,102.1,92.47,89.07,11.25,5.6,-,-
