Period Ending,"Sep '25Sep 30, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016","Dec '15Dec 31, 2015"
Revenue,238.47,170.46,86.78,79,69.76,58.24,55.86,57.42,60.93,63.07,58.52
Revenue Growth (YoY),73.57%,96.44%,9.84%,13.26%,19.77%,4.26%,-2.72%,-5.76%,-3.40%,7.78%,-0.94%
Cost of Revenue,138.48,101.95,53.6,49.7,41.71,36.51,34.82,36.73,43.13,44.52,41.14
Gross Profit,99.99,68.51,33.18,29.31,28.05,21.73,21.04,20.68,17.8,18.56,17.38
"Selling, General & Admin",59.79,44.17,32.28,39.78,29.7,20.95,21.59,18.41,22.9,22.24,19.6
Operating Expenses,59.79,44.17,32.28,39.78,29.7,20.95,21.59,18.41,22.9,22.24,19.6
Operating Income,40.2,24.34,0.9,-10.47,-1.65,0.78,-0.55,2.27,-5.1,-3.68,-2.21
Interest Expense,-0.29,-0.29,-0.4,-0.01,-,-0.14,-0.12,-0.03,-,-0.06,-
Interest & Investment Income,1.51,0.44,0.22,-,0.11,-,-,-,0.02,-,0.03
EBT Excluding Unusual Items,41.41,24.49,0.72,-10.48,-1.54,0.65,-0.67,2.24,-5.07,-3.75,-2.18
Merger & Restructuring Charges,-,-,-0.58,-,-,-,-,-,-,-,-
Impairment of Goodwill,-,-,-,-,-,-,-,-0.68,-,-,-
Other Unusual Items,-,-,-,-,0.58,0.4,-0.4,-,-,-1.04,-
Pretax Income,41.41,24.49,0.14,-10.48,-0.96,1.05,-1.07,1.56,-5.07,-4.79,-2.18
Income Tax Expense,7.76,-4.19,1.03,1.52,0.84,0.4,1.09,1.81,0.29,1.13,1.2
Earnings From Continuing Operations,33.65,28.68,-0.89,-12.01,-1.81,0.64,-2.16,-0.25,-5.36,-5.91,-3.38
Minority Interest in Earnings,-0.01,-0.02,-0.02,0.07,0.13,-0.03,0.02,-0.01,0.3,0.39,0.56
Net Income,33.64,28.66,-0.91,-11.94,-1.67,0.62,-2.14,-0.25,-5.06,-5.52,-2.83
Net Income to Common,33.64,28.66,-0.91,-11.94,-1.67,0.62,-2.14,-0.25,-5.06,-5.52,-2.83
Shares Outstanding (Basic),31,29,28,27,27,25,26,26,26,26,25
Shares Outstanding (Diluted),33,32,28,27,27,26,26,26,26,26,25
Shares Change (YoY),4.03%,14.38%,3.13%,2.43%,4.13%,-0.78%,-0.40%,0.24%,1.07%,0.56%,0.67%
EPS (Basic),1.08,0.98,-0.03,-0.44,-0.06,0.03,-0.08,-0.01,-0.20,-0.22,-0.11
EPS (Diluted),1.01,0.89,-0.03,-0.44,-0.06,0.02,-0.08,-0.01,-0.20,-0.22,-0.11
Free Cash Flow,40.7,27.27,0.34,-7.74,0.78,4.25,2.61,1.53,-2.77,-5.48,1.96
Free Cash Flow Per Share,1.22,0.85,0.01,-0.28,0.03,0.17,0.10,0.06,-0.11,-0.21,0.08
Gross Margin,41.93%,40.19%,38.23%,37.10%,40.21%,37.31%,37.67%,36.02%,29.22%,29.42%,29.70%
Operating Margin,16.86%,14.28%,1.03%,-13.26%,-2.37%,1.34%,-0.98%,3.95%,-8.37%,-5.84%,-3.78%
Profit Margin,14.11%,16.81%,-1.05%,-15.11%,-2.40%,1.06%,-3.84%,-0.44%,-8.30%,-8.76%,-4.83%
Free Cash Flow Margin,17.07%,16.00%,0.39%,-9.80%,1.12%,7.29%,4.68%,2.67%,-4.55%,-8.68%,3.35%
EBITDA,42.79,26.63,2.91,-8.38,-0.19,2.55,1.84,5.33,-1.74,-0.75,0.34
EBITDA Margin,17.94%,15.62%,3.36%,-10.61%,-0.27%,4.37%,3.30%,9.28%,-2.85%,-1.18%,0.58%
D&A For EBITDA,2.59,2.3,2.02,2.09,1.47,1.77,2.39,3.06,3.36,2.94,2.55
EBIT,40.2,24.34,0.9,-10.47,-1.65,0.78,-0.55,2.27,-5.1,-3.68,-2.21
EBIT Margin,16.86%,14.28%,1.03%,-13.26%,-2.37%,1.34%,-0.98%,3.95%,-8.37%,-5.84%,-3.78%
Effective Tax Rate,18.75%,-,739.57%,-,-,38.37%,-,115.75%,-,-,-
