Period Ending,"Nov '25Nov 18, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016","Dec '15Dec 31, 2015"
Market Capitalization,"1,765","1,146",234,81,161,131,29,39,35,63,73
Market Cap Growth,202.71%,390.42%,187.89%,-49.50%,22.58%,351.70%,-25.21%,10.29%,-43.93%,-13.58%,-1.83%
Enterprise Value,"1,718","1,124",224,74,143,120,21,24,20,42,44
Last Close Price,56.17,39.52,8.14,2.96,5.92,5.30,1.14,1.50,1.36,2.45,2.85
PE Ratio,54.86,39.99,-,-,-,212.54,-,-,-,-,-
PS Ratio,7.37,6.72,2.69,1.03,2.30,2.25,0.52,0.68,0.58,1.00,1.24
PB Ratio,18.39,18.08,9.35,4.50,6.09,5.00,1.31,1.47,1.30,2.08,2.09
P/TBV Ratio,21.96,23.82,23.68,19.29,9.22,7.51,1.62,1.81,1.77,2.75,2.22
P/FCF Ratio,43.91,42.02,689.37,-,205.30,30.89,11.11,25.30,-,-,37.02
P/OCF Ratio,34.90,32.73,39.59,-,31.21,23.17,6.78,10.88,55.08,-,27.32
PEG Ratio,-,14.09,14.09,14.09,14.09,14.09,14.09,14.09,14.09,14.09,14.09
EV/Sales Ratio,7.20,6.59,2.58,0.94,2.05,2.07,0.37,0.42,0.33,0.67,0.76
EV/EBITDA Ratio,40.15,42.20,76.80,-,-,47.26,11.25,4.51,-,-,130.05
EV/EBIT Ratio,42.74,46.18,249.20,-,-,154.28,-,10.58,-,-,-
EV/FCF Ratio,42.21,41.21,660.13,-,182.52,28.34,7.94,15.65,-,-,22.60
Debt / Equity Ratio,0.05,0.07,0.22,0.26,0.24,0.29,0.35,0.02,-,-,-
Debt / EBITDA Ratio,0.11,0.17,1.23,-,3.94,1.56,1.98,0.11,-,-,-
Debt / FCF Ratio,0.12,0.17,16.17,-,8.06,1.77,3.00,0.37,-,-,-
Asset Turnover,1.98,1.97,1.62,1.47,1.20,1.09,1.18,1.24,1.28,1.28,1.10
Quick Ratio,2.55,1.90,1.23,0.95,1.42,1.51,1.31,1.55,1.39,1.88,2.78
Current Ratio,2.69,2.05,1.40,1.14,1.59,1.74,1.52,1.88,1.62,2.12,3.01
Return on Equity (ROE),46.66%,64.89%,-4.13%,-54.01%,-6.86%,2.66%,-8.90%,-0.92%,-18.70%,-18.23%,-9.54%
Return on Assets (ROA),20.84%,17.60%,1.04%,-12.20%,-1.77%,0.91%,-0.73%,3.06%,-6.67%,-4.66%,-2.61%
Return on Capital (ROIC),32.67%,30.88%,2.11%,-23.59%,-3.10%,1.53%,-1.20%,5.24%,-11.11%,-7.10%,-3.90%
Return on Capital Employed (ROCE),37.10%,32.90%,2.50%,-38.50%,-4.40%,2.00%,-1.60%,7.30%,-15.80%,-10.60%,-5.70%
Earnings Yield,1.88%,2.50%,-0.39%,-14.70%,-1.04%,0.47%,-7.38%,-0.65%,-14.36%,-8.80%,-3.89%
FCF Yield,2.28%,2.38%,0.14%,-9.54%,0.49%,3.24%,9.00%,3.95%,-7.87%,-8.72%,2.70%
Buyback Yield / Dilution,-4.03%,-14.38%,-3.13%,-2.43%,-4.13%,0.78%,0.40%,-0.24%,-1.07%,-0.56%,-0.67%
