Period Ending,"Sep '25Sep 27, 2025","Dec '24Dec 28, 2024","Dec '23Dec 30, 2023","Dec '22Dec 31, 2022","Jan '22Jan 1, 2022","Jan '21Jan 2, 2021","Dec '19Dec 28, 2019","Dec '18Dec 29, 2018"
Revenue,"2,291","2,025","1,895","1,788","1,679","1,495","1,384","1,254"
Revenue Growth (YoY),15.48%,6.82%,6.02%,6.49%,12.27%,8.02%,10.40%,-
Cost of Revenue,"1,522","1,389","1,300","1,234","1,136","1,041",964.81,859.35
Gross Profit,768.9,635.54,595.43,553.23,542.4,454.52,419.25,394.32
"Selling, General & Admin",521.84,477.01,471.7,477.3,410.25,346.17,323.8,298.18
Other Operating Expenses,-4.56,-0.02,-0.26,1.95,-0.34,-0.59,1.22,0.03
Operating Expenses,527.54,487.76,485.22,500.57,430.47,362.61,339.34,310.15
Operating Income,241.36,147.78,110.21,52.66,111.94,91.91,79.92,84.17
Interest Expense,-151.1,-163.89,-170.25,-22.35,-55.74,-87.86,-92.3,-75.54
Interest & Investment Income,1.29,0.5,0.33,0.68,0.25,0.35,0.21,0.59
Other Non Operating Income (Expenses),22.34,31.89,25.66,3.64,-8.17,-8.81,-15.1,-13.74
EBT Excluding Unusual Items,113.89,16.28,-34.05,34.63,48.29,-4.43,-27.28,-4.52
Merger & Restructuring Charges,-4.88,-2.7,0.82,-17.89,-30.35,-18.17,-39.86,-39.24
Impairment of Goodwill,-,-,-105.14,-675.35,-117.7,-75.73,-,-
Gain (Loss) on Sale of Assets,-3.21,-3.21,-2.81,-3.5,-0.11,-1.84,-1.94,-1.5
Asset Writedown,-5.29,-5.29,-2.9,-1.7,-,-1.5,-1.1,-
Legal Settlements,-,-,-,-,-,50,-,-
Other Unusual Items,-5.86,-,5.07,-,-13.7,-0.07,-4.86,-4.4
Pretax Income,94.64,5.07,-139,-663.81,-113.58,-51.73,-75.03,-49.66
Income Tax Expense,19.18,16,-4.47,-1.78,3.47,5.32,1.49,-2.51
Net Income,75.46,-10.93,-134.52,-662.03,-117.04,-57.05,-76.52,-47.15
Net Income to Common,75.46,-10.93,-134.52,-662.03,-117.04,-57.05,-76.52,-47.15
Shares Outstanding (Basic),199,193,190,186,171,141,137,131
Shares Outstanding (Diluted),207,193,190,186,171,141,137,131
Shares Change (YoY),7.80%,1.55%,2.37%,8.75%,21.04%,2.97%,4.26%,-
EPS (Basic),0.38,-0.06,-0.71,-3.57,-0.69,-0.40,-0.56,-0.36
EPS (Diluted),0.37,-0.06,-0.71,-3.57,-0.69,-0.40,-0.56,-0.36
Free Cash Flow,82.52,26.32,16.56,-60.42,-27.3,101.38,-25.35,2.02
Free Cash Flow Per Share,0.40,0.14,0.09,-0.33,-0.16,0.72,-0.18,0.01
Gross Margin,33.57%,31.39%,31.42%,30.95%,32.31%,30.40%,30.29%,31.45%
Operating Margin,10.54%,7.30%,5.82%,2.95%,6.67%,6.15%,5.77%,6.71%
Profit Margin,3.29%,-0.54%,-7.10%,-37.03%,-6.97%,-3.82%,-5.53%,-3.76%
Free Cash Flow Margin,3.60%,1.30%,0.87%,-3.38%,-1.63%,6.78%,-1.83%,0.16%
EBITDA,250.42,157.36,122.09,72.08,131.29,108.43,93.53,96.11
EBITDA Margin,10.93%,7.77%,6.44%,4.03%,7.82%,7.25%,6.76%,7.67%
D&A For EBITDA,9.06,9.58,11.88,19.41,19.35,16.53,13.62,11.94
EBIT,241.36,147.78,110.21,52.66,111.94,91.91,79.92,84.17
EBIT Margin,10.54%,7.30%,5.82%,2.95%,6.67%,6.15%,5.77%,6.71%
Effective Tax Rate,20.26%,315.48%,-,-,-,-,-,-
