Period Ending,"Sep '25Sep 27, 2025","Dec '24Dec 28, 2024","Dec '23Dec 30, 2023","Dec '22Dec 31, 2022","Jan '22Jan 1, 2022","Jan '21Jan 2, 2021","Dec '19Dec 28, 2019","Dec '18Dec 29, 2018"
Cash & Equivalents,145.87,84.29,43.94,19.22,30.49,137.35,3.33,8
Cash & Short-Term Investments,152.47,84.29,43.94,19.22,30.49,137.35,3.33,8
Cash Growth,94.32%,91.82%,128.66%,-36.97%,-77.80%,4028.19%,-58.42%,-
Accounts Receivable,317.49,277.66,245.81,225.63,225.29,180.88,164.3,182.45
Other Receivables,-,-,-,-,-,-,-,8.16
Receivables,317.49,277.66,245.81,225.63,225.29,180.88,164.3,190.61
Prepaid Expenses,14.49,17.48,15.68,15.09,14.23,11.08,10.16,9.49
Other Current Assets,18.16,13.25,9.45,9.81,9.2,11.34,8.56,6.83
Total Current Assets,502.6,392.67,314.89,269.75,279.22,340.64,186.35,214.93
"Property, Plant & Equipment",55.25,58.65,70.05,77.35,83.37,78.87,80.47,27.25
Long-Term Investments,8,38.28,53.48,81.75,-,-,-,-
Goodwill,"1,116","1,055","1,055","1,160","1,836","1,316","1,226","1,225"
Other Intangible Assets,93.87,89.57,94.01,95.86,102.85,73.57,54.3,53.34
Long-Term Accounts Receivable,22.11,22.43,21.32,22.87,25.53,23.99,25.15,21.74
Long-Term Deferred Tax Assets,-,-,-,-,-,2.93,0.91,-
Long-Term Deferred Charges,5.1,2.7,1.4,0.2,1.3,3.4,0.8,-
Other Long-Term Assets,7.16,4.55,3.3,4.29,6.53,4.23,4.39,8.27
Total Assets,"1,810","1,663","1,613","1,712","2,334","1,844","1,578","1,551"
Accounts Payable,27.09,36.44,30.13,44.62,52.62,55.07,64.02,37.99
Accrued Expenses,132,128.48,108.6,76.82,78.08,81.12,54.78,73.01
Short-Term Debt,165,173.9,158.96,146.18,125.11,2.87,2.03,2.7
Current Portion of Long-Term Debt,13.25,9.2,9.2,9.2,8.6,9.91,8.06,6.71
Current Portion of Leases,15.91,15.5,14.88,13.07,14.13,12.48,11.57,-
Other Current Liabilities,56.44,38.65,33,36.61,66.29,98.96,28.08,77.96
Total Current Liabilities,409.69,402.17,354.76,326.5,344.83,260.41,168.54,198.36
Long-Term Debt,"1,289","1,272","1,276","1,281","1,242","1,192","1,041",954.73
Long-Term Leases,26.59,31.72,39.82,45.82,45.38,41.75,43.22,-
Long-Term Deferred Tax Liabilities,6.5,5.89,4.86,3.84,3.05,2.59,1.75,1.75
Other Long-Term Liabilities,68.46,74.05,64.64,58.69,61.3,79.98,52.68,51.11
Total Liabilities,"1,801","1,785","1,740","1,716","1,696","1,577","1,307","1,206"
Common Stock,2.09,1.93,1.91,1.89,1.85,1.42,0.07,0.07
Additional Paid-In Capital,"1,343","1,257","1,240","1,229","1,209",721.25,670.71,668.76
Retained Earnings,"-1,336","-1,382","-1,371","-1,237",-574.68,-457.63,-400.58,-323.83
Comprehensive Income & Other,0.73,1.46,2.14,2.14,2.14,2.14,0.75,-
Shareholders' Equity,9.91,-122.09,-127.44,-4.18,637.95,267.17,270.94,344.99
Total Liabilities & Equity,"1,810","1,663","1,613","1,712","2,334","1,844","1,578","1,551"
Total Debt,"1,510","1,502","1,499","1,495","1,435","1,259","1,106",964.14
Net Cash (Debt),"-1,358","-1,418","-1,455","-1,476","-1,405","-1,122","-1,103",-956.14
Net Cash Per Share,-6.55,-7.35,-7.66,-7.96,-8.23,-7.96,-8.06,-7.28
Filing Date Shares Outstanding,208.91,195.09,192.38,188.86,184.73,141.93,136.8,131.31
Total Common Shares Outstanding,208.91,193.23,190.73,188.86,184.73,141.93,136.8,131.31
Working Capital,92.91,-9.5,-39.87,-56.75,-65.62,80.23,17.8,16.57
Book Value Per Share,0.05,-0.63,-0.67,-0.02,3.45,1.88,1.98,2.63
Tangible Book Value,"-1,200","-1,266","-1,276","-1,260","-1,300","-1,123","-1,009",-933.77
Tangible Book Value Per Share,-5.75,-6.55,-6.69,-6.67,-7.04,-7.91,-7.38,-7.11
Machinery,-,75.96,70,62.67,56.59,45.06,33.12,24.85
Construction In Progress,-,0.23,0.54,0.73,1.48,0.67,5.08,4.26
Leasehold Improvements,-,21.81,20.9,20.07,19.43,16.42,15.03,9.71
