Period Ending,"Nov '25Nov 20, 2025","Dec '24Dec 28, 2024","Dec '23Dec 30, 2023","Dec '22Dec 31, 2022","Jan '22Jan 1, 2022","Jan '21Jan 2, 2021","Dec '19Dec 28, 2019","Dec '18Dec 29, 2018"
Market Capitalization,"1,734",900,511,145,"1,363",-,-,-
Market Cap Growth,98.98%,76.15%,252.49%,-89.36%,-,-,-,-
Enterprise Value,"3,092","2,325","1,961","1,570","2,157",-,-,-
Last Close Price,8.45,4.66,2.68,0.78,7.40,-,-,-
Forward PE,15.13,77.54,-,-,14.30,-,-,-
PS Ratio,0.74,0.45,0.27,0.08,0.81,-,-,-
PB Ratio,178.06,-7.37,-4.01,-34.73,2.14,-,-,-
P/FCF Ratio,21.01,34.21,30.88,-,-,-,-,-
P/OCF Ratio,19.36,27.59,22.55,-,-,-,-,-
PEG Ratio,-,-,-,-,0.36,-,-,-
EV/Sales Ratio,1.35,1.15,1.03,0.88,1.29,-,-,-
EV/EBITDA Ratio,12.35,14.78,16.06,21.79,16.43,-,-,-
EV/EBIT Ratio,12.81,15.73,17.80,29.82,19.27,-,-,-
EV/FCF Ratio,37.47,88.34,118.46,-,-,-,-,-
Debt / Equity Ratio,152.32,-12.30,-11.76,-358.17,2.25,4.71,4.08,2.80
Debt / EBITDA Ratio,5.43,8.11,9.95,15.11,9.21,9.71,9.99,10.03
Debt / FCF Ratio,18.30,57.07,90.55,-,-,12.42,-,478.01
Asset Turnover,1.33,1.24,1.14,0.88,0.80,0.87,0.89,-
Quick Ratio,1.15,0.90,0.82,0.75,0.74,1.22,1.00,1.00
Current Ratio,1.23,0.98,0.89,0.83,0.81,1.31,1.11,1.08
Return on Equity (ROE),-,-,-,-208.92%,-25.86%,-21.20%,-24.84%,-
Return on Assets (ROA),8.73%,5.64%,4.14%,1.63%,3.35%,3.36%,3.19%,-
Return on Capital (ROIC),10.52%,6.71%,4.81%,1.85%,3.89%,3.96%,3.72%,-
Return on Capital Employed (ROCE),17.20%,11.70%,8.80%,3.80%,5.60%,5.80%,5.70%,6.20%
Earnings Yield,4.35%,-1.21%,-26.32%,-456.52%,-8.59%,-,-,-
FCF Yield,4.76%,2.92%,3.24%,-41.66%,-2.00%,-,-,-
Buyback Yield / Dilution,-7.80%,-1.55%,-2.37%,-8.75%,-21.04%,-2.97%,-4.26%,-
