Period Ending,"Nov '25Nov 18, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016"
Market Capitalization,"4,437","3,948","5,968","5,473","5,116","2,921","2,633",-,-,-
Market Cap Growth,13.15%,-33.84%,9.03%,6.99%,75.14%,10.94%,-,-,-,-
Enterprise Value,"5,422","4,679","6,739","6,365","6,135","4,057","3,938",-,-,-
Last Close Price,28.11,23.20,33.69,30.09,28.44,15.64,14.92,-,-,-
PE Ratio,22.06,18.64,22.34,36.35,36.57,-,-,-,-,-
Forward PE,18.86,19.18,29.76,33.52,32.40,64.28,-,-,-,-
PS Ratio,0.84,0.79,1.39,1.39,1.49,0.96,1.14,-,-,-
PB Ratio,3.31,2.81,4.20,3.95,4.35,2.88,2.90,-,-,-
P/FCF Ratio,20.22,13.72,18.11,23.57,27.96,29.06,235.60,-,-,-
P/OCF Ratio,17.25,12.21,16.07,20.46,24.53,22.93,66.71,-,-,-
PEG Ratio,2.07,1.54,1.43,2.69,-,-,-,-,-,-
EV/Sales Ratio,0.98,0.94,1.57,1.61,1.78,1.34,1.71,-,-,-
EV/EBITDA Ratio,13.51,12.14,17.89,20.82,23.63,21.51,47.25,-,-,-
EV/EBIT Ratio,16.26,14.54,21.42,26.50,32.15,36.63,154.56,-,-,-
EV/FCF Ratio,24.57,16.26,20.46,27.41,33.54,40.36,352.43,-,-,-
Debt / Equity Ratio,0.94,0.87,0.82,0.83,0.99,1.21,1.51,0.90,0.89,-
Debt / EBITDA Ratio,2.94,2.91,2.86,3.45,4.01,5.58,12.57,6.80,8.27,-
Debt / FCF Ratio,5.78,4.23,3.54,4.97,6.34,12.19,122.81,-,41.84,-
Asset Turnover,1.60,1.51,1.36,1.34,1.26,1.16,1.15,1.35,-,-
Inventory Turnover,12.27,12.04,13.33,15.11,15.56,17.13,18.05,17.63,-,-
Quick Ratio,1.00,1.13,1.27,1.30,1.09,1.07,1.23,1.46,1.44,-
Current Ratio,1.56,1.70,1.77,1.76,1.55,1.51,1.69,1.95,1.96,-
Return on Equity (ROE),15.02%,14.99%,19.02%,11.75%,12.77%,-0.84%,-10.06%,-1.01%,-,-
Return on Assets (ROA),6.03%,6.06%,6.21%,5.09%,4.39%,2.64%,0.79%,1.67%,-,-
Return on Capital (ROIC),7.89%,7.72%,7.67%,6.16%,5.21%,3.06%,0.93%,2.09%,-,-
Return on Capital Employed (ROCE),12.60%,12.20%,12.10%,9.40%,8.20%,5.00%,1.10%,3.20%,2.30%,-
Earnings Yield,4.69%,5.37%,4.48%,2.75%,2.73%,-0.28%,-2.88%,-,-,-
FCF Yield,4.95%,7.29%,5.52%,4.24%,3.58%,3.44%,0.42%,-,-,-
Buyback Yield / Dilution,5.08%,4.17%,0.93%,-0.48%,-0.13%,-15.80%,-9.58%,-,-,-
