Period Ending,"Sep '25Sep 30, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016"
Revenue,"5,530","4,998","4,302","3,945","3,439","3,033","2,310","1,940","1,782","1,673"
Revenue Growth (YoY),15.79%,16.17%,9.06%,14.72%,13.39%,31.26%,19.11%,8.83%,6.55%,-
Cost of Revenue,"4,457","3,985","3,321","3,078","2,659","2,350","1,797","1,518","1,382","1,262"
Gross Profit,"1,073","1,013",981.22,866.92,779.61,682.26,513,422.22,400.4,410.78
"Selling, General & Admin",675.04,630.25,607.43,566.12,525.71,500.2,433.83,345.88,338.46,328.93
Operating Expenses,739.93,691.16,666.63,626.69,588.77,571.51,487.52,383.95,373.12,358.33
Operating Income,333.44,321.83,314.6,240.23,190.84,110.76,25.48,38.27,27.28,52.45
Interest Expense,-50.34,-49.03,-51.25,-53.81,-67,-107.77,-73.72,-45.82,-44.31,-43.39
Earnings From Equity Investments,7.34,5.96,5.53,5.13,6.03,3.31,2.84,1.02,2.19,1.7
Other Non Operating Income (Expenses),-2.91,5.23,4.97,3.92,-,0,-1.52,-2.23,0.14,0.15
EBT Excluding Unusual Items,287.53,284,273.84,195.47,129.87,6.3,-46.93,-8.77,-14.71,10.91
Merger & Restructuring Charges,-,-,-21.1,-,-,-,-25.8,-,-,-
Gain (Loss) on Sale of Assets,-,-,-,10.3,-,-,-,-,-,-
Other Unusual Items,-5.1,-0.4,106,-,-13.37,-11.55,-5.47,-,-,-
Pretax Income,282.43,283.6,358.74,205.77,116.49,-5.24,-78.19,-8.77,-14.71,10.91
Income Tax Expense,73.22,71.78,91.65,55.21,-23.4,2.83,-2.27,-2.65,-18.59,7
Net Income,209.21,211.82,267.09,150.56,139.9,-8.08,-75.92,-6.12,3.88,3.91
Net Income to Common,209.21,211.82,267.09,150.56,139.9,-8.08,-75.92,-6.12,3.88,3.91
Net Income Growth,0.17%,-20.69%,77.40%,7.62%,-,-,-,-,-0.82%,-
Shares Outstanding (Basic),165,172,179,181,180,181,156,143,143,-
Shares Outstanding (Diluted),166,173,180,182,181,181,156,143,143,-
Shares Change (YoY),-5.08%,-4.17%,-0.93%,0.48%,0.13%,15.80%,9.58%,-,-,-
EPS (Basic),1.27,1.23,1.49,0.83,0.78,-0.04,-0.49,-0.04,0.03,-
EPS (Diluted),1.27,1.23,1.48,0.83,0.77,-0.04,-0.49,-0.04,0.03,-
EPS Growth,6.77%,-16.89%,78.31%,7.79%,-,-,-,-,-,-
Free Cash Flow,220.68,287.79,329.43,232.19,182.94,100.52,11.18,-1.85,12.92,47.91
Free Cash Flow Per Share,1.33,1.67,1.83,1.27,1.01,0.56,0.07,-0.01,0.09,-
Gross Margin,19.41%,20.27%,22.81%,21.98%,22.67%,22.50%,22.20%,21.77%,22.46%,24.55%
Operating Margin,6.03%,6.44%,7.31%,6.09%,5.55%,3.65%,1.10%,1.97%,1.53%,3.14%
Profit Margin,3.78%,4.24%,6.21%,3.82%,4.07%,-0.27%,-3.29%,-0.32%,0.22%,0.23%
Free Cash Flow Margin,3.99%,5.76%,7.66%,5.89%,5.32%,3.31%,0.48%,-0.10%,0.73%,2.86%
EBITDA,401.29,385.33,376.8,305.67,259.65,188.65,83.35,79.32,65.34,84.9
EBITDA Margin,7.26%,7.71%,8.76%,7.75%,7.55%,6.22%,3.61%,4.09%,3.67%,5.08%
D&A For EBITDA,67.84,63.5,62.2,65.43,68.8,77.9,57.87,41.06,38.06,32.45
EBIT,333.44,321.83,314.6,240.23,190.84,110.76,25.48,38.27,27.28,52.45
EBIT Margin,6.03%,6.44%,7.31%,6.09%,5.55%,3.65%,1.10%,1.97%,1.53%,3.14%
Effective Tax Rate,25.92%,25.31%,25.55%,26.83%,-,-,-,-,-,64.17%
