Period Ending,"Nov '25Nov 18, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016","Dec '15Dec 31, 2015"
Market Capitalization,"3,637","2,454","1,861",301,715,675,646,"1,722",-,-,-
Market Cap Growth,38.73%,31.88%,517.29%,-57.87%,6.05%,4.38%,-62.48%,-,-,-,-
Enterprise Value,"6,129","5,081","4,434","2,989","3,372","3,471","3,384","4,845",-,-,-
Last Close Price,11.58,7.92,6.07,1.99,4.79,4.57,4.82,13.53,-,-,-
PE Ratio,719.04,-,-,-,67.35,7.41,-,-,-,-,-
Forward PE,13.66,11.69,11.92,2.71,5.65,7.07,12.36,10.53,-,-,-
PS Ratio,1.23,0.88,0.78,0.14,0.34,0.34,0.40,1.04,-,-,-
PB Ratio,-,-55.10,30.35,1.44,1.86,1.89,1.86,1.92,-,-,-
P/FCF Ratio,14.61,10.45,6.23,18.49,3.75,2.13,-,10.31,-,-,-
P/OCF Ratio,11.13,8.32,5.38,4.63,2.96,1.78,379.09,6.88,-,-,-
PEG Ratio,-,0.51,0.51,0.18,0.66,2.65,0.98,0.48,-,-,-
EV/Sales Ratio,2.09,1.82,1.85,1.35,1.61,1.74,2.08,2.91,-,-,-
EV/EBITDA Ratio,9.82,8.69,8.85,6.79,7.49,9.11,14.66,11.17,-,-,-
EV/EBIT Ratio,15.99,14.59,16.34,14.94,15.57,23.83,-,16.95,-,-,-
EV/FCF Ratio,24.55,21.64,14.84,183.29,17.67,10.94,-,28.99,-,-,-
Debt / Equity Ratio,-63.68,-58.22,44.87,13.62,7.52,8.41,7.99,3.00,-3.95,-6.81,-5.42
Debt / EBITDA Ratio,4.17,4.28,5.26,6.15,6.15,7.36,10.78,6.20,5.48,3.90,4.01
Debt / FCF Ratio,10.76,11.05,9.21,174.50,15.13,9.46,-,16.10,10.65,-,-
Asset Turnover,0.83,0.80,0.66,0.57,0.53,0.52,0.41,0.58,0.81,0.91,-
Inventory Turnover,3.04,2.98,2.75,2.79,2.67,3.08,2.77,2.58,1.92,1.78,-
Quick Ratio,1.31,0.82,0.87,1.10,1.39,1.49,1.43,1.41,1.55,1.95,1.50
Current Ratio,2.13,1.41,1.63,1.88,2.25,2.29,2.20,2.32,2.60,3.23,2.53
Return on Equity (ROE),-,-881.26%,-36.06%,-85.96%,5.45%,19.50%,-97.10%,-77.31%,-,-,-
Return on Assets (ROA),6.79%,6.24%,4.67%,3.23%,3.41%,2.37%,-0.20%,6.28%,10.99%,15.34%,-
Return on Capital (ROIC),9.12%,8.12%,5.78%,3.95%,4.08%,2.81%,-0.24%,7.61%,13.21%,18.54%,-
Return on Capital Employed (ROCE),14.00%,14.70%,10.30%,6.60%,6.60%,4.40%,-0.40%,7.50%,21.50%,27.60%,29.30%
Earnings Yield,0.16%,-4.76%,-4.51%,-43.12%,1.49%,13.50%,-55.99%,-9.85%,-,-,-
FCF Yield,6.85%,9.57%,16.06%,5.41%,26.68%,47.01%,-7.04%,9.70%,-,-,-
Payout Ratio,-,-,-,-,-,-,-,-,223.84%,96.74%,152.36%
Buyback Yield / Dilution,-9.44%,-75.42%,-16.69%,0.58%,-1.95%,-12.72%,-3.81%,32.67%,-,-,-
Total Shareholder Return,-9.44%,-75.42%,-16.69%,0.58%,-1.95%,-12.72%,-3.81%,32.67%,-,-,-
