Period Ending,"Sep '25Sep 30, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020"
Revenue,35.24,45.56,14.09,102.69,-,-
Revenue Growth (YoY),4.91%,223.37%,-86.28%,-,-,-
Gross Profit,35.24,45.56,14.09,102.69,-,-
"Selling, General & Admin",100.04,70.45,37.63,19.51,6,1.69
Research & Development,138.13,151.41,159.42,86.74,28.97,4.95
Operating Expenses,238.18,221.85,197.06,106.25,34.98,6.64
Operating Income,-202.93,-176.29,-182.97,-3.56,-34.98,-6.64
Interest Expense,-,-,-,-0.29,-0.41,-0.42
Interest & Investment Income,25.6,16.88,11.28,-,-,-
Currency Exchange Gain (Loss),5.27,-6.6,5.06,-9.75,1.71,0.03
Other Non Operating Income (Expenses),-27.02,-38.58,-10.02,-8.34,-7.22,-
EBT Excluding Unusual Items,-199.07,-204.59,-176.64,-21.93,-40.9,-7.03
Other Unusual Items,-22,-37.01,-0.27,-0.71,-0.88,-
Pretax Income,-221.07,-241.6,-176.91,-22.63,-41.79,-7.03
Income Tax Expense,-,-0,0.03,-,-,-
Net Income,-221.07,-241.6,-176.94,-22.63,-41.79,-7.03
Net Income to Common,-221.07,-241.6,-176.94,-22.63,-41.79,-7.03
Shares Outstanding (Basic),113,94,82,19,11,5
Shares Outstanding (Diluted),113,94,82,19,11,5
Shares Change (YoY),25.73%,14.84%,333.20%,72.75%,119.58%,-
EPS (Basic),-1.95,-2.56,-2.15,-1.19,-3.81,-1.41
EPS (Diluted),-1.95,-2.56,-2.15,-1.19,-3.81,-1.41
Free Cash Flow,-144.54,-159.24,-141.24,10.44,-29.54,-7.32
Free Cash Flow Per Share,-1.27,-1.69,-1.72,0.55,-2.69,-1.46
Gross Margin,100.00%,100.00%,100.00%,100.00%,-,-
Operating Margin,-575.81%,-386.91%,-1298.56%,-3.46%,-,-
Profit Margin,-627.28%,-530.25%,-1255.76%,-22.04%,-,-
Free Cash Flow Margin,-410.12%,-349.49%,-1002.43%,10.17%,-,-
EBITDA,-202.72,-176.18,-182.92,-3.55,-34.97,-6.64
EBITDA Margin,-,-,-,-3.45%,-,-
D&A For EBITDA,0.21,0.11,0.05,0.01,0.01,0
EBIT,-202.93,-176.29,-182.97,-3.56,-34.98,-6.64
EBIT Margin,-,-,-,-3.46%,-,-
