Period Ending,"Nov '25Nov 6, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020"
Market Capitalization,"4,191","2,751",920,889,139,-
Market Cap Growth,144.78%,199.19%,3.44%,537.58%,-,-
Enterprise Value,"3,439","2,329",501,796,144,-
Last Close Price,38.13,25.70,11.17,10.90,9.75,-
PS Ratio,122.72,60.38,65.26,8.66,-,-
PB Ratio,5.93,3.63,3.19,2.07,2.46,-
P/TBV Ratio,5.76,3.64,3.19,2.07,2.46,-
P/FCF Ratio,-,-,-,85.12,-,-
P/OCF Ratio,-,-,-,83.36,-,-
EV/Sales Ratio,97.57,51.12,35.56,7.75,-,-
EV/FCF Ratio,-,-,-,76.18,-,-
Debt / Equity Ratio,0,0.00,0,0,0.00,-3.26
Debt / FCF Ratio,-,-,-,0.01,-,-
Asset Turnover,0.06,0.08,0.03,0.38,-,-
Quick Ratio,12.06,8.00,6.86,13.03,5.81,0.61
Current Ratio,12.57,8.07,6.95,13.26,5.96,0.72
Return on Equity (ROE),-39.94%,-46.20%,-49.25%,-9.30%,-159.01%,-
Return on Assets (ROA),-20.70%,-18.19%,-27.70%,-0.81%,-55.71%,-
Return on Capital (ROIC),-22.90%,-21.06%,-31.82%,-0.91%,-66.25%,-
Earnings Yield,-5.27%,-8.78%,-19.24%,-2.55%,-29.97%,-
FCF Yield,-3.45%,-5.79%,-15.36%,1.18%,-21.18%,-
Buyback Yield / Dilution,-25.73%,-14.84%,-333.20%,-72.75%,-119.58%,-
