Period Ending,"Sep '25Sep 30, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016","Dec '15Dec 31, 2015"
Revenue,"1,430","1,311","1,662","2,001","1,805","1,229","1,249","1,214","1,054",942.16,848.9
Revenue Growth (YoY),10.45%,-21.10%,-16.94%,10.83%,46.86%,-1.59%,2.90%,15.16%,11.89%,10.99%,-4.69%
Cost of Revenue,978.4,875.26,"1,004","1,173","1,135",798.09,783.32,778.71,701.93,655.24,600.32
Gross Profit,451.39,435.86,658.18,827.24,670.36,431.12,465.81,435.28,352.28,286.92,248.58
"Selling, General & Admin",240.99,233.91,257.94,280.88,257.71,184.97,181.34,176.2,168.59,158.32,139.25
Research & Development,154.23,134.05,134.87,126.32,119.2,94.29,88.52,86.29,77.88,69.94,57.03
Amortization of Goodwill & Intangibles,22.52,16.5,15.28,15.61,16.22,16.26,18.04,18.35,18.8,20.48,8.6
Other Operating Expenses,-,-0,-0.02,-0.11,1,1.07,1.73,0.6,-0,0.07,-0.06
Operating Expenses,417.74,384.46,408.07,422.7,394.13,296.58,289.63,281.43,265.26,248.81,204.81
Operating Income,33.65,51.4,250.11,404.54,276.23,134.54,176.18,153.85,87.01,38.12,43.77
Interest Expense,-1.97,-2.33,-5.7,-8.32,-7.49,-11.66,-7.89,-9.9,-13.45,-13.26,-4.23
Interest & Investment Income,26.24,18.3,13.34,3.67,3.14,1.07,2.19,1.98,1.48,1.36,1.01
Currency Exchange Gain (Loss),-13.6,-6.31,-5.26,2.12,-2.11,-9.81,-3.74,-3.7,-8,2.17,1.26
Other Non Operating Income (Expenses),2.62,2.89,6.72,6.79,8.05,4.34,7.08,7.1,1.15,-0.01,0.06
EBT Excluding Unusual Items,46.95,63.95,259.2,408.8,277.82,118.46,173.82,149.33,68.19,28.38,41.87
Merger & Restructuring Charges,-0.9,-8.59,-1.58,-,-,-0.1,-,-,-12.04,-0.01,-
Gain (Loss) on Sale of Investments,20.56,-0.32,18.27,-16.51,28.02,2.08,-,-,-,-3.22,0.4
Gain (Loss) on Sale of Assets,15.15,7.64,2.05,3.65,9.25,-0.11,24.43,0.64,0.25,-,-
Asset Writedown,-,-,-,-,-,-,-,-,-0.31,-0.11,-1.67
Pretax Income,81.76,62.68,277.93,395.94,315.1,120.34,198.25,149.96,62.59,25.04,40.6
Income Tax Expense,14.68,11.84,47.29,56.69,78.81,21.11,44.13,44.56,62.33,6.56,14.08
Earnings From Continuing Operations,67.08,50.84,230.65,339.26,236.29,99.23,154.12,105.41,0.27,18.48,26.51
Minority Interest in Earnings,-2.9,-6.82,-3.47,-7.97,-7.53,-1.14,-0.87,-1.39,-2.07,-2.54,-2.24
Net Income,64.18,44.02,227.18,331.28,228.76,98.09,153.25,104.02,-1.81,15.94,24.27
Net Income to Common,64.18,44.02,227.18,331.28,228.76,98.09,153.25,104.02,-1.81,15.94,24.27
Net Income Growth,5.08%,-80.62%,-31.42%,44.81%,133.22%,-35.99%,47.33%,-,-,-34.35%,-61.88%
Shares Outstanding (Basic),46,46,46,45,45,51,51,50,49,49,48
Shares Outstanding (Diluted),46,46,46,46,46,52,52,51,49,50,50
Shares Change (YoY),0.20%,0.21%,0.60%,0.56%,-12.18%,0.53%,1.82%,4.32%,-1.94%,0.58%,1.86%
EPS (Basic),1.38,0.95,4.96,7.31,5.11,1.92,3.02,2.09,-0.04,0.33,0.50
EPS (Diluted),1.38,0.95,4.91,7.20,5.00,1.88,2.96,2.04,-0.04,0.32,0.49
EPS Growth,4.48%,-80.65%,-31.81%,44.00%,165.96%,-36.49%,45.10%,-,-,-34.69%,-62.59%
Free Cash Flow,186.86,46.41,130.15,180.77,197.35,111.41,131.27,98.06,69.96,66.19,-15.13
Free Cash Flow Per Share,4.02,1.00,2.81,3.93,4.31,2.14,2.53,1.93,1.43,1.33,-0.31
Gross Margin,31.57%,33.24%,39.61%,41.35%,37.14%,35.07%,37.29%,35.85%,33.42%,30.45%,29.28%
Operating Margin,2.35%,3.92%,15.05%,20.22%,15.30%,10.95%,14.10%,12.67%,8.25%,4.05%,5.16%
Profit Margin,4.49%,3.36%,13.67%,16.56%,12.67%,7.98%,12.27%,8.57%,-0.17%,1.69%,2.86%
Free Cash Flow Margin,13.07%,3.54%,7.83%,9.04%,10.93%,9.06%,10.51%,8.08%,6.64%,7.03%,-1.78%
EBITDA,177.05,188.57,387.47,532.32,398.89,243.38,286.74,258.49,182.69,137.08,123.87
EBITDA Margin,12.38%,14.38%,23.32%,26.61%,22.10%,19.80%,22.96%,21.29%,17.33%,14.55%,14.59%
D&A For EBITDA,143.39,137.17,137.36,127.78,122.66,108.84,110.56,104.64,95.68,98.97,80.1
EBIT,33.65,51.4,250.11,404.54,276.23,134.54,176.18,153.85,87.01,38.12,43.77
EBIT Margin,2.35%,3.92%,15.05%,20.22%,15.30%,10.95%,14.10%,12.67%,8.25%,4.05%,5.16%
Effective Tax Rate,17.95%,18.89%,17.01%,14.32%,25.01%,17.54%,22.26%,29.71%,99.58%,26.20%,34.69%
