Period Ending,"Sep '25Sep 30, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022"
Revenue,"2,066","1,673","1,278","1,009"
Revenue Growth (YoY),61.57%,30.88%,26.73%,-
Cost of Revenue,252.98,207.51,219.74,214.69
Gross Profit,"1,813","1,466","1,059",794.15
"Selling, General & Admin","1,510",983.85,871.51,876.84
Research & Development,902.45,309.58,259,239.88
Operating Expenses,"2,428","1,308","1,142","1,124"
Operating Income,-615.42,157.49,-83.41,-329.86
Interest & Investment Income,30.07,39.47,32.82,8.11
Other Non Operating Income (Expenses),-397.94,-219.69,-152.38,-126.71
EBT Excluding Unusual Items,-983.29,-22.73,-202.97,-448.46
Merger & Restructuring Charges,-,-,-,-1.3
Asset Writedown,-,-,-,-20.83
Pretax Income,-983.29,-22.73,-202.97,-470.59
Income Tax Expense,1.48,2.61,0.23,-0.34
Net Income,-984.77,-25.34,-203.2,-470.25
Net Income to Common,-984.77,-25.34,-203.2,-470.25
Shares Outstanding (Basic),158,65,63,58
Shares Outstanding (Diluted),158,65,63,58
Shares Change (YoY),150.80%,2.86%,9.02%,-
EPS (Basic),-6.22,-0.39,-3.22,-8.12
EPS (Diluted),-6.22,-0.39,-3.22,-8.12
Free Cash Flow,31.19,59.33,-167.1,-482.86
Free Cash Flow Per Share,0.20,0.91,-2.65,-8.34
Gross Margin,87.75%,87.60%,82.81%,78.72%
Operating Margin,-29.79%,9.41%,-6.52%,-32.70%
Profit Margin,-47.67%,-1.52%,-15.89%,-46.61%
Free Cash Flow Margin,1.51%,3.55%,-13.07%,-47.86%
EBITDA,-602.62,166.36,-76.17,-325.96
EBITDA Margin,-29.17%,9.94%,-5.96%,-32.31%
D&A For EBITDA,12.81,8.87,7.24,3.9
EBIT,-615.42,157.49,-83.41,-329.86
EBIT Margin,-29.79%,9.41%,-6.52%,-32.70%
