Period Ending,"Nov '25Nov 13, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022"
Market Capitalization,"7,188",-,-,-
Enterprise Value,"6,138",-,-,-
Debt / Equity Ratio,0.10,0.10,0.11,0.09
Debt / EBITDA Ratio,-,0.52,-,-
Debt / FCF Ratio,4.42,1.62,-,-
Asset Turnover,-,1.20,0.93,-
Quick Ratio,4.01,2.73,3.39,4.92
Current Ratio,4.94,3.43,4.03,5.90
Return on Equity (ROE),-,-2.67%,-19.95%,-
Return on Assets (ROA),-,7.08%,-3.81%,-
Return on Capital (ROIC),-,9.39%,-4.65%,-
Return on Capital Employed (ROCE),-,14.50%,-,-
Buyback Yield / Dilution,-150.80%,-2.86%,-9.02%,-
