Period Ending,"Nov '25Nov 18, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016","Dec '15Dec 31, 2015"
Market Capitalization,"3,048","2,253","2,414","2,238","3,542","6,477","4,261","3,800","7,127","2,182","3,423"
Market Cap Growth,56.76%,-6.67%,7.85%,-36.81%,-45.32%,52.00%,12.14%,-46.69%,226.57%,-36.24%,-2.96%
Enterprise Value,"1,454",-5,-275,-530,37,"3,885","2,286","2,104","6,070","1,927","3,619"
Last Close Price,58.56,39.52,37.49,28.69,38.75,66.17,43.26,49.05,92.65,32.30,51.19
PE Ratio,1.85,-,6.95,18.73,-,4.75,8.52,15.92,18.60,9.94,21.51
Forward PE,15.13,11.54,12.27,12.52,-,30.84,41.78,8.94,17.45,10.26,15.38
PS Ratio,1.50,1.01,1.06,0.93,1.35,3.38,4.73,31.51,4.00,1.85,3.77
PB Ratio,0.46,0.47,0.46,0.41,0.64,1.04,0.77,1.22,4.33,3.00,6.84
P/TBV Ratio,0.79,1.16,1.30,1.24,1.23,1.72,1.94,1.57,5.31,4.89,7.56
P/FCF Ratio,-,10.02,11.28,9.04,25.37,18.82,7.86,6.17,13.96,6.71,13.86
P/OCF Ratio,-,7.30,8.17,7.07,16.83,13.08,6.40,5.85,12.47,6.26,12.19
PEG Ratio,3.07,2.21,1.48,-,-,3.50,6.79,0.51,0.51,0.51,0.51
EV/Sales Ratio,0.69,-,-,-,0.01,2.03,2.54,17.44,3.41,1.63,3.98
EV/EBITDA Ratio,10.54,-,-,-,0.58,-,-,-,13.61,6.81,16.51
EV/EBIT Ratio,23.64,-,-,-,-,-,-,-,14.83,7.92,19.00
EV/FCF Ratio,-,-,-,-,0.27,11.29,4.22,3.42,11.89,5.92,14.65
Debt / Equity Ratio,0.01,0.01,0.09,0.17,0.17,0.15,0.15,0,0.06,0.55,0.79
Debt / EBITDA Ratio,0.20,0.33,2.62,4.07,13.01,-,-,-,0.20,1.41,1.81
Debt / FCF Ratio,-,0.25,2.28,3.67,6.79,2.67,1.52,0.00,0.18,1.23,1.60
Asset Turnover,0.27,0.28,0.26,0.27,0.30,0.25,0.16,0.04,0.96,0.96,0.83
Inventory Turnover,-,-,-,-,-,-,-,-,5407.24,607.62,448.76
Quick Ratio,2.17,0.77,1.17,1.36,1.86,3.98,2.23,3.94,2.86,1.23,2.17
Current Ratio,2.52,0.96,1.32,1.51,2.02,4.13,3.77,4.28,3.22,1.25,2.62
Return on Equity (ROE),27.58%,-4.86%,5.94%,1.68%,-2.35%,-0.53%,-1.82%,0.32%,31.57%,36.43%,31.51%
Return on Assets (ROA),0.49%,0.37%,0.25%,0.45%,-0.81%,-3.26%,-5.83%,-3.90%,13.73%,12.35%,10.91%
Return on Capital (ROIC),0.64%,0.56%,0.36%,0.64%,-1.02%,-3.77%,-6.93%,-4.80%,17.41%,15.48%,13.61%
Return on Capital Employed (ROCE),0.90%,1.00%,0.60%,1.10%,-1.70%,-5.70%,-8.20%,-5.70%,23.50%,33.10%,20.90%
Earnings Yield,57.32%,-6.55%,14.39%,5.34%,-2.53%,21.05%,11.74%,6.28%,5.38%,10.06%,4.65%
FCF Yield,-,9.98%,8.87%,11.06%,3.94%,5.31%,12.72%,16.20%,7.16%,14.91%,7.22%
Dividend Yield,6.40%,-,-,7.11%,5.27%,-,-,-,-,-,-
Payout Ratio,8.74%,-,24.24%,122.15%,-,4.74%,-,-,-,-,-
Buyback Yield / Dilution,18.72%,20.86%,11.09%,-5.34%,2.39%,-3.61%,-19.36%,-6.35%,-0.04%,-5.67%,3.98%
Total Shareholder Return,25.17%,20.86%,11.09%,1.77%,7.65%,-3.61%,-19.36%,-6.35%,-0.04%,-5.67%,3.98%
