Period Ending,"Jun '25Jun 30, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016","Dec '15Dec 31, 2015"
Cash & Equivalents,400.97,444.76,"1,064","1,214","1,837","1,743",389.3,873,402.27,227.52,143.08
Short-Term Investments,"1,209","1,356","2,250","2,729","2,557","1,820","1,923","1,208",941.28,540.3,291.87
Cash & Short-Term Investments,"1,610","1,801","3,314","3,943","4,394","3,563","2,313","2,081","1,344",767.82,434.94
Cash Growth,-42.84%,-45.67%,-15.95%,-10.25%,23.33%,54.04%,11.15%,54.86%,74.98%,76.53%,-42.48%
Accounts Receivable,133.08,136.49,149.49,138.08,191.53,143.61,96.23,56.99,25.38,43.9,21.2
Other Receivables,-,130.41,133.39,98.68,84.79,49.64,34.76,71.65,13.26,16.16,6.35
Receivables,133.08,266.89,282.87,236.76,283.93,193.52,158.07,266.68,38.64,60.06,27.55
Inventory,-,-,-,-,-,-,-,-,0.05,0.33,2.22
Prepaid Expenses,223.2,-,-,-,-,-,-,-,-,-,0.21
Restricted Cash,25.27,371.33,319.25,303.37,297.02,13.73,0.5,-,-,-,-
Other Current Assets,29.08,117.55,156.25,161.23,95.62,131.54,"1,665",50.2,174.54,16.2,76.16
Total Current Assets,"2,021","2,556","4,073","4,645","5,070","3,901","4,136","2,398","1,557",844.41,559.09
"Property, Plant & Equipment",532.58,520.18,420.85,376.4,381.96,423.24,323.41,188.48,156.3,120.8,129.91
Long-Term Investments,526.24,530.69,544.54,660.4,"1,022","1,239",284.86,812.99,177.2,132.3,87.42
Goodwill,"2,194","2,194","2,649","2,649","1,958","1,872","1,859",1.71,1.8,2.06,23.36
Other Intangible Assets,549.55,580.37,649.79,728.31,682.13,602.98,692.07,270.34,287.43,278.15,22.55
Long-Term Accounts Receivable,-,-,-,-,-,-,-,-,3.07,-,-
Long-Term Deferred Tax Assets,2.74,2.56,-,-,-,-,9.64,10.3,17.37,16.97,0.52
Other Long-Term Assets,"1,692","1,143",146.76,12.59,4.88,36.26,174.02,32.55,22.17,14.68,301.95
Total Assets,"7,518","7,528","8,484","9,072","9,120","8,095","7,498","3,747","2,222","1,409","1,125"
Accounts Payable,76.17,84.02,66.76,56,18.01,20.96,17.35,16.66,11.73,19.75,20
Accrued Expenses,533.76,476.46,467.4,431.16,445.31,447.92,311.13,307.12,200.39,136,97.66
Short-Term Debt,16.74,34.85,52.12,37.27,-,112.55,80.02,-,90.4,-,-
Current Portion of Long-Term Debt,-,-,405.6,435.09,-,-,-,1,-,398.72,-
Current Portion of Leases,9.02,10.78,12.39,12.45,11.04,14.33,12.02,-,-,-,-
Current Income Taxes Payable,72.22,78.3,86.1,78.1,65.74,60.9,60.62,34.25,22.48,20.27,16.54
Current Unearned Revenue,70.66,70.84,79.72,89.55,64.34,68.01,28.82,153.15,128.86,70.11,67.83
Other Current Liabilities,23.09,"1,919","1,916","1,932","1,907",219.46,586.93,48.04,29.6,30.68,11.21
Total Current Liabilities,801.65,"2,674","3,086","3,072","2,512",944.12,"1,097",560.22,483.47,675.53,213.23
Long-Term Debt,-,-,-,401.61,931.45,783.64,719.32,-,1,-,396.17
Long-Term Leases,7.83,9.95,18.42,21.6,5.73,8.12,13.31,-,-,-,-
Long-Term Unearned Revenue,11.55,12.64,12.93,9.77,6.42,3.13,2.5,13.33,8.87,3.67,3.2
Long-Term Deferred Tax Liabilities,51.01,47.63,53.96,64.26,36.21,42.42,38.01,4,1.66,1.16,2.59
Other Long-Term Liabilities,24.53,23.73,22.13,91.37,65.83,72.62,110.7,60.87,80.69,1.34,9.52
Total Liabilities,896.57,"2,768","3,194","3,660","3,558","1,854","1,981",638.43,575.69,681.69,624.71
Common Stock,0.01,0.01,0.01,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.01
Additional Paid-In Capital,"3,307","3,346","3,283","3,278","3,247","3,457","3,148","1,624",820.67,311.92,309.87
Retained Earnings,"4,720","2,837","2,985","2,718","2,739","2,900","1,497","1,020",811.6,401.47,194.64
Treasury Stock,"-1,212","-1,223",-913.94,-655.14,-526.72,-139.53,-24.14,-,-,-,-
Comprehensive Income & Other,-234.05,-247.62,-197.01,-162.24,69.18,18.47,127.85,48.88,-1.47,13.4,-5.6
Total Common Equity,"6,581","4,712","5,157","5,178","5,528","6,235","4,749","2,693","1,631",726.8,498.91
Minority Interest,40.38,47.77,133.33,233.15,34.14,5.5,768.63,415.38,15.63,0.87,1.18
Shareholders' Equity,"6,622","4,760","5,290","5,411","5,562","6,241","5,517","3,108","1,646",727.68,500.09
Total Liabilities & Equity,"7,518","7,528","8,484","9,072","9,120","8,095","7,498","3,747","2,222","1,409","1,125"
Total Debt,33.59,55.58,488.53,908.02,948.22,918.64,824.67,1,91.41,398.72,396.17
Net Cash (Debt),"1,576","1,745","2,826","3,035","3,446","2,644","1,488","2,080","1,252",369.1,38.78
Net Cash Growth,-41.88%,-38.25%,-6.90%,-11.91%,30.32%,77.67%,-28.45%,66.09%,239.24%,851.84%,-89.27%
Net Cash Per Share,29.15,30.14,38.63,36.89,44.12,33.04,19.27,32.15,20.58,6.07,0.67
Filing Date Shares Outstanding,51.36,51.72,60.87,69.63,73.64,78.21,80.98,78.88,63.2,55.65,54.94
Total Common Shares Outstanding,51.36,52.06,60.87,69.63,73.64,79.94,80.98,63.5,63.16,55.48,54.89
Working Capital,"1,219",-117.81,986.23,"1,573","2,558","2,957","3,039","1,837","1,073",168.88,345.86
Book Value Per Share,128.13,90.51,84.72,74.36,75.07,78.00,58.64,42.41,25.82,13.10,9.09
Tangible Book Value,"3,837","1,937","1,858","1,801","2,888","3,760","2,197","2,421","1,342",446.59,453
Tangible Book Value Per Share,74.71,37.21,30.52,25.86,39.22,47.04,27.13,38.12,21.24,8.05,8.25
Buildings,-,267.66,270.42,144.68,158.12,153.09,124.59,124.61,112.44,69.47,74.3
Machinery,-,322.41,303.03,288.09,331.21,313.09,198.68,108.26,98.36,88.29,75.84
Construction In Progress,-,214.73,111.57,163.2,96.55,69.89,47.84,30.77,6.78,0.8,0.3
Leasehold Improvements,-,5.58,5.68,7.32,8.21,8.97,6.39,3.33,2.87,11.64,10.77
