Period Ending,"Jun '25Jun 30, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016","Dec '15Dec 31, 2015"
Operating Revenue,"1,609","1,788","1,979","2,226","2,477","1,816",769.15,52.56,"1,640","1,012",863
Other Revenue,501.55,449.77,288.5,186,142.26,102.32,131.55,68.05,141.98,169.49,45.31
Revenue,"2,110","2,238","2,268","2,412","2,619","1,918",900.7,120.6,"1,782","1,182",908.32
Revenue Growth (YoY),-6.90%,-1.33%,-5.96%,-7.92%,36.54%,112.96%,646.83%,-93.23%,50.82%,30.08%,53.15%
Cost of Revenue,"1,334","1,432","1,455","1,559","1,781","1,378",656.92,105.11,"1,072",728.57,547.09
Gross Profit,775.76,806.2,813.03,852.13,837.9,540,243.78,15.49,709.54,452.99,361.23
"Selling, General & Admin",477.96,508.57,515.58,542.26,690.14,652.06,534.83,124.43,189.95,135.76,102.86
Research & Development,239.63,256.02,272.16,261.81,279.78,302.82,236.5,74.86,120.17,86.19,76.26
Other Operating Expenses,-3.33,-6.06,-9.71,-17.51,-20.38,-8.1,-5.67,-1.33,-9.96,-12.22,-8.4
Operating Expenses,714.26,758.54,778.04,786.56,949.54,946.78,765.66,197.96,300.15,209.73,170.73
Operating Income,61.5,47.67,34.99,65.57,-111.64,-406.78,-521.88,-182.47,409.39,243.26,190.51
Interest Expense,-1.1,-4.85,-12.42,-16.77,-18.48,-79.56,-42.11,-73.06,-4.94,-11.68,-14.96
Interest & Investment Income,160.11,175.56,185.21,93.15,91.23,89.08,61.75,47.61,27.72,9.68,21.24
Earnings From Equity Investments,-1.54,-1.64,3.3,-498.43,-26.22,-7.63,5.97,17.54,5.08,1.19,2.17
Currency Exchange Gain (Loss),-0.7,0.76,-2.91,11.67,-13.38,-17.47,1.3,-0.08,-0.33,0.17,-5.87
Other Non Operating Income (Expenses),-,-,-,-,-0.38,-2.47,-,-0.29,-,-,-0.33
EBT Excluding Unusual Items,218.27,217.5,208.18,-344.82,-78.86,-424.83,-494.97,-190.76,436.92,242.61,192.76
Merger & Restructuring Charges,-,-,-,-,-,-,-4.04,-,-,-,-
