Period Ending,"Sep '25Sep 30, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Mar '21Mar 31, 2021"
Cash & Equivalents,711.32,274.07,54.44,1.28,43.45,6.3
Cash & Short-Term Investments,711.32,274.07,54.44,1.28,43.45,6.3
Cash Growth,2871.49%,403.44%,4156.37%,-97.06%,589.65%,-
Other Receivables,8.41,3.8,1,-,0.65,-
Receivables,11.92,3.8,1,-,0.65,-
Prepaid Expenses,2.96,2.49,4.54,5.1,1.49,0.01
Restricted Cash,-,-,-,7.04,3.01,-
Other Current Assets,2.92,1.07,2.61,0.73,19.46,-
Total Current Assets,729.1,281.43,62.59,14.14,68.05,6.31
"Property, Plant & Equipment","1,087",451.14,179.76,145.84,21.91,-
Long-Term Investments,-,-,98.61,98.74,104.28,-
Other Long-Term Assets,10,54.94,37.15,58.96,70.67,23.7
Total Assets,"2,454",787.51,378.11,317.69,264.91,30.01
Accounts Payable,62.28,24.38,15.17,21.86,11.79,0.04
Accrued Expenses,70.86,9.53,11.68,29.55,16.27,0.26
Short-Term Debt,-,-,1.8,5.53,-,-
Current Portion of Long-Term Debt,-,-,123.47,51.94,-,-
Current Portion of Leases,2,0.03,0.05,0.04,0.09,-
Other Current Liabilities,520.06,17.91,2.5,17.1,17.71,1.44
Total Current Liabilities,705.85,51.85,154.66,126.02,45.86,1.74
Long-Term Debt,"1,060",487.5,0.06,72.97,94.63,-
Long-Term Leases,23.1,3.72,0.9,0.95,0.99,-
Long-Term Deferred Tax Liabilities,-,-,-,-,0.26,-
Total Liabilities,"2,207",543.07,155.62,199.93,141.73,1.74
Common Stock,0.44,0.4,0.28,0.15,0.1,0.05
Additional Paid-In Capital,"1,256",685.26,472.83,294.81,218.76,29.89
Retained Earnings,-867.11,-332.28,-259.9,-186.47,-95.68,-1.68
Treasury Stock,-151.51,-118.22,-,-,-,-
Total Common Equity,238.08,235.17,213.22,108.48,123.18,28.27
Shareholders' Equity,247.34,244.45,222.49,117.75,123.18,28.27
Total Liabilities & Equity,"2,454",787.51,378.11,317.69,264.91,30.01
Total Debt,"1,085",491.25,126.27,131.43,95.71,-
Net Cash (Debt),-373.95,-217.18,-71.83,-130.15,-52.26,6.3
Net Cash Per Share,-0.96,-0.62,-0.34,-1.18,-0.61,0.11
Filing Date Shares Outstanding,418.68,383.14,302.24,186.27,100.7,50
Total Common Shares Outstanding,414.75,385.65,276.73,145.49,99.98,50
Working Capital,23.25,229.59,-92.08,-111.88,22.2,4.57
Book Value Per Share,0.57,0.61,0.77,0.75,1.23,0.57
Tangible Book Value,182.62,235.17,213.22,108.48,123.18,28.27
Tangible Book Value Per Share,0.44,0.61,0.77,0.75,1.23,0.57
Machinery,302.26,224.79,116.37,78.32,0.02,-
Construction In Progress,409.04,107.62,24.58,32.36,20.87,-
Leasehold Improvements,254.74,91.61,62.85,29.88,-,-
