Period Ending,"Nov '25Nov 13, 2025","Dec '24Dec 29, 2024","Dec '23Dec 31, 2023","Dec '22Dec 25, 2022","Dec '21Dec 26, 2021","Dec '20Dec 27, 2020","Dec '19Dec 29, 2019","Dec '18Dec 30, 2018","Dec '17Dec 31, 2017","Dec '16Dec 25, 2016","Dec '15Dec 27, 2015"
Market Capitalization,"8,944","10,889","6,550","5,628","6,713","4,713","8,228","3,882","7,726","4,780","5,738"
Market Cap Growth,-20.51%,66.25%,16.38%,-16.17%,42.45%,-42.73%,111.98%,-49.76%,61.63%,-16.69%,-34.98%
Enterprise Value,"11,675","12,470","9,635","8,492","9,730","6,876","10,248","5,816","9,945","5,709","6,351"
Last Close Price,37.65,38.90,23.43,20.16,23.34,16.39,27.93,13.21,26.31,16.11,17.06
PE Ratio,7.30,10.02,20.37,7.55,216.56,49.74,18.05,15.66,11.12,10.85,8.88
Forward PE,9.03,9.39,11.39,12.90,10.97,10.43,14.01,10.01,10.56,9.01,11.37
PS Ratio,0.49,0.61,0.38,0.32,0.45,0.39,0.72,0.36,0.72,0.48,0.66
PB Ratio,2.53,2.56,1.96,1.97,2.59,1.83,3.25,1.92,4.16,2.29,4.55
P/TBV Ratio,6.48,4.96,5.50,7.34,24.27,4.87,8.61,7.83,34.02,6.65,5.44
P/FCF Ratio,10.78,7.19,48.86,30.80,-,12.76,25.84,27.15,16.74,10.52,6.91
P/OCF Ratio,6.26,5.47,9.66,8.40,20.56,6.51,12.35,7.90,9.64,6.01,5.62
EV/Sales Ratio,0.64,0.70,0.56,0.49,0.66,0.57,0.90,0.53,0.92,0.58,0.73
EV/EBITDA Ratio,4.96,5.73,9.40,5.27,16.28,11.80,10.48,7.51,7.35,5.60,5.14
EV/EBIT Ratio,6.12,7.15,15.93,7.04,44.85,28.00,14.84,11.62,9.19,7.20,5.95
EV/FCF Ratio,14.08,8.24,71.87,46.47,-,18.61,32.19,40.67,21.55,12.56,7.65
Debt / Equity Ratio,0.94,0.82,1.08,1.23,1.38,1.00,1.03,1.15,1.45,0.68,0.80
Debt / EBITDA Ratio,1.31,1.46,2.97,1.96,4.71,3.47,2.29,3.00,1.98,1.38,0.82
Debt / FCF Ratio,4.03,2.29,26.95,19.17,-,6.96,8.18,16.27,5.82,3.11,1.22
Asset Turnover,1.78,1.75,1.82,1.92,1.80,1.66,1.75,1.80,1.91,2.37,2.73
Inventory Turnover,8.46,8.26,8.17,8.78,9.14,8.21,8.13,8.36,8.34,9.88,9.37
Quick Ratio,0.67,1.22,0.78,0.63,0.61,0.69,0.64,0.72,0.79,0.63,1.02
Current Ratio,1.51,2.01,1.69,1.51,1.38,1.50,1.58,1.72,1.73,1.53,2.06
Return on Equity (ROE),31.67%,28.62%,10.40%,27.43%,1.21%,3.72%,20.04%,12.74%,35.25%,26.27%,37.35%
Return on Assets (ROA),11.55%,10.66%,3.97%,8.30%,1.65%,2.11%,6.62%,5.14%,12.00%,11.89%,20.80%
Return on Capital (ROIC),16.36%,14.85%,5.68%,12.05%,2.40%,2.98%,9.10%,7.04%,16.83%,17.17%,29.79%
Return on Capital Employed (ROCE),26.30%,21.50%,8.30%,18.10%,3.30%,4.40%,12.70%,10.80%,22.60%,20.70%,43.20%
Earnings Yield,13.76%,9.98%,4.91%,13.25%,0.46%,2.01%,5.54%,6.39%,8.99%,9.22%,11.26%
FCF Yield,9.27%,13.90%,2.05%,3.25%,-0.82%,7.84%,3.87%,3.68%,5.97%,9.51%,14.47%
Payout Ratio,162.77%,-,-,-,-,-,-,-,-,3.38%,-
Buyback Yield / Dilution,-0.30%,-0.21%,1.29%,1.53%,0.81%,1.44%,-0.22%,-0.07%,2.03%,1.76%,0.31%
