Period Ending,"Nov '25Nov 14, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016","Dec '15Dec 31, 2015"
Market Capitalization,"4,328","2,075","4,277","5,119","7,100","13,705","1,630","1,218",633,551,"1,190"
Market Cap Growth,37.40%,-51.48%,-16.45%,-27.91%,-48.19%,740.58%,33.85%,92.42%,14.84%,-53.66%,-
Enterprise Value,"18,349","15,944","15,811","14,234","14,388","17,343","4,417","3,360","2,234","1,702","1,804"
Last Close Price,18.65,9.25,19.63,24.02,34.30,69.38,13.81,10.89,5.90,5.31,11.77
PE Ratio,-,-,-,29.14,-,-,61.91,45.69,5.05,7.34,-
Forward PE,41.84,-,-,-,-,83.94,16.16,12.81,4.12,12.16,-
PS Ratio,1.83,1.02,1.89,2.21,4.41,14.86,1.90,1.60,1.19,1.16,3.91
PB Ratio,1.45,0.50,0.62,0.63,0.94,1.88,1.00,0.86,0.46,0.52,1.48
P/TBV Ratio,1.45,0.81,2.03,2.11,3.62,7.70,1.92,1.43,0.81,0.97,2.68
PEG Ratio,-,-,-,-,-,-,0.68,0.72,0.10,-,-
EV/Sales Ratio,7.92,7.83,7.00,6.13,8.94,18.81,5.14,4.42,4.19,3.57,5.92
EV/EBITDA Ratio,53.05,333.31,-,-,-,-,-,98.47,-,-,-
Debt / Equity Ratio,3.17,3.15,1.61,1.09,0.92,0.74,1.64,1.53,1.07,1.00,0.89
Debt / EBITDA Ratio,38.26,147.02,-,-,-,-,-,44.95,-,-,-
Asset Turnover,0.11,0.10,0.11,0.13,0.10,0.09,0.16,0.17,0.14,0.15,0.13
Inventory Turnover,3.85,3.97,3.37,3.13,3.46,2.74,3.80,6.15,5.45,5.68,5.90
Quick Ratio,0.68,0.58,0.61,0.87,0.76,0.68,0.66,0.80,0.88,1.14,1.05
Current Ratio,1.46,1.29,1.26,1.82,1.53,1.26,1.38,1.24,1.34,1.51,1.43
Return on Equity (ROE),-72.50%,-78.63%,-35.55%,-10.79%,-13.20%,-14.04%,-25.66%,-18.76%,-23.71%,-34.34%,-36.62%
Return on Assets (ROA),-1.01%,-1.77%,-2.58%,-2.31%,-2.70%,-2.88%,-2.56%,-1.75%,-3.00%,-3.81%,-5.87%
Return on Capital (ROIC),-1.14%,-2.03%,-2.92%,-2.62%,-3.06%,-3.43%,-3.42%,-2.38%,-4.57%,-6.58%,-10.93%
Earnings Yield,-57.01%,-137.16%,-37.52%,3.39%,-1.12%,-1.26%,1.62%,2.19%,19.82%,13.63%,-2.37%
FCF Yield,-84.59%,-167.08%,-80.17%,-55.87%,-35.26%,-9.40%,-64.10%,-71.73%,-137.97%,-161.62%,-59.94%
Buyback Yield / Dilution,-2.77%,-2.57%,1.15%,-6.84%,-46.94%,-12.70%,-5.78%,-8.23%,-3.09%,-90.53%,-141.68%
