Period Ending,"Sep '25Sep 30, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018"
Cash & Equivalents,471.64,290.74,223.16,227.19,268.22,69.11,12.16,-
Short-Term Investments,-,0.17,3.72,2.62,2.41,0.99,3.31,-
Cash & Short-Term Investments,471.64,290.9,226.88,229.81,270.63,70.1,15.47,-
Cash Growth,88.67%,28.22%,-1.27%,-15.08%,286.04%,353.19%,-,-
Receivables,90.88,87.37,85.88,66.47,55.07,48.25,39.93,-
Prepaid Expenses,18.17,7.2,7.6,10.01,8.46,2.34,3.19,-
Other Current Assets,-,9.33,5.22,-,-,-,-,-
Total Current Assets,580.69,394.8,325.58,306.3,334.16,120.7,58.59,-
"Property, Plant & Equipment",24.52,21.24,19.03,21.39,3.92,2.66,2.65,-
Long-Term Investments,0.21,-,-,0.16,0.29,0.8,0.06,-
Goodwill,37.91,17.72,19.16,18.9,-,-,-,-
Other Intangible Assets,12.35,8.89,10.55,11.08,-,-,-,-
Long-Term Accounts Receivable,-,8.3,8.2,6.9,6.3,5.5,3.69,-
Long-Term Deferred Tax Assets,-,-,-,-,3.18,-,2.34,-
Long-Term Deferred Charges,65.3,59.84,54.68,48.55,38.93,31.94,28.35,-
Other Long-Term Assets,22.54,4.34,3.56,2.25,1.97,7.45,2.4,-
Total Assets,743.52,519.06,442.58,415.53,388.74,169.05,98.08,-
Accounts Payable,2.52,2.35,1.38,1.52,1.82,0.77,0.9,-
Accrued Expenses,75.6,56.05,40.34,35.42,29.94,22.06,19.03,-
Current Portion of Leases,7.6,6.62,5.34,5.39,-,-,0.25,-
Current Income Taxes Payable,-,4.63,2.05,1.06,1.2,1.71,1.59,-
Current Unearned Revenue,159.14,144.47,121.52,93.41,74.29,65.2,43.62,-
Other Current Liabilities,-,8.84,6.04,5.92,3.93,2.48,3.86,-
Total Current Liabilities,244.86,222.96,176.67,142.71,111.18,92.22,69.25,-
Long-Term Leases,11.34,9.91,9.38,11.35,-,-,-,-
Long-Term Unearned Revenue,15.07,8.84,7.74,8.09,8.04,9.49,16.98,-
Long-Term Deferred Tax Liabilities,-,-,-,-,0.44,-,-,-
Other Long-Term Liabilities,5.44,6.4,23.95,10.24,13.51,72.23,26.59,-
Total Liabilities,276.71,248.11,217.74,172.38,133.17,173.94,112.81,-
Common Stock,0.02,0.02,0.02,0.02,0.02,0.01,0.01,-
Additional Paid-In Capital,970.92,779.01,667.88,665.72,625.06,105.16,33.69,-
Retained Earnings,-510.87,-510.45,-460.5,-416.93,-375.3,-299.79,-233.96,-
Treasury Stock,-,-,-,-21.67,-1.74,-,-,-
Comprehensive Income & Other,6.74,0.58,3.2,2.01,2.32,3.28,2.87,-
Total Common Equity,466.81,269.15,210.6,229.15,250.36,-191.34,-197.39,-
Minority Interest,-,1.79,14.25,14.01,5.21,3.06,-,-
Shareholders' Equity,466.81,270.95,224.84,243.15,255.57,-4.89,-14.74,-
Total Liabilities & Equity,743.52,519.06,442.58,415.53,388.74,169.05,98.08,-
Total Debt,18.94,16.53,14.72,16.74,-,-,0.25,-
Net Cash (Debt),452.7,274.37,212.16,213.07,270.63,70.1,15.22,-
Net Cash Growth,92.54%,29.32%,-0.43%,-21.27%,286.04%,360.54%,-,-
Net Cash Per Share,2.07,1.49,1.16,1.17,1.91,0.78,0.21,-
Filing Date Shares Outstanding,215.79,201.83,184.01,186.78,182.6,11.64,74.01,8.45
Total Common Shares Outstanding,212.59,194.07,184.65,185.28,181.8,11.64,74.01,8.45
Working Capital,335.84,171.84,148.92,163.59,222.98,28.48,-10.66,-
Book Value Per Share,2.20,1.39,1.14,1.24,1.38,-16.44,-23.18,-
Tangible Book Value,416.55,242.55,180.9,199.16,250.36,-191.34,-197.39,-
Tangible Book Value Per Share,1.96,1.25,0.98,1.07,1.38,-16.44,-23.18,-
Buildings,-,0.69,0.71,0.73,0.79,0.77,0.72,-
Machinery,-,10.22,8.34,7.89,7.27,5.3,10.58,-
Leasehold Improvements,-,4.48,4.21,3.82,2.77,2.63,3.16,-
