Period Ending,"Sep '25Sep 30, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018"
Revenue,393.99,330.48,271.83,232.34,191.91,151.53,116.1,107.31
Revenue Growth (YoY),24.71%,21.58%,16.99%,21.07%,26.65%,30.52%,8.19%,-
Cost of Revenue,100.44,82.53,77.46,66.28,53,40.29,36.4,30.8
Gross Profit,293.55,247.96,194.37,166.06,138.91,111.24,79.7,76.52
"Selling, General & Admin",214.29,192.09,173.38,175.77,160.26,113.42,86.52,69.37
Research & Development,52.46,48.7,36.34,31.36,32.14,12.2,11.15,8.24
Operating Expenses,266.75,240.79,209.72,207.13,192.4,126.68,98.71,78.82
Operating Income,26.8,7.17,-15.35,-41.07,-53.49,-15.44,-19.01,-2.31
Interest Expense,-,-,-,-0.04,-,-,-,-
Interest & Investment Income,3.51,0.17,0.03,-,0.1,0.04,0.06,0.02
Currency Exchange Gain (Loss),-3.69,-0.66,-0.78,0.11,-0.88,-0.6,-0.7,-0.2
Other Non Operating Income (Expenses),-0.12,-3.04,0.05,0.04,0.23,0.09,0.1,0.47
EBT Excluding Unusual Items,26.51,3.64,-16.06,-40.96,-54.04,-15.91,-19.56,-2.02
Gain (Loss) on Sale of Investments,8.01,9.24,8.9,2.81,0.02,-,-,-
Other Unusual Items,-28.09,-37.28,-11.45,4.5,21.23,-,-,-
Pretax Income,5.93,-24.4,-18.61,-33.65,-32.79,-15.91,-19.56,-2.02
Income Tax Expense,3.63,4.74,2.89,5.04,0.46,1.06,0.61,1.93
Earnings From Continuing Operations,2.3,-29.14,-21.5,-38.69,-33.25,-16.97,-20.17,-3.95
Minority Interest in Earnings,-0.33,0.05,-0.22,-2.94,-1.97,-0.03,-,-
Net Income,1.97,-29.09,-21.73,-41.63,-35.22,-17,-20.17,-3.95
Preferred Dividends & Other Adjustments,-,-,-,-,32.93,34.45,107.47,-
Net Income to Common,1.97,-29.09,-21.73,-41.63,-68.15,-51.44,-127.64,-3.95
Shares Outstanding (Basic),200,184,182,182,142,90,74,8
Shares Outstanding (Diluted),218,184,182,182,142,90,74,8
Shares Change (YoY),19.77%,0.80%,0.17%,28.50%,57.96%,21.12%,775.82%,-
EPS (Basic),0.01,-0.16,-0.12,-0.23,-0.48,-0.57,-1.72,-0.47
EPS (Diluted),0.01,-0.16,-0.12,-0.23,-0.48,-0.57,-1.72,-0.47
Free Cash Flow,84.63,85.85,32.61,-4.63,2.57,18.1,-3.13,-3.67
Free Cash Flow Per Share,0.39,0.47,0.18,-0.03,0.02,0.20,-0.04,-0.43
Gross Margin,74.51%,75.03%,71.50%,71.47%,72.38%,73.41%,68.65%,71.30%
Operating Margin,6.80%,2.17%,-5.65%,-17.68%,-27.87%,-10.19%,-16.38%,-2.15%
Profit Margin,0.50%,-8.80%,-7.99%,-17.92%,-35.51%,-33.95%,-109.94%,-3.68%
Free Cash Flow Margin,21.48%,25.98%,12.00%,-1.99%,1.34%,11.94%,-2.70%,-3.42%
EBITDA,32.81,12.55,-10.66,-37.57,-52.25,-14.38,-17.96,-1.1
EBITDA Margin,8.33%,3.80%,-3.92%,-16.17%,-27.23%,-9.49%,-15.47%,-1.02%
D&A For EBITDA,6,5.38,4.69,3.49,1.24,1.06,1.05,1.21
EBIT,26.8,7.17,-15.35,-41.07,-53.49,-15.44,-19.01,-2.31
EBIT Margin,6.80%,2.17%,-5.65%,-17.68%,-27.87%,-10.19%,-16.38%,-2.15%
Revenue as Reported,393.99,330.48,271.83,232.34,191.91,151.53,116.1,107.31
