Period Ending,"Sep '25Sep 30, 2025","Mar '25Mar 31, 2025","Mar '24Mar 31, 2024","Mar '23Mar 31, 2023","Mar '22Mar 31, 2022","Mar '21Mar 31, 2021","Mar '20Mar 31, 2020","Mar '19Mar 31, 2019","Mar '18Mar 31, 2018","Mar '17Mar 31, 2017","Mar '16Mar 31, 2016"
Revenue,"4,583","4,520","4,284","2,556","2,417","1,921","2,309","2,068","1,595","1,559","1,417"
Revenue Growth (YoY),1.23%,5.50%,67.59%,5.75%,25.84%,-16.82%,11.65%,29.70%,2.26%,10.01%,2.52%
Cost of Revenue,"3,061","3,030","2,902","1,835","1,711","1,356","1,610","1,538","1,121","1,049",984.35
Gross Profit,"1,521","1,490","1,382",721.4,705.9,565.19,699.55,530.54,473.81,510.36,433.09
"Selling, General & Admin",992.74,"1,012",980.45,659.13,607.34,497.16,523.09,458.46,385.42,333.47,298.35
Research & Development,146.9,142.39,150.65,128.92,149.47,108.5,130.43,123.04,168.35,129.65,77.18
Amortization of Goodwill & Intangibles,262.5,263.93,227.17,29.81,28.73,5.48,7.61,9.66,12.23,10.79,16.44
Operating Expenses,"1,402","1,418","1,358",817.86,785.55,611.14,661.13,591.16,566,473.9,391.97
Operating Income,119.31,71.92,23.39,-96.46,-79.64,-45.95,38.42,-60.62,-92.19,36.46,41.12
Interest Expense,-394.67,-421.94,-400.4,-26.81,-29.39,-32.69,-38.64,-50.01,-4.03,-12.08,-25.75
Interest & Investment Income,64.05,83.92,96.26,19.51,0.5,0.44,1.65,0.15,0.96,1.01,2.23
Earnings From Equity Investments,15,13.23,6.98,-0.07,-0.28,0.56,4.47,3,1.98,-,-
Other Non Operating Income (Expenses),-15.14,-9.98,-,1.1,4.12,-,-,-,-,-,-
EBT Excluding Unusual Items,-211.46,-262.85,-273.77,-102.72,-104.69,-77.64,5.9,-107.48,-93.28,25.38,17.6
Merger & Restructuring Charges,-169.4,-169.4,-31.3,-40.4,-33.5,-,-,-,-,-,-
Asset Writedown,-,-,"-1,670",-19.1,-,-,-,-,-,-,-
Other Unusual Items,-96.9,-99.81,18.1,-,-,-,-,-,-10.22,-,-
Pretax Income,-477.76,-532.07,"-1,187",-162.22,-138.19,-77.64,5.9,-107.48,-103.49,25.38,17.6
Income Tax Expense,9.43,-0.94,-139.47,49.42,-36.52,-11.19,-7.92,-41.01,-35.22,3.62,-4.17
Earnings From Continuing Operations,-487.19,-531.13,"-1,047",-211.64,-101.67,-66.45,13.81,-66.47,-68.28,21.77,21.77
Earnings From Discontinued Operations,-,-,-10.42,"1,302",99.19,83.55,-,-,-,-,-
Net Income to Company,-487.19,-531.13,"-1,058","1,091",-2.48,17.1,13.81,-66.47,-68.28,21.77,21.77
Minority Interest in Earnings,-35.15,-43.84,-10.99,-5.94,-13.05,-13.41,-14.03,-1.15,0.97,2,-0.03
Net Income,-522.34,-574.96,"-1,069","1,085",-15.53,3.69,-0.21,-67.62,-67.31,23.77,21.74
Net Income to Common,-522.34,-574.96,"-1,069","1,085",-15.53,3.69,-0.21,-67.62,-67.31,23.77,21.74
Net Income Growth,-,-,-,-,-,-,-,-,-,9.32%,-46.14%
Shares Outstanding (Basic),131,128,117,76,73,66,62,60,58,52,48
Shares Outstanding (Diluted),131,128,117,76,73,66,62,60,58,53,49
Shares Change (YoY),3.90%,9.63%,54.37%,3.43%,10.46%,7.81%,2.82%,2.57%,9.44%,7.99%,2.40%
EPS (Basic),-3.97,-4.48,-9.12,14.29,-0.21,0.06,-0.00,-1.13,-1.15,0.45,0.45
EPS (Diluted),-3.97,-4.48,-9.12,14.29,-0.21,0.06,-0.00,-1.13,-1.15,0.45,0.44
EPS Growth,-,-,-,-,-,-,-,-,-,2.27%,-47.62%
Free Cash Flow,146.54,-122,-851.19,-796.46,-484.67,-100.03,-257.03,-309.3,-153,-103.39,-80.96
Free Cash Flow Per Share,1.11,-0.95,-7.26,-10.49,-6.60,-1.50,-4.17,-5.16,-2.62,-1.94,-1.64
Gross Margin,33.20%,32.97%,32.25%,28.22%,29.20%,29.42%,30.29%,25.65%,29.71%,32.73%,30.55%
Operating Margin,2.60%,1.59%,0.55%,-3.77%,-3.29%,-2.39%,1.66%,-2.93%,-5.78%,2.34%,2.90%
Profit Margin,-11.40%,-12.72%,-24.95%,42.44%,-0.64%,0.19%,-0.01%,-3.27%,-4.22%,1.52%,1.53%
Free Cash Flow Margin,3.20%,-2.70%,-19.87%,-31.16%,-20.05%,-5.21%,-11.13%,-14.95%,-9.59%,-6.63%,-5.71%
EBITDA,"1,415","1,378","1,122",397.12,403.7,294.95,327.6,212.09,130.97,249.88,251
EBITDA Margin,30.89%,30.50%,26.19%,15.54%,16.70%,15.35%,14.19%,10.26%,8.21%,16.02%,17.71%
D&A For EBITDA,"1,296","1,306","1,098",493.57,483.34,340.9,289.18,272.71,223.15,213.42,209.88
EBIT,119.31,71.92,23.39,-96.46,-79.64,-45.95,38.42,-60.62,-92.19,36.46,41.12
EBIT Margin,2.60%,1.59%,0.55%,-3.77%,-3.29%,-2.39%,1.66%,-2.93%,-5.78%,2.34%,2.90%
Effective Tax Rate,-,-,-,-,-,-,-,-,-,14.25%,-
Revenue as Reported,"4,583","4,520","4,284","2,556","2,417","1,921","2,309","2,068","1,595","1,559","1,417"
Advertising Expenses,-,19.2,26.4,22.8,23.1,12,25.8,37.8,14.4,4.8,12.2
