Period Ending,"Sep '25Sep 30, 2025","Mar '25Mar 31, 2025","Mar '24Mar 31, 2024","Mar '23Mar 31, 2023","Mar '22Mar 31, 2022","Mar '21Mar 31, 2021","Mar '20Mar 31, 2020","Mar '19Mar 31, 2019","Mar '18Mar 31, 2018","Mar '17Mar 31, 2017","Mar '16Mar 31, 2016"
Cash & Equivalents,"1,230","1,612","1,901","1,349",310.46,295.95,304.31,261.7,71.45,130.1,42.09
Cash & Short-Term Investments,"1,230","1,612","1,901","1,349",310.46,295.95,304.31,261.7,71.45,130.1,42.09
Cash Growth,-65.15%,-15.20%,40.94%,334.47%,4.90%,-2.75%,16.28%,266.29%,-45.08%,209.11%,-19.47%
Accounts Receivable,682.82,699.55,678.21,419.93,312.17,238.65,330.7,300.31,267.67,263.72,286.72
Other Receivables,-,10,261.5,-,-,-,-,-,-,-,-
Receivables,682.82,709.55,939.71,419.93,312.17,238.65,330.7,300.31,267.67,263.72,286.72
Inventory,278.66,293.94,317.88,268.56,197.86,336.67,294.42,234.52,196.31,163.2,145.16
Prepaid Expenses,160.3,176.69,185.89,115.7,102.43,94.41,84.87,72.37,68.52,51.86,41.78
Restricted Cash,-,-,-,30.53,-,-,-,-,-,-,-
Other Current Assets,83.53,95.65,134.39,60.93,236.54,25.56,31.41,18.28,8.62,5.98,5.8
Total Current Assets,"2,435","2,888","3,479","2,245","1,159",991.23,"1,046",887.17,612.55,614.86,521.56
"Property, Plant & Equipment","7,710","7,822","7,950","4,660","4,048","3,391","2,895","2,125","1,962","1,649","1,385"
Long-Term Investments,-,-,-,-,-,176.94,160.2,160.71,163.84,141.89,-
Goodwill,"1,626","1,622","1,622",158.54,168.71,122.3,121.2,121.72,121.09,119.88,117.04
Other Intangible Assets,"2,535","2,654","2,898",497.29,515.4,299.56,296.32,289.73,294.75,261.86,213.57
Long-Term Deferred Tax Assets,136.55,160.45,163.59,23.72,304.64,273.29,276.33,258.83,222.27,134.76,134.72
Other Long-Term Assets,312.77,301.64,217.23,146.23,192.79,95.21,88.94,71.83,37.13,32.52,25.32
Total Assets,"14,756","15,449","16,329","7,730","6,389","5,349","4,884","3,915","3,414","2,955","2,397"
Accounts Payable,308.71,264.3,287.21,271.55,200.67,145.13,183.6,157.28,157.48,100.27,95.65
Accrued Expenses,207.12,284.39,353.59,193.86,156.55,146.66,121.62,99.53,136.88,140.48,111.58
Current Portion of Long-Term Debt,49.5,472.14,58.05,37.94,34.91,30.47,29.79,19.94,45.3,0.29,0.27
Current Portion of Leases,67.59,96.99,71.56,50.64,49.99,48.9,42.15,-,-,-,-
Current Income Taxes Payable,-,-,-,113.91,7.87,-,-,-,-,-,-
Current Unearned Revenue,288.36,294.03,260.26,132.19,131.62,216.59,123.02,125.54,121.44,76.68,64.62
Other Current Liabilities,251.04,264.8,265.21,156.65,188.8,120.68,104.41,83.2,5.36,7.8,7.87
Total Current Liabilities,"1,172","1,677","1,296",956.72,770.42,708.44,604.58,485.48,466.46,325.52,279.99
Long-Term Debt,"6,384","6,405","7,102","2,385","2,405","1,746","1,822","1,393",978.41,848.48,945.53
Long-Term Leases,577.22,540.92,406.42,309.41,361.93,370.1,286.55,-,-,-,-
Long-Term Unearned Revenue,777.63,786.71,896.4,84.75,88.98,84.65,80.8,71.23,77.83,4.62,5.47
Long-Term Deferred Tax Liabilities,963.98,"1,070","1,228",85.99,16.87,-,-,-,-,1.94,0.01
Other Long-Term Liabilities,307.78,324.73,327.43,47.81,63.09,52.7,40.13,49.6,43.41,36.17,31.89
Total Liabilities,"10,183","10,804","11,257","3,870","3,707","2,962","2,834","1,999","1,566","1,217","1,263"
Common Stock,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
Additional Paid-In Capital,"4,994","4,926","4,797","2,541","2,422","2,093","1,788","1,657","1,536","1,440",855.39
Retained Earnings,-443.41,-325.53,249.43,"1,318",233.53,249.06,245.37,245.59,285.96,297.47,273.7
Comprehensive Income & Other,-27.12,-46.91,-21.27,-34.71,-21.62,9.8,-6.05,5.34,15.57,-2.5,0.01
Total Common Equity,"4,524","4,554","5,025","3,824","2,634","2,351","2,028","1,908","1,837","1,735","1,129"
Minority Interest,49.28,90.73,47.07,36.26,48.73,35.77,22.36,8.33,10.84,3.31,5.32
Shareholders' Equity,"4,573","4,645","5,073","3,861","2,683","2,387","2,050","1,916","1,848","1,738","1,134"
Total Liabilities & Equity,"14,756","15,449","16,329","7,730","6,389","5,349","4,884","3,915","3,414","2,955","2,397"
Total Debt,"7,078","7,516","7,638","2,783","2,852","2,196","2,180","1,413","1,024",848.77,945.8
Net Cash (Debt),"-5,848","-5,903","-5,737","-1,434","-2,542","-1,900","-1,876","-1,151",-952.26,-718.67,-903.71
Net Cash Per Share,-44.50,-45.95,-48.96,-18.89,-34.63,-28.59,-30.44,-19.20,-16.30,-13.46,-18.28
Filing Date Shares Outstanding,135.26,130.32,125.86,76.91,74.44,72.53,62.15,60.6,58.91,57.63,48.94
Total Common Shares Outstanding,135.26,130.21,125.85,76.91,74.43,68.53,62.15,60.55,58.91,57.6,48.93
Working Capital,"1,263","1,211","2,183","1,288",389.05,282.8,441.13,401.69,146.1,289.34,241.57
Book Value Per Share,33.45,34.97,39.93,49.72,35.39,34.31,32.63,31.51,31.19,30.11,23.08
Tangible Book Value,362.53,277.24,506.07,"3,168","1,950","1,930","1,610","1,496","1,421","1,353",798.5
Tangible Book Value Per Share,2.68,2.13,4.02,41.20,26.20,28.16,25.91,24.71,24.13,23.49,16.32
