Period Ending,"Nov '25Nov 13, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016","Dec '15Dec 31, 2015"
Market Capitalization,"4,833","5,397","5,229",400,"3,372",664,7,9,46,32,24
Market Cap Growth,-13.34%,3.21%,1208.67%,-88.15%,407.64%,9497.38%,-25.11%,-79.73%,42.92%,34.15%,-79.20%
Enterprise Value,"7,649","5,872","5,454","1,127","3,131",647,7,7,61,48,54
Last Close Price,12.78,16.77,23.49,3.42,32.86,10.44,0.88,1.45,16.40,27.52,25.60
PE Ratio,6.02,9.97,20.19,-,-,-,-,-,-,-,-
Forward PE,41.11,1.57,1.57,1.57,1.57,1.57,1.57,1.57,1.57,-,-
PS Ratio,4.81,8.22,13.50,3.39,21.19,152.48,5.84,5.92,87.77,0.87,1.25
PB Ratio,0.94,1.31,3.24,1.03,4.94,2.13,1.90,3.17,6.17,-3.44,1.88
P/TBV Ratio,0.95,1.34,3.24,1.03,4.95,2.14,2.69,5.20,6.18,-,-
P/FCF Ratio,-,-,-,-,-,-,-,-,-,3.14,-
P/OCF Ratio,-,-,-,-,-,-,-,-,-,3.14,-
PEG Ratio,-,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,-,-
EV/Sales Ratio,8.32,8.95,14.08,9.57,19.67,148.56,5.74,4.51,117.15,1.32,2.83
EV/EBITDA Ratio,6.78,7.60,13.62,-,262.74,-,-,-,-,5.90,-
EV/EBIT Ratio,15.15,16.96,24.69,-,-,-,-,-,-,67.71,-
EV/FCF Ratio,-,-,-,-,-,-,-,-,-,4.74,-
Debt / Equity Ratio,0.70,0.60,0.20,2.03,1.07,0.00,0.33,0.34,0.24,-1.92,1.78
Debt / EBITDA Ratio,2.94,2.81,0.68,-,61.13,-,-,-,-,2.18,-
Debt / FCF Ratio,-,-,-,-,-,-,-,-,-,1.75,-
Asset Turnover,0.14,0.15,0.24,0.09,0.18,0.03,0.20,0.15,0.03,1.12,0.35
Quick Ratio,1.87,4.18,10.59,3.97,26.27,149.67,0.37,1.12,1.95,0.25,0.16
Current Ratio,2.09,4.94,30.51,10.63,60.82,198.38,0.81,1.33,1.96,0.27,0.28
Return on Equity (ROE),23.07%,18.81%,26.09%,-129.96%,-6.00%,-6.63%,-107.09%,-248.61%,-,-1701.52%,-91.74%
Return on Assets (ROA),4.96%,4.92%,8.67%,-17.65%,-0.21%,-3.50%,-40.11%,-43.23%,-43.03%,1.36%,-23.02%
Return on Capital (ROIC),5.13%,5.06%,8.88%,-18.06%,-0.22%,-3.53%,-54.01%,-66.97%,-81.08%,2.03%,-30.50%
Return on Capital Employed (ROCE),5.80%,5.20%,11.30%,-,-,-,-,-,-,-,-
Earnings Yield,19.17%,10.03%,4.99%,-173.68%,-0.88%,-1.57%,-50.81%,-138.63%,-68.71%,-89.83%,-71.21%
FCF Yield,-36.59%,-32.34%,-9.60%,-175.53%,-21.58%,-13.72%,-48.02%,-145.95%,-23.72%,31.85%,-12.69%
Buyback Yield / Dilution,-59.94%,-62.17%,-69.47%,-14.22%,-22.02%,-1121.57%,-25.36%,-226.00%,-71.90%,-6.82%,-21.85%
