Period Ending,"Nov '25Nov 13, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016","Dec '15Dec 31, 2015"
Market Capitalization,"6,800","10,676","11,768","11,296","28,446","37,967","22,793","13,063","15,480","13,412","5,352"
Market Cap Growth,-41.24%,-9.28%,4.18%,-60.29%,-25.08%,66.57%,74.49%,-15.61%,15.42%,150.58%,25.09%
Enterprise Value,"8,719","14,574","15,850","15,175","32,472","38,886","23,319","13,542","15,842","13,751","5,072"
Last Close Price,47.39,69.98,75.44,71.40,150.81,148.25,117.72,67.43,79.72,69.34,48.55
PE Ratio,8.60,12.29,17.11,8.99,38.86,95.40,194.82,186.74,7.61,14.62,-
Forward PE,9.58,13.83,10.97,11.30,15.82,45.63,40.11,40.35,78.67,34.49,60.48
PS Ratio,6.67,10.51,12.00,11.59,28.79,744.46,1519.56,586.95,1182.41,438.50,58.70
PB Ratio,0.77,1.09,1.30,1.33,2.81,2.81,2.14,1.23,1.48,1.58,1.70
P/TBV Ratio,0.77,1.33,1.64,1.71,3.47,3.30,2.14,1.23,1.48,1.58,1.71
P/FCF Ratio,-,-,-,-,-,-,-,-,-,-,154.88
P/OCF Ratio,44.74,102.65,735.51,-,9481.87,-,-,-,-,-,151.67
EV/Sales Ratio,8.58,14.34,16.16,15.56,32.87,762.47,1554.63,608.49,1210.02,449.59,55.62
EV/EBITDA Ratio,29.46,48.74,52.31,52.33,123.00,-,-,-,-,-,200.77
EV/EBIT Ratio,96.88,158.41,217.13,541.96,-,-,-,-,-,-,264.52
EV/FCF Ratio,-,-,-,-,-,-,-,-,-,-,146.76
Debt / Equity Ratio,0.23,0.42,0.46,0.49,0.42,0.39,0.05,0.05,0.05,0.07,0.13
Debt / EBITDA Ratio,6.73,11.49,11.30,12.03,12.98,-,-,-,-,-,15.82
Debt / FCF Ratio,-,-,-,-,-,-,-,-,-,-,11.57
Asset Turnover,0.07,0.06,0.06,0.06,0.05,0.00,0.00,0.00,0.00,0.01,0.03
Quick Ratio,0.24,1.79,1.89,0.34,0.68,2.93,4.20,10.14,7.70,0.50,43.35
Current Ratio,0.24,2.12,2.42,0.39,0.79,3.02,4.30,10.32,7.97,0.63,44.11
Return on Equity (ROE),12.94%,9.23%,7.85%,13.49%,6.19%,3.29%,1.10%,0.66%,21.45%,15.79%,-1.78%
Return on Assets (ROA),0.38%,0.36%,0.30%,0.11%,-0.01%,-0.22%,-0.15%,-0.06%,-0.15%,-0.20%,0.36%
Return on Capital (ROIC),0.46%,0.42%,0.35%,0.13%,-0.01%,-0.25%,-0.16%,-0.07%,-0.16%,-0.21%,0.37%
Return on Capital Employed (ROCE),0.70%,0.60%,0.50%,0.20%,-,-,-,-,-,-,0.50%
Earnings Yield,11.59%,8.14%,5.85%,11.13%,2.57%,1.05%,0.51%,0.54%,13.14%,6.84%,-0.94%
FCF Yield,-1.40%,-1.34%,-1.75%,-2.10%,-0.46%,-0.26%,-0.17%,-0.20%,-0.19%,-0.09%,0.65%
Buyback Yield / Dilution,0.69%,2.72%,6.96%,15.05%,-1.64%,-0.12%,-0.11%,0.30%,-19.82%,-48.40%,-16.31%
