Period Ending,"Nov '25Nov 6, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021"
Market Capitalization,"3,026","2,183",-,-,-
Enterprise Value,"2,295","1,643",-,-,-
Last Close Price,37.96,28.68,-,-,-
PS Ratio,5362.24,1916.94,-,-,-
PB Ratio,4.32,2.98,-,-,-
P/TBV Ratio,4.41,2.98,-,-,-
EV/Sales Ratio,4164.31,1442.48,-,-,-
Debt / Equity Ratio,0.00,0,0.00,0.13,0.38
Asset Turnover,-,0.00,0.00,0.00,-
Quick Ratio,21.78,34.76,13.17,9.32,8.97
Current Ratio,22.15,35.30,13.62,9.54,9.78
Return on Equity (ROE),-,-19.18%,-31.36%,-42.85%,-
Return on Assets (ROA),-,-15.02%,-19.97%,-21.34%,-
Return on Capital (ROIC),-,-15.60%,-21.24%,-22.42%,-
Earnings Yield,-4.33%,-4.03%,-,-,-
FCF Yield,-3.18%,-3.62%,-,-,-
Buyback Yield / Dilution,-376.91%,-1343.03%,-15.77%,-2.48%,-
