Period Ending,"Sep '25Sep 30, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016","Dec '15Dec 31, 2015"
Operating Revenue,286.92,275.65,239.72,241.25,234.38,478.05,834.9,288.84,127.09,129.52,39.56
Other Revenue,-,-,-,-,-,-,-,29.01,28.83,22.09,21.02
Revenue,286.92,275.65,239.72,241.25,234.38,478.05,834.9,317.85,155.92,151.61,60.58
Revenue Growth (YoY),10.31%,14.99%,-0.63%,2.93%,-50.97%,-42.74%,162.68%,103.85%,2.84%,150.27%,-32.71%
Cost of Revenue,494.12,370.32,241.29,269.8,320.5,523.67,420.09,322.88,218.5,71.98,80.83
Gross Profit,-207.2,-94.67,-1.57,-28.55,-86.12,-45.61,414.81,-5.03,-62.58,79.63,-20.25
"Selling, General & Admin",149.02,133.2,123.17,138.64,131.52,185.23,96.96,39.78,27.22,23.53,20.31
Research & Development,-,-,-,-,-,-,-,-,-,67.59,48.88
Other Operating Expenses,-37.33,-40.77,-47.27,-36.13,-46.07,-52.21,-50.9,-,-,-,-
Operating Expenses,111.69,92.42,75.9,102.51,85.45,133.02,46.06,39.78,27.22,91.12,69.19
Operating Income,-318.89,-187.1,-77.47,-131.06,-171.57,-178.63,368.75,-44.81,-89.8,-11.49,-89.44
Interest Expense,-2.13,-0.91,-1.77,-6.88,-11.59,-9.39,-1.27,-0.78,-0.94,-0.05,-0.05
Interest & Investment Income,50.18,89.38,79.29,18.09,2.87,10.03,14.31,5.22,3.05,1.61,1.25
Currency Exchange Gain (Loss),22.05,22.05,-21.66,44.38,56.66,-105.72,-46.95,9.85,-27.38,6.7,-0.67
Other Non Operating Income (Expenses),-82.22,1,0.13,-2.32,2.39,-25.98,-6.94,-0.57,-0.43,-0.01,-0.08
EBT Excluding Unusual Items,-331,-75.58,-21.48,-77.78,-121.25,-309.69,327.9,-31.08,-115.51,-3.23,-89
Gain (Loss) on Sale of Investments,-131.01,73.74,37.9,6.93,1.84,-0.09,-179.38,1.87,-,57.48,-30.63
Asset Writedown,-1.24,-1.24,-7.65,-,-,-,-,-,-,-,-
Other Unusual Items,-,-,-3.15,-,-,-,-,-,-,-,-
Pretax Income,-463.25,-3.09,5.63,-70.85,-119.4,-309.78,148.52,-29.21,-115.51,54.25,-119.63
Income Tax Expense,-19.38,-1.8,9.61,0.57,1.39,1.23,-0.17,0.05,0.2,0.24,-1.22
Earnings From Continuing Operations,-443.87,-1.28,-3.99,-71.42,-120.79,-311,148.69,-29.26,-115.7,54.01,-118.41
Earnings From Discontinued Operations,7.92,75.36,215.69,-146.57,17.56,5.57,1.16,-,-,-,-
Net Income,-435.96,74.08,211.7,-217.99,-103.23,-305.44,149.85,-29.26,-115.7,54.01,-118.41
Net Income to Common,-435.96,74.08,211.7,-217.99,-103.23,-305.44,149.85,-29.26,-115.7,54.01,-118.41
Net Income Growth,-,-65.01%,-,-,-,-,-,-,-,-,-
Shares Outstanding (Basic),66,66,66,66,66,65,58,52,49,46,36
Shares Outstanding (Diluted),66,66,66,66,66,65,60,52,49,47,36
Shares Change (YoY),0.05%,0.01%,0.36%,0.30%,0.65%,8.26%,15.35%,5.32%,4.59%,32.52%,18.57%
EPS (Basic),-6.62,1.12,3.21,-3.32,-1.58,-4.69,2.60,-0.56,-2.34,1.18,-3.32
EPS (Diluted),-6.62,1.12,3.21,-3.32,-1.58,-4.69,2.49,-0.56,-2.34,1.14,-3.32
EPS Growth,-,-65.05%,-,-,-,-,-,-,-,-,-
Free Cash Flow,-286.88,-336.75,-424.68,-527.93,-558.03,-469.86,"3,186",-152.86,-152.34,234.95,-120.69
Free Cash Flow Per Share,-4.35,-5.11,-6.44,-8.04,-8.52,-7.22,53.01,-2.93,-3.08,4.97,-3.38
Gross Margin,-72.21%,-34.34%,-0.66%,-11.83%,-36.74%,-9.54%,49.68%,-1.58%,-40.14%,52.52%,-33.43%
Operating Margin,-111.14%,-67.87%,-32.31%,-54.32%,-73.20%,-37.37%,44.17%,-14.10%,-57.60%,-7.58%,-147.65%
Profit Margin,-151.94%,26.88%,88.31%,-90.36%,-44.04%,-63.89%,17.95%,-9.21%,-74.21%,35.63%,-195.46%
Free Cash Flow Margin,-99.99%,-122.16%,-177.15%,-218.83%,-238.09%,-98.29%,381.63%,-48.09%,-97.71%,154.97%,-199.23%
EBITDA,-277.27,-153.32,-54.15,-65.49,-163.26,-170.67,374.24,-40.41,-86.16,-8.16,-87.07
EBITDA Margin,-96.64%,-55.62%,-22.59%,-27.15%,-69.65%,-35.70%,44.82%,-12.71%,-55.26%,-5.38%,-143.73%
D&A For EBITDA,41.62,33.78,23.32,65.57,8.31,7.96,5.5,4.4,3.64,3.33,2.38
EBIT,-318.89,-187.1,-77.47,-131.06,-171.57,-178.63,368.75,-44.81,-89.8,-11.49,-89.44
EBIT Margin,-111.14%,-67.87%,-32.31%,-54.32%,-73.20%,-37.37%,44.17%,-14.10%,-57.60%,-7.58%,-147.65%
Effective Tax Rate,-,-,170.90%,-,-,-,-,-,-,0.43%,-
Revenue as Reported,286.92,275.65,239.72,241.25,234.38,478.05,834.9,317.85,155.92,151.61,60.58
