Period Ending,"Nov '25Nov 18, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016","Dec '15Dec 31, 2015"
Market Capitalization,"1,996","1,809","2,694","2,909","3,669","6,440","13,534","5,024","4,831","2,976","2,409"
Market Cap Growth,14.54%,-32.85%,-7.39%,-20.71%,-43.02%,-52.42%,169.41%,4.00%,62.34%,23.53%,324.03%
Enterprise Value,"-1,527","-1,635","-1,503","-1,728","-1,844",-19,"7,278","3,485","3,367","1,993","2,011"
Last Close Price,30.76,27.50,40.65,44.38,55.13,98.98,206.83,91.74,93.76,64.19,62.88
PE Ratio,-,23.59,11.51,-,-,-,80.49,-,-,52.19,-
PS Ratio,5.93,6.34,10.17,11.28,13.77,11.01,14.45,13.81,25.80,18.59,36.61
PB Ratio,0.70,0.60,0.87,1.08,1.22,1.97,4.19,3.61,3.98,3.72,6.08
P/TBV Ratio,0.70,0.66,0.94,1.17,1.24,2.01,4.21,3.62,3.99,3.72,6.10
P/FCF Ratio,-,-,-,-,-,-,3.79,-,-,12.00,-
P/OCF Ratio,-,-,-,-,-,-,3.76,-,-,11.77,-
EV/Sales Ratio,-,-,-,-,-,-,7.77,9.58,17.99,12.45,30.56
EV/EBITDA Ratio,-,-,-,-,-,-,17.33,-,-,-,-
EV/EBIT Ratio,-,-,-,-,-,-,17.59,-,-,-,-
EV/FCF Ratio,-,-,-,-,-,-,2.04,-,-,8.04,-
Debt / Equity Ratio,0.00,0.00,0.00,0.01,0.01,0.01,0.01,-,0,0,0
Debt / EBITDA Ratio,-,-,-,-,-,-,0.07,-,-,-,-
Debt / FCF Ratio,-,-,-,-,-,-,0.01,-,-,0,-
Asset Turnover,0.08,0.07,0.05,0.05,0.04,0.08,0.22,0.23,0.13,0.20,0.17
Inventory Turnover,11.17,5.92,3.80,7.34,30.64,1716.94,1582.26,1163.51,754.76,230.34,266.77
Quick Ratio,8.53,9.57,8.76,7.98,8.53,8.40,10.25,6.02,6.95,9.60,4.92
Current Ratio,8.63,9.97,9.02,8.11,8.58,8.45,10.26,6.04,6.98,9.70,5.17
Return on Equity (ROE),-16.72%,-0.04%,-0.15%,-2.76%,-4.55%,-11.21%,7.27%,-2.63%,-13.07%,9.61%,-41.47%
Return on Assets (ROA),-5.19%,-2.75%,-1.06%,-1.65%,-1.97%,-1.89%,6.14%,-2.05%,-4.74%,-0.94%,-15.68%
Return on Capital (ROIC),-7.48%,-4.09%,-1.81%,-3.14%,-3.99%,-3.99%,11.20%,-2.52%,-6.34%,-1.28%,-19.57%
Return on Capital Employed (ROCE),-10.10%,-4.90%,-2.00%,-3.10%,-3.70%,-3.50%,6.70%,-3.70%,-8.10%,-1.20%,-24.20%
Earnings Yield,-25.63%,4.24%,8.69%,-8.01%,-3.20%,-5.80%,1.24%,-0.67%,-2.88%,1.92%,-5.34%
FCF Yield,-16.65%,-19.27%,-17.42%,-19.39%,-17.29%,-8.92%,26.42%,-3.48%,-3.79%,8.33%,-5.44%
Buyback Yield / Dilution,-0.05%,-0.01%,-0.36%,-0.30%,-0.65%,-8.26%,-15.35%,-5.32%,-4.59%,-32.52%,-18.57%
