Period Ending,"Sep '25Sep 30, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022"
"Selling, General & Admin",44.86,26.8,12.34,0.82
Research & Development,220.3,107.52,15.56,0.52
Operating Expenses,265.16,134.31,27.91,1.33
Operating Income,-265.16,-134.31,-27.91,-1.33
Interest Expense,-0.27,-0.22,-,-
Interest & Investment Income,17.98,6.19,1.92,0.07
Currency Exchange Gain (Loss),-3.01,0.41,-0,-
EBT Excluding Unusual Items,-250.45,-127.95,-25.99,-1.27
Merger & Restructuring Charges,-,-,-2.7,-
Other Unusual Items,-72.36,-90.43,-8.34,-0.36
Pretax Income,-322.81,-218.47,-47.21,-1.63
Income Tax Expense,-8.4,-9.34,-,-
Net Income,-314.41,-209.13,-47.21,-1.63
Net Income to Common,-314.41,-209.13,-47.21,-1.63
Shares Outstanding (Basic),75,14,14,13
Shares Outstanding (Diluted),75,14,14,13
Shares Change (YoY),430.09%,6.34%,6.88%,-
EPS (Basic),-4.20,-14.49,-3.48,-0.13
EPS (Diluted),-4.20,-14.49,-3.48,-0.13
Free Cash Flow,-231.63,-100.08,-35.42,-0.04
Free Cash Flow Per Share,-3.09,-6.93,-2.61,-0.00
EBITDA,-265.12,-134.3,-27.9,-
D&A For EBITDA,0.04,0.01,0,-
EBIT,-265.16,-134.31,-27.91,-1.33
