Period Ending,"Sep '25Sep 30, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022"
Cash & Equivalents,448.46,352.45,75.2,14.98
Cash & Short-Term Investments,448.46,352.45,75.2,14.98
Cash Growth,139.06%,368.71%,401.97%,-
Prepaid Expenses,10.66,2.06,0.85,-
Other Current Assets,2.29,4.63,0.76,-
Total Current Assets,461.41,359.13,76.8,14.98
"Property, Plant & Equipment",0.64,1.44,0.03,-
Goodwill,23.4,21.89,22.18,-
Other Intangible Assets,73.25,68.52,69.42,-
Other Long-Term Assets,8.94,-,0.41,-
Total Assets,567.64,450.99,168.84,14.98
Accounts Payable,20.23,20.84,2.66,-
Accrued Expenses,40.1,17.86,3.7,0.61
Short-Term Debt,2.41,8.39,-,-
Current Portion of Leases,0.37,0.71,-,-
Other Current Liabilities,45.39,19.51,13.82,-
Total Current Liabilities,108.49,67.31,20.17,0.61
Long-Term Debt,-,-,-,15.18
Long-Term Leases,0.06,0.7,-,-
Long-Term Deferred Tax Liabilities,8.32,7.78,17.26,-
Other Long-Term Liabilities,113.58,87.85,32.91,-
Total Liabilities,230.45,163.64,70.34,15.79
Additional Paid-In Capital,845.32,2.48,0.09,-
Retained Earnings,-518.68,-257.15,-48.02,-0.81
Comprehensive Income & Other,10.55,1.16,2.75,-
Total Common Equity,337.19,-253.51,-45.18,-0.81
Shareholders' Equity,337.19,287.35,98.5,-0.81
Total Liabilities & Equity,567.64,450.99,168.84,14.98
Total Debt,2.84,9.8,-,15.18
Net Cash (Debt),445.62,342.65,75.2,-0.2
Net Cash Growth,145.44%,355.68%,-,-
Net Cash Per Share,5.95,23.74,5.54,-0.02
Filing Date Shares Outstanding,105.38,105.05,13.83,12.7
Total Common Shares Outstanding,105.15,15.37,13.83,12.7
Working Capital,352.92,291.83,56.64,14.37
Book Value Per Share,3.21,-16.50,-3.27,-0.06
Tangible Book Value,240.54,-343.92,-136.78,-0.81
Tangible Book Value Per Share,2.29,-22.38,-9.89,-0.06
