Period Ending,"Sep '25Sep 27, 2025","Dec '24Dec 28, 2024","Dec '23Dec 30, 2023","Dec '22Dec 31, 2022","Jan '22Jan 1, 2022","Jan '21Jan 2, 2021","Dec '19Dec 28, 2019","Dec '18Dec 29, 2018","Dec '17Dec 30, 2017","Dec '16Dec 31, 2016","Jan '16Jan 2, 2016"
Revenue,"3,880","3,875","4,037","4,033","3,251","2,513","2,959","2,723","2,336","2,268","1,827"
Revenue Growth (YoY),0.27%,-4.00%,0.09%,24.06%,29.35%,-15.08%,8.69%,16.59%,2.99%,24.16%,11.61%
Cost of Revenue,"2,413","2,405","2,503","2,571","2,056","1,631","1,856","1,719","1,423","1,367","1,120"
Gross Profit,"1,467","1,470","1,534","1,462","1,195",882.05,"1,103","1,004",912.74,901.18,706.51
"Selling, General & Admin",780.77,738.46,794.44,754.55,622.91,491.9,553.99,499.82,436.49,444.43,375.15
Amortization of Goodwill & Intangibles,12.3,12.3,5.6,-,-,-,-,-,-,-,-
Operating Expenses,793.07,750.76,800.04,754.55,622.91,491.9,553.99,499.82,436.49,444.43,375.15
Operating Income,674.39,719.61,734.02,707.1,571.95,390.15,549.51,504.32,476.25,456.75,331.36
Interest Expense,-83.35,-92.23,-120.35,-88.98,-57.16,-78.62,-82.61,-58.74,-25.98,-23.88,-16.97
Currency Exchange Gain (Loss),-7.55,-1,-10.9,-28.1,0.3,-2.9,-0.9,-2.6,-2.4,-1.9,-6.8
Other Non Operating Income (Expenses),-0.24,-0.24,4.49,-0.79,1.3,-0.17,3.23,0.78,1.57,0.86,2.33
EBT Excluding Unusual Items,583.27,626.15,607.26,589.23,516.4,308.46,469.23,443.75,449.44,431.83,309.92
Merger & Restructuring Charges,-10.97,-14.18,-14.13,-24.82,102.35,-12.38,-10.48,-19.33,-19.95,-10.52,-28.75
Gain (Loss) on Sale of Assets,1.14,1.14,-,-,0.76,1.98,-,-,12.04,-,-
Asset Writedown,-38.64,-38.64,-78.11,-,-,-15.33,-,-,-58,-,-
Legal Settlements,-,-,-,-,-,-,14.84,-,-,-,-
Other Unusual Items,2.85,2.85,4.37,-,-,-14.68,-10.97,-0.91,-,-,-
Pretax Income,-171.47,577.32,519.38,564.42,619.5,268.06,462.62,423.51,383.53,421.31,281.17
Income Tax Expense,30.9,148.89,118.5,127.85,131.01,60.76,110.38,106.36,85.4,137.09,89.56
Net Income,-202.37,428.43,400.88,436.57,488.49,207.29,352.24,317.15,298.13,284.22,191.61
Net Income to Common,-202.37,428.43,400.88,436.57,488.49,207.29,352.24,317.15,298.13,284.22,191.61
Net Income Growth,-,6.87%,-8.17%,-10.63%,135.65%,-41.15%,11.06%,6.38%,4.90%,48.33%,-0.88%
Shares Outstanding (Basic),53,54,54,54,55,55,56,56,57,57,57
Shares Outstanding (Diluted),53,54,54,55,57,55,56,56,57,57,57
Shares Change (YoY),-2.67%,0.23%,-1.57%,-3.03%,2.77%,-0.93%,0.09%,-1.97%,-0.64%,0.20%,0.33%
EPS (Basic),-3.85,7.97,7.48,8.07,8.85,3.76,6.33,5.71,5.26,4.98,3.36
EPS (Diluted),-3.85,7.90,7.41,7.95,8.62,3.76,6.33,5.70,5.26,4.98,3.36
EPS Growth,-,6.61%,-6.79%,-7.77%,129.25%,-40.60%,11.05%,8.43%,5.55%,48.21%,-1.18%
Free Cash Flow,591.15,637.51,543.61,265.26,376.85,489.94,330.82,332.87,249.96,269.29,227.23
Free Cash Flow Per Share,11.23,11.76,10.05,4.83,6.65,8.89,5.94,5.99,4.41,4.72,3.99
Gross Margin,37.82%,37.94%,38.00%,36.24%,36.76%,35.10%,37.29%,36.88%,39.08%,39.74%,38.68%
Operating Margin,17.38%,18.57%,18.18%,17.53%,17.59%,15.52%,18.57%,18.52%,20.39%,20.14%,18.14%
Profit Margin,-5.21%,11.06%,9.93%,10.82%,15.03%,8.25%,11.90%,11.65%,12.77%,12.53%,10.49%
Free Cash Flow Margin,15.23%,16.45%,13.47%,6.58%,11.59%,19.49%,11.18%,12.22%,10.70%,11.87%,12.44%
EBITDA,796.36,839.62,859.44,838.02,690.43,498.23,651.36,600.1,544.56,514.98,385.43
EBITDA Margin,20.52%,21.67%,21.29%,20.78%,21.24%,19.82%,22.01%,22.04%,23.32%,22.71%,21.10%
D&A For EBITDA,121.97,120.01,125.42,130.92,118.48,108.09,101.85,95.78,68.31,58.23,54.07
EBIT,674.39,719.61,734.02,707.1,571.95,390.15,549.51,504.32,476.25,456.75,331.36
EBIT Margin,17.38%,18.57%,18.18%,17.53%,17.59%,15.52%,18.57%,18.52%,20.39%,20.14%,18.14%
Effective Tax Rate,-,25.79%,22.81%,22.65%,21.15%,22.67%,23.86%,25.11%,22.27%,32.54%,31.85%
