Period Ending,"Sep '25Sep 27, 2025","Dec '24Dec 28, 2024","Dec '23Dec 30, 2023","Dec '22Dec 31, 2022","Jan '22Jan 1, 2022","Jan '21Jan 2, 2021","Dec '19Dec 28, 2019","Dec '18Dec 29, 2018","Dec '17Dec 30, 2017","Dec '16Dec 31, 2016","Jan '16Jan 2, 2016"
Cash & Equivalents,175.13,689.53,247.5,162,180.36,268.1,94.5,71.7,89.65,68.49,55.53
Trading Asset Securities,2.12,1.99,2.9,6.81,-,-,-,-,-,-,-
Cash & Short-Term Investments,177.25,691.52,250.39,168.81,180.36,268.1,94.5,71.7,89.65,68.49,55.53
Cash Growth,-70.89%,176.17%,48.33%,-6.41%,-32.73%,183.71%,31.80%,-20.03%,30.91%,23.33%,26.36%
Receivables,738.74,711.38,691.65,671.57,598.73,383.69,470.29,413.07,328.42,338.07,295.53
Inventory,919.55,841.57,935.87,"1,078",837.42,540.2,585.7,521.81,424.64,368.24,354.15
Prepaid Expenses,133.82,85.58,87.95,87.89,90.57,78.5,58.71,55.02,89.18,36.9,38.23
Total Current Assets,"1,969","2,330","1,966","2,006","1,707","1,270","1,209","1,062",931.89,811.7,795.16
"Property, Plant & Equipment",577.91,647.13,620.27,545.84,474.37,441.68,448.8,314.57,281.92,221.57,199.75
Long-Term Investments,12.45,27.97,39.88,58.18,3.65,-,1.83,13.49,10.27,8.84,-
Goodwill,"2,025","2,518","2,486","2,412","2,243","1,934","1,850","1,743","1,265","1,093",983.34
Other Intangible Assets,"1,470","1,611","1,693","1,794","1,875","1,450","1,443","1,361",780.43,696.17,749.43
Long-Term Deferred Tax Assets,6.89,6.28,7.95,6.74,33.19,76.05,36.93,32.19,44.57,51.7,11.44
Other Long-Term Assets,292.27,142.47,93.35,52.04,46.46,29.61,12.26,23.74,25.84,34.43,22.03
Total Assets,"6,355","7,283","6,907","6,875","6,384","5,202","5,002","4,550","3,340","2,917","2,761"
Accounts Payable,257.95,208.91,227.08,271.37,304.74,182.77,173.69,188.3,146.33,146.92,157.76
Accrued Expenses,315.13,293.58,316.1,346.3,315.72,259.21,237.55,233.8,226.29,232.3,184.89
Current Portion of Long-Term Debt,42.11,43.95,44.82,45.58,28.46,37.02,2.89,3.21,5.15,5.88,32.06
Current Portion of Leases,28.23,27.94,26.42,25.25,22.75,22.49,21.83,-,-,-,-
Current Unearned Revenue,176.9,120.5,118.68,185.82,133.32,93.87,74.51,57.91,31.07,-,-
Other Current Liabilities,131.24,134.44,118,113.95,109.9,104.89,82.66,75.74,64.81,103.3,135.34
Total Current Liabilities,951.56,829.32,851.09,988.28,914.89,700.26,593.14,558.95,473.65,488.41,510.05
Long-Term Debt,"2,025","2,351","2,380","2,677","2,407","1,744","1,895","1,893","1,024",726.34,734.41
Long-Term Leases,-,98.04,87.55,80.24,74.2,76.53,75.02,-,-,-,-
Long-Term Unearned Revenue,21.61,19.93,15.72,12.5,11.6,13.52,12.87,12.17,-,-,-
Pension & Post-Retirement Benefits,9.04,9.57,12.13,14.95,219.68,469.5,289.09,253.12,334.51,322.99,207.49
Long-Term Deferred Tax Liabilities,229.68,252.06,216.14,220.2,186.94,147.22,133.5,113.9,87.82,77.76,113.01
Other Long-Term Liabilities,179.96,84.67,93.79,84.21,74.55,75.12,56.35,53.42,58.85,36.32,29.36
Total Liabilities,"3,417","3,645","3,657","4,077","3,889","3,226","3,055","2,885","1,979","1,652","1,594"
Common Stock,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.14
Additional Paid-In Capital,596.65,520.18,479.22,408.38,357.31,433.31,387.4,377.42,374.92,355.29,328.69
Retained Earnings,"4,014","4,328","3,900","3,499","3,062","2,569","2,361","2,009","1,698","1,399","1,115"
Treasury Stock,"-1,523",-940.69,-906.03,-831.18,-566.4,-537.13,-451.26,-445.12,-445.12,-205.28,-200.86
Comprehensive Income & Other,-149.31,-269.39,-223.2,-278.47,-359.08,-488.43,-350.93,-276.48,-266.42,-284.32,-76.41
Shareholders' Equity,"2,938","3,638","3,250","2,798","2,494","1,977","1,947","1,665","1,361","1,265","1,167"
Total Liabilities & Equity,"6,355","7,283","6,907","6,875","6,384","5,202","5,002","4,550","3,340","2,917","2,761"
Total Debt,"2,095","2,521","2,539","2,828","2,533","1,880","1,995","1,896","1,029",732.23,766.47
Net Cash (Debt),"-1,918","-1,830","-2,289","-2,659","-2,353","-1,612","-1,901","-1,825",-939.23,-663.74,-710.95
Net Cash Per Share,-36.45,-33.75,-42.32,-48.39,-41.52,-29.23,-34.15,-32.81,-16.56,-11.63,-12.48
Filing Date Shares Outstanding,50.37,53.62,53.6,53.61,54.66,55.64,56.19,55.7,55.73,57.54,57.31
Total Common Shares Outstanding,50.37,53.69,53.6,53.69,55.5,55.64,56.19,55.7,55.73,57.54,57.31
Working Capital,"1,018","1,501","1,115","1,018",792.2,570.24,616.06,502.64,458.24,323.29,285.12
Book Value Per Share,58.32,67.77,60.63,52.11,44.95,35.53,34.65,29.89,24.42,21.99,20.36
Tangible Book Value,-558,-490.83,-929.5,"-1,408","-1,625","-1,408","-1,346","-1,439",-684.09,-523.58,-565.94
Tangible Book Value Per Share,-11.08,-9.14,-17.34,-26.23,-29.27,-25.31,-23.96,-25.83,-12.27,-9.10,-9.88
Land,-,74.16,73.06,65.79,54.48,40.71,43.47,32.52,29,21.31,18.4
Buildings,-,372.85,346.53,306,270.81,245.44,229.03,196.74,175.68,134.16,108.21
Machinery,-,456.37,430.84,371.3,321.89,288.21,277.28,253.04,219.52,185.54,173.48
Order Backlog,-,629.6,757.7,-,-,-,-,-,-,-,-
