Period Ending,"Nov '25Nov 14, 2025","Dec '24Dec 28, 2024","Dec '23Dec 30, 2023","Dec '22Dec 31, 2022","Jan '22Jan 1, 2022","Jan '21Jan 2, 2021","Dec '19Dec 28, 2019","Dec '18Dec 29, 2018","Dec '17Dec 30, 2017","Dec '16Dec 31, 2016","Jan '16Jan 2, 2016"
Market Capitalization,"5,946","7,347","7,889","7,215","10,945","7,170","6,160","5,665","7,545","7,412","6,183"
Market Cap Growth,-21.23%,-6.87%,9.34%,-34.08%,52.66%,16.38%,8.75%,-24.93%,1.80%,19.88%,9.02%
Enterprise Value,"7,864","9,169","10,325","9,832","12,634","8,862","8,163","7,546","8,414","8,184","6,884"
Last Close Price,118.04,136.58,147.17,133.90,196.76,128.92,109.73,101.43,134.95,128.81,107.87
PE Ratio,-,17.15,19.68,16.53,22.41,34.59,17.49,17.86,25.31,26.08,32.27
Forward PE,13.39,14.08,14.69,14.16,22.04,23.36,15.77,15.11,22.54,24.03,25.11
PS Ratio,1.60,1.90,1.95,1.79,3.37,2.85,2.08,2.08,3.23,3.27,3.39
PB Ratio,2.02,2.02,2.43,2.58,4.39,3.63,3.16,3.40,5.54,5.86,5.30
P/FCF Ratio,10.06,11.53,14.51,27.20,29.04,14.63,18.62,17.02,30.19,27.52,27.21
P/OCF Ratio,8.75,10.70,12.55,21.70,25.85,13.66,16.32,15.36,24.78,25.20,24.77
PEG Ratio,-,1.58,1.58,1.58,1.58,1.58,1.58,1.08,1.77,1.34,1.30
EV/Sales Ratio,2.03,2.37,2.56,2.44,3.89,3.53,2.76,2.77,3.60,3.61,3.77
EV/EBITDA Ratio,9.87,10.92,12.01,11.73,18.30,17.79,12.53,12.58,15.45,15.89,17.86
EV/EBIT Ratio,11.66,12.74,14.07,13.91,22.09,22.72,14.85,14.96,17.67,17.92,20.78
EV/FCF Ratio,13.30,14.38,18.99,37.07,33.53,18.09,24.67,22.67,33.66,30.39,30.30
Debt / Equity Ratio,0.71,0.69,0.78,1.01,1.01,0.95,1.02,1.14,0.76,0.58,0.66
Debt / EBITDA Ratio,2.51,2.87,2.82,3.24,3.51,3.56,2.93,3.16,1.89,1.42,1.99
Debt / FCF Ratio,3.55,3.96,4.67,10.66,6.72,3.84,6.03,5.70,4.12,2.72,3.37
Asset Turnover,0.57,0.55,0.59,0.61,0.56,0.49,0.62,0.69,0.75,0.80,0.76
Inventory Turnover,2.64,2.71,2.49,2.69,2.99,2.90,3.35,3.63,3.59,3.78,3.67
Quick Ratio,0.96,1.69,1.11,0.85,0.85,0.93,0.95,0.87,0.88,0.83,0.69
Current Ratio,2.07,2.81,2.31,2.03,1.87,1.81,2.04,1.90,1.97,1.66,1.56
Return on Equity (ROE),-6.20%,12.44%,13.26%,16.50%,21.85%,10.57%,19.50%,20.96%,22.70%,23.37%,17.63%
Return on Assets (ROA),6.22%,6.34%,6.66%,6.67%,6.17%,4.78%,7.19%,7.99%,9.52%,10.05%,8.58%
Return on Capital (ROIC),7.62%,7.53%,8.04%,8.30%,8.05%,6.25%,9.15%,10.59%,13.57%,14.52%,11.70%
Return on Capital Employed (ROCE),12.50%,11.20%,12.10%,12.00%,10.50%,8.70%,12.50%,12.60%,16.60%,18.80%,14.70%
Earnings Yield,-3.40%,5.83%,5.08%,6.05%,4.46%,2.89%,5.72%,5.60%,3.95%,3.84%,3.10%
FCF Yield,9.94%,8.68%,6.89%,3.68%,3.44%,6.83%,5.37%,5.88%,3.31%,3.63%,3.67%
Buyback Yield / Dilution,2.67%,-0.23%,1.57%,3.03%,-2.77%,0.93%,-0.09%,1.97%,0.64%,-0.20%,-0.33%
