Period Ending,"Sep '25Sep 30, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '08Dec 31, 2008","Dec '07Dec 31, 2007","Dec '06Dec 31, 2006","Dec '05Dec 31, 2005"
Cash & Equivalents,216.85,168.69,213.77,391.66,292.64,152.82,80.62,52.36,76.06,31.56,28.38
Short-Term Investments,-,-,-,1.96,0.94,1.27,1.33,-,-,-,-
Trading Asset Securities,-,-,-,11.57,0.2,-,-,-,-,-,-
Cash & Short-Term Investments,216.85,168.69,213.77,405.18,293.78,154.09,81.95,52.36,76.06,31.56,28.38
Cash Growth,-29.46%,-21.09%,-47.24%,37.92%,90.66%,88.03%,56.50%,-31.16%,140.99%,11.21%,271.61%
Accounts Receivable,291.03,266.8,142.69,143.81,155.77,111.36,92.51,121.53,148.88,137.49,106.56
Other Receivables,13.66,8.67,3.71,3.23,2.29,3.48,3.68,-,-,6.16,4.01
Receivables,304.69,275.47,146.4,147.04,158.06,114.84,96.19,121.53,148.88,143.64,110.56
Prepaid Expenses,20.81,31.04,13.43,13.84,12.07,6.5,5.54,9.03,10.78,10.1,6.24
Restricted Cash,0.08,0.8,0.14,0.14,0.15,0.15,0.13,-,-,-,-
Other Current Assets,-,-,-,-,2.1,2.2,2.1,-,12.05,6.74,-
Total Current Assets,542.43,475.99,373.74,566.2,466.16,277.78,185.9,205.64,273.79,204.09,153.2
"Property, Plant & Equipment",260.95,321.2,86.72,124.2,154.31,190.28,29.09,81.81,76.31,65.63,56.68
Long-Term Investments,-,-,-,-,-,-,-,30.37,85.48,55,45.71
Goodwill,"2,140","2,125",820.65,793.08,793.89,770.09,261.59,731.37,694.52,648.43,605.88
Other Intangible Assets,889.9,987.95,344.01,397.18,464.35,523.36,65.79,71.06,86.49,102.74,111.27
Long-Term Deferred Tax Assets,5.68,5.68,2.79,2.42,1.41,0.81,0.99,-,-,-,-
Long-Term Deferred Charges,-,-,-,-,-,-,-,11.84,11.11,10.64,10.13
Other Long-Term Assets,17.19,7.54,2.74,2.75,6.46,1.37,1.37,3.68,4.24,3.4,3.19
Total Assets,"3,856","3,923","1,631","1,886","1,887","1,764",544.73,"1,136","1,232","1,090",986.06
Accounts Payable,127.51,120.87,47.02,54.95,53.98,44.12,36.34,38.4,45,43.29,37.15
Accrued Expenses,87.85,85.55,25.57,34.6,43.98,35.16,29.52,43.8,55.05,56,49.4
Current Portion of Long-Term Debt,6.33,22.1,1.58,-,-,6.7,-,9.89,18.28,20.79,38.44
Current Portion of Leases,3.67,4.26,3.35,5.06,-,0.88,-,-,-,-,-
Current Income Taxes Payable,2.53,1.94,0.26,0.72,2.57,2.45,1.88,2.61,51.72,-,-
Current Unearned Revenue,4.94,4.27,1.86,1.06,0.87,0.43,0.69,7.38,7.95,8.4,6.81
Other Current Liabilities,7,11.7,5.4,4.4,7.9,8.1,10,0.71,11.74,8.45,-
Total Current Liabilities,239.83,250.69,85.04,100.79,109.31,97.84,78.43,102.8,189.73,136.93,131.8
Long-Term Debt,"2,103","2,121",558.46,556.65,554.85,782.22,540.84,22.94,14.4,179.53,182.13
Long-Term Leases,6.41,9.17,5.93,7.88,-,0.99,-,-,-,-,-
Long-Term Deferred Tax Liabilities,194.47,222.74,71.27,90.56,84.65,86.77,12.82,67.68,90.79,44.8,35.23
Other Long-Term Liabilities,11.04,11.97,3.22,3.34,5.54,1.61,6.86,5.3,5,5.31,6.34
Total Liabilities,"2,555","2,616",723.92,759.21,754.34,969.42,638.95,198.72,299.92,366.57,355.5
Common Stock,0.17,0.17,0.15,0.15,0.15,0.13,119.87,0.06,0.06,0.06,0.06
Additional Paid-In Capital,"1,524","1,504",977.29,"1,176","1,165",839.15,-,502.6,488.68,455.66,430.03
Retained Earnings,-198.1,-159.81,-49.55,-27.36,-31.44,-47.49,-201.23,390.6,355.75,218.57,152.41
Comprehensive Income & Other,-24.45,-37.33,-21.16,-22.33,-1.64,2.48,-12.85,-0.41,39.1,0.66,0.36
Total Common Equity,"1,302","1,307",906.73,"1,127","1,132",794.27,-94.22,892.85,883.59,674.94,582.85
Minority Interest,-,-,-,-,-,-,-,44.2,48.42,48.41,47.71
Shareholders' Equity,"1,302","1,307",906.73,"1,127","1,132",794.27,-94.22,937.05,932.01,723.35,630.56
Total Liabilities & Equity,"3,856","3,923","1,631","1,886","1,887","1,764",544.73,"1,136","1,232","1,090",986.06
Total Debt,"2,120","2,157",569.32,569.59,554.85,790.79,540.84,32.83,32.69,200.33,220.57
Net Cash (Debt),"-1,903","-1,988",-355.54,-164.41,-261.07,-636.71,-458.89,49.9,128.85,-168.76,-192.19
Net Cash Growth,-,-,-,-,-,-,-,-61.27%,-,-,-
Net Cash Per Share,-11.16,-13.38,-2.43,-1.08,-1.84,-4.90,-2.80,-,-,-,-
Filing Date Shares Outstanding,174.11,173.51,145.16,147.78,152.94,130,149.69,59.51,59.1,58.5,55.87
