Period Ending,"Nov '25Nov 18, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '08Dec 31, 2008","Dec '07Dec 31, 2007","Dec '06Dec 31, 2006","Dec '05Dec 31, 2005"
Market Capitalization,"2,121","3,234","2,405","1,975","2,911",-,-,-,-,-,-
Market Cap Growth,-19.51%,34.48%,21.75%,-32.15%,-,-,-,-,-,-,-
Enterprise Value,"4,029","3,498","2,798","2,145","3,190",-,-,-,-,-,-
Last Close Price,12.50,18.73,16.57,11.71,17.15,-,-,-,-,-,-
PE Ratio,-,-,64.48,30.57,181.34,-,-,-,-,-,-
Forward PE,10.83,20.26,15.49,12.70,21.60,-,-,-,-,-,-
PS Ratio,1.46,3.76,3.15,2.44,4.09,-,-,-,-,-,-
PB Ratio,1.67,2.47,2.65,1.75,2.57,-,-,-,-,-,-
P/FCF Ratio,52.70,122.14,14.96,9.56,20.59,-,-,-,-,-,-
P/OCF Ratio,48.85,114.69,14.77,9.28,19.58,-,-,-,-,-,-
PEG Ratio,-,3.26,1.79,1.52,1.52,-,-,-,-,-,-
EV/Sales Ratio,2.76,4.07,3.66,2.65,4.48,-,-,-,-,-,-
EV/EBITDA Ratio,18.09,41.88,13.26,9.23,15.44,-,-,-,-,-,-
EV/EBIT Ratio,-,-,34.33,22.75,49.99,-,-,-,-,-,-
EV/FCF Ratio,99.87,132.12,17.41,10.38,22.57,-,-,-,-,-,-
Debt / Equity Ratio,1.63,1.65,0.63,0.51,0.49,1.00,-5.74,0.04,0.04,0.28,0.35
Debt / EBITDA Ratio,9.34,24.42,2.63,2.37,2.69,5.85,4.58,0.25,0.20,1.31,1.81
Debt / FCF Ratio,52.54,81.46,3.54,2.76,3.93,16.69,8.32,0.93,0.33,3.01,4.15
Asset Turnover,0.53,0.31,0.43,0.43,0.39,0.44,-,0.66,0.71,0.75,0.89
Quick Ratio,2.17,1.77,4.24,5.48,4.13,2.75,2.27,1.69,1.19,1.28,1.05
Current Ratio,2.26,1.90,4.39,5.62,4.26,2.84,2.37,2.00,1.44,1.49,1.16
Return on Equity (ROE),-12.48%,-9.96%,3.67%,5.72%,1.67%,-24.00%,-,3.54%,15.38%,10.28%,12.65%
Return on Assets (ROA),-0.43%,-1.40%,2.90%,3.12%,2.19%,-0.11%,-,4.94%,7.01%,7.26%,8.71%
Return on Capital (ROIC),-0.48%,-1.58%,3.21%,3.48%,2.44%,-0.13%,-,6.05%,8.62%,8.50%,9.91%
Return on Capital Employed (ROCE),-0.50%,-1.70%,5.30%,5.30%,3.60%,-0.10%,19.80%,9.10%,12.50%,12.70%,11.60%
Earnings Yield,-6.52%,-3.41%,1.55%,3.27%,0.55%,-,-,-,-,-,-
FCF Yield,1.90%,0.82%,6.68%,10.46%,4.86%,-,-,-,-,-,-
Payout Ratio,-,-,-,-,1.95%,-,-,-,-,-,-
Buyback Yield / Dilution,-18.14%,-1.61%,3.68%,-7.14%,-8.99%,20.67%,100.00%,-0.64%,-1.79%,-8.37%,-7.11%
