Period Ending,"Nov '25Nov 18, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016","Dec '15Dec 31, 2015"
Market Capitalization,"2,857","2,331","2,408","1,905","2,050","1,618","1,565","1,224","1,183",831,512
Market Cap Growth,25.45%,-3.20%,26.41%,-7.07%,26.66%,3.43%,27.80%,3.50%,42.43%,62.35%,12.92%
Last Close Price,29.53,26.99,27.12,28.84,32.08,26.38,27.39,23.31,22.58,19.76,13.42
PE Ratio,17.58,19.27,23.15,17.89,16.48,20.81,15.85,18.20,27.60,28.44,23.11
PS Ratio,4.52,4.67,4.56,4.69,5.76,5.66,5.43,4.91,5.16,4.76,3.68
PB Ratio,1.08,1.07,1.14,1.19,1.56,1.43,1.59,1.42,1.72,1.91,1.45
P/FCF Ratio,16.68,13.26,17.16,10.40,13.64,27.40,13.58,9.75,27.39,14.85,25.06
P/OCF Ratio,16.00,12.96,15.99,9.73,13.26,26.68,13.29,9.45,24.19,13.40,17.34
Debt / Equity Ratio,0.45,0.29,0.28,0.28,0.18,0.20,0.51,0.77,0.72,1.58,0.83
Debt / FCF Ratio,6.19,3.58,4.14,2.50,1.54,3.72,4.36,5.30,11.52,12.32,14.30
Return on Equity (ROE),6.33%,5.64%,5.60%,7.30%,10.19%,7.35%,10.67%,8.66%,7.62%,7.40%,6.65%
Return on Assets (ROA),0.91%,0.81%,0.78%,0.98%,1.38%,1.01%,1.43%,1.07%,0.82%,0.71%,0.67%
Earnings Yield,5.06%,5.19%,4.32%,5.59%,6.07%,4.81%,6.31%,5.49%,3.62%,3.52%,4.33%
FCF Yield,5.99%,7.54%,5.83%,9.62%,7.33%,3.65%,7.36%,10.26%,3.65%,6.74%,3.99%
Dividend Yield,2.60%,2.67%,2.62%,2.22%,1.22%,-,-,-,-,-,-
Payout Ratio,43.45%,50.95%,58.24%,38.72%,18.09%,-,-,-,-,-,-
Buyback Yield / Dilution,-1.12%,-0.84%,-31.22%,-12.57%,-5.86%,-3.65%,-6.73%,-12.45%,-15.57%,-11.15%,-21.75%
Total Shareholder Return,1.49%,1.82%,-28.61%,-10.35%,-4.64%,-3.65%,-6.73%,-12.45%,-15.57%,-11.15%,-21.75%
