Period Ending,"Sep '25Sep 30, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016","Dec '15Dec 31, 2015"
Interest Income on Loans,621.63,597.37,581.11,315.72,251.47,254.37,250.54,199.98,153.83,119.22,94.47
Interest Income on Investments,144.62,128.19,107.87,64.78,32.77,32.67,39.29,41.41,37.77,28.84,21.95
Total Interest Income,766.24,725.56,688.98,380.49,284.24,287.04,289.82,241.4,191.6,148.06,116.42
Interest Paid on Deposits,237.95,268.99,178.79,9.96,6.39,20.29,38.4,20.45,8.33,4.67,3.31
Interest Paid on Borrowings,33.65,24.6,21.95,4.37,1.83,4.01,7.81,9.44,6.97,3.8,3.62
Total Interest Expense,271.59,293.59,200.74,14.33,8.22,24.29,46.21,29.88,15.3,8.47,6.93
Net Interest Income,494.65,431.97,488.24,366.16,276.03,262.74,243.62,211.52,176.3,139.59,109.49
Net Interest Income Growth (YoY),15.85%,-11.53%,33.34%,32.66%,5.05%,7.85%,15.18%,19.98%,26.30%,27.49%,46.16%
Trust Income,17.04,15.17,12.78,11.05,9.63,7.51,6.35,5.92,3.71,3.43,-
Mortgage Banking Activities,1.93,1.77,1.79,3.48,11.78,14.7,6.49,4.68,6.45,5.86,-
Gain (Loss) on Sale of Investments,-8.99,-8.02,-2.89,-1.1,-0.58,1.24,1.22,-0.62,15.24,0.37,0.16
Other Non-Interest Income,55.56,53.65,47.08,38.95,40.12,28.7,30.19,28.57,23.03,18,32.02
Total Non-Interest Income,87.59,83.43,77.04,66.09,70.73,61.57,55.78,49.74,58.47,37.33,32.18
Non-Interest Income Growth (YoY),4.65%,8.30%,16.56%,-6.55%,14.87%,10.39%,12.13%,-14.93%,56.62%,16.01%,27.63%
Revenues Before Loan Losses,582.24,515.4,565.28,432.25,346.75,324.31,299.39,261.26,234.77,176.92,141.67
Provision for Loan Losses,25.7,16.26,37.52,26.18,-9.42,38.18,11,11.73,5.65,2.41,2.64
Revenue,556.54,499.14,527.76,406.07,356.17,286.13,288.4,249.53,229.12,174.51,139.02
Revenue Growth (YoY),12.63%,-5.42%,29.97%,14.01%,24.48%,-0.78%,15.58%,8.91%,31.29%,25.52%,34.18%
Salaries and Employee Benefits,191.32,176.83,188.32,137.97,106.47,96.78,80.28,76.23,72.16,59.85,47.78
Occupancy Expenses,-,-,-,-,-,-,-,13.39,13.29,13.12,8.74
Federal Deposit Insurance,8.99,8.45,8.63,3.14,2.41,1.27,0.88,2.2,2.33,2.37,2.21
Amortization of Goodwill & Intangibles,22.03,23.88,28.73,9.1,5.03,5.86,5.83,4.3,3.36,2.49,1.42
"Selling, General & Administrative",107.45,108.38,108.87,94.41,67.32,63.37,58.52,40.65,38.28,32.07,27.83
Other Non-Interest Expense,25.83,25.32,30.39,24.85,16.47,16.02,15.18,17.22,15.54,13.52,12.68
Total Non-Interest Expense,355.61,343.3,365.92,267.93,197.44,185.55,160.74,162.27,149.92,127.6,103.77
EBT Excluding Unusual Items,200.93,155.84,161.84,138.14,158.74,100.58,127.66,87.25,79.2,46.9,35.25
Other Unusual Items,-,-,-,-,-,-,-,-,-,-1.78,-
Pretax Income,186.65,155.84,134.25,138.14,158.74,100.58,128.61,87.53,79.2,44.09,35.67
Income Tax Expense,41.95,34.85,30.22,31.63,34.34,22.82,29.87,20.26,36.34,14.89,13.53
Net Income,144.7,120.99,104.03,106.51,124.4,77.76,98.74,67.28,42.87,29.2,22.14
Net Income to Common,144.7,120.99,104.03,106.51,124.4,77.76,98.74,67.28,42.87,29.2,22.14
Net Income Growth,24.27%,16.30%,-2.32%,-14.39%,59.98%,-21.24%,46.77%,56.95%,46.79%,31.89%,288.71%
Basic Shares Outstanding,85,84,84,64,57,54,51,48,43,37,33
Diluted Shares Outstanding,86,85,84,64,57,54,52,49,43,38,34
Shares Change (YoY),1.12%,0.84%,31.22%,12.57%,5.86%,3.65%,6.73%,12.45%,15.57%,11.15%,21.75%
EPS (Basic),1.70,1.43,1.24,1.67,2.20,1.45,1.92,1.40,1.01,0.79,0.66
EPS (Diluted),1.68,1.42,1.23,1.66,2.18,1.44,1.90,1.38,0.99,0.78,0.66
EPS Growth,23.57%,15.45%,-25.90%,-23.85%,51.39%,-24.21%,37.68%,39.39%,26.92%,18.18%,219.10%
Dividend Per Share,0.720,0.720,0.710,0.640,0.390,-,-,-,-,-,-
Dividend Growth,-,1.41%,10.94%,64.10%,-,-,-,-,-,-,-
Effective Tax Rate,22.47%,22.36%,22.51%,22.90%,21.63%,22.69%,23.23%,23.14%,45.88%,33.77%,37.92%
