Period Ending,"Jul '25Jul 31, 2025","Jan '25Jan 31, 2025","Jan '24Jan 31, 2024","Jan '23Jan 31, 2023","Jan '22Jan 31, 2022","Jan '21Jan 31, 2021","Jan '20Jan 31, 2020","Jan '19Jan 31, 2019","Jan '18Jan 31, 2018","Jan '17Jan 31, 2017","Jan '16Jan 31, 2016"
Revenue,"7,754","7,830","9,963","10,033","7,648","5,953","6,053","5,244","4,453","4,172","3,829"
Revenue Growth (YoY),-11.83%,-21.41%,-0.70%,31.19%,28.47%,-1.65%,15.43%,17.77%,6.74%,8.94%,8.64%
Cost of Revenue,"6,109","6,056","7,329","7,534","5,516","4,404","4,599","3,990","3,407","3,163","2,915"
Gross Profit,"1,645","1,774","2,634","2,499","2,132","1,549","1,454","1,253","1,045","1,009",914.2
"Selling, General & Admin",761.4,759.5,807.6,779.5,669.8,568.5,644.7,554.6,460.4,452.1,415.3
Research & Development,405,391.1,401.9,367.7,289.8,242.3,238.4,221.7,198.6,184.1,164.4
Other Operating Expenses,-15,-13,1.6,-4.4,-0.5,3.7,-0.6,0.6,1,-0.5,-0.8
Operating Expenses,"1,151","1,138","1,211","1,143",959.1,814.5,882.5,776.9,660,635.7,578.9
Operating Income,493.7,636,"1,423","1,357","1,173",734.7,571.5,476.5,385.1,373.2,335.3
Interest Expense,-180.5,-184,-174.3,-109.6,-56.9,-97.9,-78.5,-56.1,-47.2,-52.3,-54.5
Interest & Investment Income,6.8,8,11.8,4.2,3.8,7.6,2.2,2.2,2.2,1.5,2.4
Currency Exchange Gain (Loss),-19.7,-213.3,-28.8,-86.5,15.1,119,-18.8,-75.2,48.4,78,-116.4
Other Non Operating Income (Expenses),-9.2,-8.1,-4.5,-0.6,-1.7,-3.9,-6.2,-6.2,-2.9,-3.7,-1.3
EBT Excluding Unusual Items,291.1,238.6,"1,227","1,164","1,133",759.5,470.2,341.2,385.6,396.7,165.5
Merger & Restructuring Charges,-54.1,-76.8,-3.8,-,-,-156.2,-3.3,-2.9,-2.1,1.1,-2.1
Gain (Loss) on Sale of Assets,-,-,-,-,-,12.6,-1.2,-,-,-,6.2
Asset Writedown,-9.4,-9.4,-,-,-,-124.5,-,-,-,-,-70.3
Legal Settlements,-,-,-,-,-,4,40,-1.3,-5.9,-70.7,-
Other Unusual Items,-,-,-17.9,1.8,-56.7,-11.1,-,-8.1,-1,-,1.1
Pretax Income,227.6,152.4,"1,205","1,166","1,077",484.3,505.7,328.9,376.6,327.1,100.4
Income Tax Expense,31.3,89.7,273.7,300.5,282.1,121.4,135.1,101.6,137.5,70.1,48.8
Earnings From Continuing Operations,196.3,62.7,931.7,865.4,794.6,362.9,370.6,227.3,239.1,257,51.6
Earnings From Discontinued Operations,-235.5,-275.7,-187.2,-,-,-,-,-,-,-,-
Net Income to Company,-39.2,-213,744.5,865.4,794.6,362.9,370.6,227.3,239.1,257,51.6
Minority Interest in Earnings,1.6,-0.1,-1.1,-1.5,-0.7,0.5,0.8,-0.3,-0.2,0.2,-
Net Income,-37.6,-213.1,743.4,863.9,793.9,363.4,371.4,227,238.9,257.2,51.6
Net Income to Common,-37.6,-213.1,743.4,863.9,793.9,363.4,371.4,227,238.9,257.2,51.6
Net Income Growth,-,-,-13.95%,8.82%,118.47%,-2.15%,63.61%,-4.98%,-7.12%,398.45%,-26.50%
Shares Outstanding (Basic),73,74,77,79,83,88,93,98,107,113,117
Shares Outstanding (Diluted),73,75,79,81,85,89,94,100,108,113,117
Shares Change (YoY),-4.30%,-5.01%,-2.99%,-5.06%,-3.78%,-5.55%,-5.80%,-7.72%,-4.67%,-3.62%,-1.23%
EPS (Basic),-0.51,-2.89,9.63,10.88,9.57,4.15,4.00,2.31,2.23,2.28,0.44
EPS (Diluted),-0.51,-2.86,9.47,10.67,9.31,4.10,3.96,2.28,2.21,2.27,0.44
EPS Growth,-,-,-11.28%,14.61%,127.07%,3.54%,73.68%,3.17%,-2.64%,415.91%,-25.42%
Free Cash Flow,534.4,343.5,"1,110",48.5,141.1,700.9,274.8,283.1,345.5,331.6,166
Free Cash Flow Per Share,7.32,4.61,14.13,0.60,1.66,7.91,2.93,2.84,3.20,2.93,1.41
Dividend Per Share,0.850,0.840,0.720,0.640,0.520,0.110,0.400,0.360,0.240,-,-
