Period Ending,"Jul '25Jul 31, 2025","Jan '25Jan 31, 2025","Jan '24Jan 31, 2024","Jan '23Jan 31, 2023","Jan '22Jan 31, 2022","Jan '21Jan 31, 2021","Jan '20Jan 31, 2020","Jan '19Jan 31, 2019","Jan '18Jan 31, 2018","Jan '17Jan 31, 2017","Jan '16Jan 31, 2016"
Cash & Equivalents,271.6,180.7,491.8,202.3,265.8,"1,326",42.5,100,226,298.6,235
Short-Term Investments,-,-,-,-,-,-,19.1,12.8,11.5,3.5,8
Cash & Short-Term Investments,271.6,180.7,491.8,202.3,265.8,"1,326",61.6,112.8,237.5,302.1,243
Cash Growth,64.21%,-63.26%,143.10%,-23.89%,-79.95%,2052.11%,-45.39%,-52.51%,-21.38%,24.32%,-3.30%
Accounts Receivable,545.1,468.8,533,490.1,336.1,249.3,328.8,322.3,276.6,284.3,273.4
Other Receivables,150.8,289.4,184.1,208.8,161.2,90.6,88.7,79.6,72.1,88.6,74.6
Receivables,695.9,758.2,717.1,698.9,497.3,339.9,417.5,401.9,348.7,372.9,348
Inventory,"1,796","1,730","2,156","2,290","1,691","1,087","1,166",946.2,742.8,689.8,685.9
Other Current Assets,280.2,505.7,164.3,189.3,213.7,109.4,26.8,24.9,20.4,18.2,17.7
Total Current Assets,"3,044","3,175","3,529","3,381","2,668","2,862","1,672","1,486","1,349","1,383","1,295"
"Property, Plant & Equipment","2,132","2,122","2,174","1,991","1,575","1,279","1,242",905.1,766.8,673.2,636.6
Long-Term Investments,-,-,-,-,-,-,20.2,20,21.4,20.1,22.2
Goodwill,-,252.3,252.3,252.3,115.9,116,230.2,169.4,116,115.9,116
Other Intangible Assets,627.4,351.5,412.8,489,379,349.1,379.9,309.3,198.6,201.2,207.9
Long-Term Deferred Tax Assets,434.3,338.2,337.5,257.9,212.8,227.1,206.6,169.6,165,116.4,133.3
Other Long-Term Assets,52.1,55,70.1,94.1,80.5,52.9,15.9,18,6.4,6.4,34.6
Total Assets,"6,290","6,293","6,776","6,465","5,031","4,886","3,767","3,077","2,624","2,516","2,445"
Accounts Payable,"1,228",829.4,"1,027",943.7,965.3,814.7,754.8,687.4,560.2,518.8,461.7
Accrued Expenses,-,392.7,423.6,604.5,657.6,481.8,331,316.1,245.3,199.7,188.6
Short-Term Debt,-,-,-,29,-,-,-,-,-,-,-
Current Portion of Long-Term Debt,46.6,53.8,58.1,59.4,103.1,25.3,17.9,18.4,19.8,22.7,14.8
Current Portion of Leases,55.3,47.1,46.3,44.7,29.4,33.5,31.6,-,-,-,-
Current Income Taxes Payable,30.3,44.3,47.9,81.3,135.7,63,67.4,68.3,42.6,29.6,32.1
Current Unearned Revenue,63.9,64.9,89.9,85.3,247.9,72.4,71.8,71.3,62.1,-,-
Other Current Liabilities,842.6,995.2,812.5,635.4,480.4,701.8,609.6,516.9,512.3,333.2,234.1
Total Current Liabilities,"2,267","2,427","2,505","2,483","2,619","2,193","1,884","1,678","1,442","1,104",931.3
Long-Term Debt,"2,736","2,871","2,705","2,731","1,937","2,384","1,628","1,197",995,901,"1,132"
Long-Term Leases,197.2,158.2,142,152.2,117.5,206.3,209.3,-,-,-,-
Long-Term Unearned Revenue,79.7,84.4,113.2,141.5,107.3,132.7,140.3,129.7,122.3,-,-
Pension & Post-Retirement Benefits,186.7,194,156.3,158,220.2,297.8,301.2,237.1,224.8,194.1,224.1
Long-Term Deferred Tax Liabilities,72.7,58.8,105.9,58.9,22.4,16.4,14.3,0.9,1.2,16.8,28.8
Other Long-Term Liabilities,256.8,252.5,234.1,199.8,139.5,130.7,180.1,156.8,130,134.8,143.3
Total Liabilities,"5,796","6,047","5,962","5,925","5,164","5,361","4,357","3,400","2,916","2,351","2,459"
Common Stock,251.8,251,248.5,255.8,260.6,210.4,190.6,217.8,234.8,303,331.3
Additional Paid-In Capital,85.9,83,71.8,58.8,-,-,-,38.3,-,26.9,21.5
Retained Earnings,43.7,-37.3,443.1,175.5,-404.3,-575.9,-757,-596.3,-551.8,-169.1,-393.6
Comprehensive Income & Other,104.2,-55.4,45.5,44.8,8.1,-113.2,-27.4,12.2,20,0.1,21.5
Total Common Equity,485.6,241.3,808.9,534.9,-135.6,-478.7,-593.8,-328,-297,160.9,-19.3
Minority Interest,8,5.5,5,5.2,2.8,3.8,4.1,5.2,5,4.6,5.2
Shareholders' Equity,493.6,246.8,813.9,540.1,-132.8,-474.9,-589.7,-322.8,-292,165.5,-14.1
Total Liabilities & Equity,"6,290","6,293","6,776","6,465","5,031","4,886","3,767","3,077","2,624","2,516","2,445"
Total Debt,"3,036","3,130","2,951","3,016","2,187","2,650","1,886","1,216","1,015",923.7,"1,147"
Net Cash (Debt),"-2,764","-2,950","-2,460","-2,814","-1,922","-1,324","-1,825","-1,103",-777.3,-621.6,-903.6
Net Cash Per Share,-37.85,-39.55,-31.32,-34.76,-22.54,-14.94,-19.45,-11.07,-7.20,-5.49,-7.69
Filing Date Shares Outstanding,73.05,73.03,74.96,78.91,81.04,84.67,87.3,97.14,101.26,111.72,114.9
Total Common Shares Outstanding,73.05,73.03,74.96,78.91,81.5,86.54,88.3,97.14,101.26,111.72,114.9
