Period Ending,"Nov '25Nov 14, 2025","Jan '25Jan 31, 2025","Jan '24Jan 31, 2024","Jan '23Jan 31, 2023","Jan '22Jan 31, 2022","Jan '21Jan 31, 2021","Jan '20Jan 31, 2020","Jan '19Jan 31, 2019","Jan '18Jan 31, 2018","Jan '17Jan 31, 2017","Jan '16Jan 31, 2016"
Market Capitalization,"4,686","3,506","4,779","6,556","6,806","5,790","4,532","2,794","4,185","2,249","1,267"
Market Cap Growth,25.20%,-26.64%,-27.10%,-3.69%,17.56%,27.75%,62.18%,-33.24%,86.06%,77.48%,-37.95%
Enterprise Value,"6,663","5,512","6,891","8,655","8,585","6,917","5,839","3,666","4,887","2,938","1,955"
Last Close Price,64.11,47.33,61.84,81.31,80.33,63.39,49.06,27.40,37.79,18.96,9.64
PE Ratio,-,-,8.60,10.12,10.91,20.36,16.14,16.18,21.53,11.41,34.58
PS Ratio,0.84,0.65,0.64,0.87,1.13,1.24,0.99,0.70,1.16,0.70,0.47
PB Ratio,13.14,20.56,7.86,16.19,-65.24,-15.58,-10.16,-11.38,-17.61,17.73,-126.55
P/TBV Ratio,-,-,44.47,-,-,-,-,-,-,-,-
P/FCF Ratio,12.31,14.77,5.76,180.27,61.40,10.56,21.81,12.98,14.89,8.85,10.75
P/OCF Ratio,7.36,6.86,3.86,13.46,11.25,7.76,10.79,6.55,9.17,5.80,4.96
EV/Sales Ratio,1.19,1.02,0.93,1.15,1.43,1.49,1.28,0.92,1.35,0.92,0.72
EV/EBITDA Ratio,10.94,8.17,5.31,7.16,7.84,9.37,10.17,7.54,11.53,7.76,6.12
EV/EBIT Ratio,18.68,12.54,6.48,8.51,9.32,12.03,13.51,10.12,15.59,10.27,8.21
EV/FCF Ratio,17.50,23.23,8.31,237.99,77.45,12.61,28.10,17.02,17.38,11.56,16.58
Debt / Equity Ratio,6.15,12.68,3.63,5.58,-16.47,-5.58,-3.20,-3.76,-3.47,5.58,-81.32
Debt / EBITDA Ratio,3.38,3.03,1.65,1.83,1.53,2.71,2.38,1.90,1.95,1.87,2.55
Debt / FCF Ratio,5.68,9.11,2.66,62.19,15.50,3.78,6.86,4.29,2.94,2.79,6.91
Asset Turnover,1.22,1.20,1.51,1.75,1.54,1.38,1.77,1.84,1.73,1.68,1.60
Inventory Turnover,3.05,3.12,3.30,3.79,3.97,3.91,4.35,4.72,4.76,4.60,4.43
Quick Ratio,0.43,0.39,0.48,0.36,0.29,0.76,0.25,0.31,0.41,0.61,0.64
Current Ratio,1.34,1.31,1.41,1.36,1.02,1.31,0.89,0.89,0.94,1.25,1.39
Return on Equity (ROE),37.47%,11.82%,137.62%,424.95%,-,-,-,-,-,339.50%,-
Return on Assets (ROA),4.87%,6.08%,13.43%,14.75%,14.79%,10.61%,10.44%,10.45%,9.37%,9.40%,8.74%
Return on Capital (ROIC),8.68%,11.13%,24.29%,30.22%,34.67%,26.46%,32.63%,36.87%,26.57%,21.00%,19.57%
Return on Capital Employed (ROCE),12.30%,16.50%,33.30%,34.10%,48.60%,27.30%,30.40%,34.10%,32.60%,26.40%,22.10%
Earnings Yield,-0.58%,-4.20%,11.63%,9.88%,9.16%,4.91%,6.20%,6.18%,4.64%,8.77%,2.89%
FCF Yield,8.13%,6.77%,17.36%,0.56%,1.63%,9.47%,4.58%,7.71%,6.72%,11.30%,9.30%
Dividend Yield,0.95%,1.23%,0.87%,0.59%,0.51%,0.14%,0.62%,1.00%,0.52%,-,-
Payout Ratio,-,-,7.48%,5.88%,5.43%,2.64%,10.02%,15.55%,10.59%,-,-
Buyback Yield / Dilution,4.30%,5.01%,2.99%,5.06%,3.78%,5.55%,5.80%,7.72%,4.67%,3.62%,1.23%
Total Shareholder Return,5.26%,6.24%,3.86%,5.65%,4.29%,5.69%,6.42%,8.72%,5.19%,3.62%,1.23%
