Period Ending,"Nov '25Nov 18, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016","Dec '15Dec 31, 2015"
Market Capitalization,"2,733","4,831","5,772","3,493","3,719","2,671","2,478","1,446","1,370","1,435",932
Market Cap Growth,-50.80%,-16.31%,65.28%,-6.08%,39.25%,7.77%,71.40%,5.50%,-4.48%,53.99%,-12.16%
Enterprise Value,"3,824","5,836","6,470","4,472","4,542","3,347","3,466","1,841","1,908","1,639","1,047"
Last Close Price,88.59,152.10,177.19,100.27,106.60,76.09,70.29,40.75,38.29,40.44,25.12
PE Ratio,20.97,19.35,20.52,12.45,16.95,15.47,15.55,8.83,15.11,16.94,12.28
Forward PE,8.73,15.47,16.42,11.19,13.93,12.31,11.24,8.95,11.57,15.52,10.95
PS Ratio,0.34,0.56,0.63,0.34,0.39,0.32,0.32,0.20,0.20,0.26,0.17
PB Ratio,1.74,2.73,3.33,2.13,2.46,1.99,2.14,1.47,1.63,2.01,1.36
P/TBV Ratio,8.99,10.72,8.47,3.72,4.29,4.01,5.31,2.04,2.24,2.28,1.55
P/FCF Ratio,8.22,8.24,9.95,128.56,33.31,8.06,42.15,5.25,-,17.12,5.56
P/OCF Ratio,7.50,7.63,9.32,35.60,22.72,7.51,19.38,4.94,-,14.93,5.15
PEG Ratio,0.80,1.02,1.02,1.02,1.02,1.02,1.02,1.02,1.02,1.02,1.02
EV/Sales Ratio,0.46,0.67,0.71,0.43,0.48,0.40,0.45,0.26,0.28,0.30,0.20
EV/EBITDA Ratio,7.70,11.37,13.05,9.39,11.77,9.52,11.42,6.70,8.02,8.46,6.15
EV/EBIT Ratio,9.74,14.06,14.93,10.65,13.75,11.70,13.47,7.76,9.77,10.53,7.92
EV/FCF Ratio,11.48,9.96,11.15,164.62,40.69,10.10,58.95,6.69,-,19.55,6.24
Debt / Equity Ratio,1.03,0.66,0.73,0.62,0.50,0.66,1.03,0.51,0.75,0.27,0.29
Debt / EBITDA Ratio,3.14,2.17,2.43,2.04,1.83,2.33,3.57,1.82,2.66,1.01,1.16
Debt / FCF Ratio,4.90,1.99,2.18,37.61,6.74,2.66,20.29,1.82,-,2.34,1.17
Asset Turnover,1.02,1.27,1.61,2.13,2.10,1.97,2.22,2.59,2.73,2.59,2.71
Inventory Turnover,43.66,45.16,33.38,29.65,31.10,37.40,38.86,32.03,25.81,24.43,27.44
Quick Ratio,1.21,1.10,1.17,1.20,1.21,1.26,1.39,1.35,1.28,1.14,1.24
Current Ratio,1.30,1.18,1.28,1.36,1.42,1.43,1.62,1.52,1.54,1.38,1.45
Return on Equity (ROE),8.51%,14.24%,16.68%,17.83%,15.38%,13.80%,14.85%,17.88%,11.65%,12.11%,10.78%
Return on Assets (ROA),3.03%,3.78%,4.75%,5.36%,4.59%,4.21%,4.63%,5.43%,4.98%,4.60%,4.17%
Return on Capital (ROIC),7.79%,8.74%,9.57%,10.66%,9.21%,7.81%,8.38%,10.00%,10.23%,10.86%,9.23%
Return on Capital Employed (ROCE),10.10%,12.50%,14.90%,18.70%,15.20%,13.70%,11.20%,19.10%,16.50%,19.90%,16.40%
Earnings Yield,5.20%,5.17%,4.87%,8.04%,5.90%,6.46%,6.43%,11.32%,6.62%,5.90%,8.14%
FCF Yield,12.17%,12.13%,10.05%,0.78%,3.00%,12.41%,2.37%,19.05%,-23.81%,5.84%,18.00%
Buyback Yield / Dilution,11.32%,-2.40%,-1.70%,0.66%,-4.00%,1.43%,0.14%,0.55%,0.63%,4.80%,7.45%
