Period Ending,"Sep '25Sep 30, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016","Dec '15Dec 31, 2015"
Revenue,"8,272","8,702","9,176","10,431","9,436","8,341","7,731","7,080","6,704","5,486","5,373"
Revenue Growth (YoY),-6.69%,-5.17%,-12.04%,10.54%,13.13%,7.88%,9.20%,5.62%,22.21%,2.09%,1.07%
Cost of Revenue,"6,549","6,936","7,506","8,795","7,989","7,041","6,593","6,086","5,785","4,745","4,657"
Gross Profit,"1,723","1,766","1,670","1,637","1,448","1,300","1,138",993.72,918.57,740.9,716.33
"Selling, General & Admin","1,330","1,351","1,236","1,217","1,117","1,014",880.74,756.53,723.33,547.11,584.11
Operating Expenses,"1,330","1,351","1,236","1,217","1,117","1,014",880.74,756.53,723.33,585.24,584.11
Operating Income,392.56,415.02,433.28,419.91,330.43,286.18,257.36,237.19,195.24,155.66,132.23
Interest Expense,-75.93,-58.04,-41.12,-39.5,-40.52,-41.59,-28.48,-21.74,-17.97,-8.63,-7.22
Interest & Investment Income,-,-,-,-,-,-,-,-,-,1.07,0.78
Currency Exchange Gain (Loss),2.37,2.37,-0.82,0.23,1.01,-1.53,-0.4,0.16,-2.2,-0.52,0.39
Other Non Operating Income (Expenses),0.35,-,-,-,-,-,-,-,-,-1.29,-1.3
EBT Excluding Unusual Items,319.34,359.35,391.34,380.64,290.92,243.05,228.48,215.61,175.08,146.29,124.88
Merger & Restructuring Charges,-33.62,-34.28,-13.49,-6.21,1.63,-14.6,-16.77,-3.71,-12.33,-9.03,-5.71
Gain (Loss) on Sale of Assets,-,-,-,-,-,-,-,-,-3.65,-,-
Other Unusual Items,-67.05,7.85,-,-,-,-,-,-,-,-,-
Pretax Income,206.09,332.91,377.85,374.43,292.56,228.45,211.72,211.9,159.1,139.46,119.18
Income Tax Expense,63.68,83.22,96.55,93.83,73.21,55.81,52.31,48.23,68.42,54.77,43.33
Net Income,142.41,249.69,281.31,280.61,219.35,172.64,159.41,163.68,90.68,84.69,75.85
Net Income to Common,142.41,249.69,281.31,280.61,219.35,172.64,159.41,163.68,90.68,84.69,75.85
Net Income Growth,-53.05%,-11.24%,0.25%,27.93%,27.05%,8.30%,-2.61%,80.49%,7.08%,11.65%,0.22%
Shares Outstanding (Basic),32,32,33,35,35,35,36,36,36,36,38
Shares Outstanding (Diluted),34,38,37,37,37,35,36,36,36,36,38
Shares Change (YoY),-11.32%,2.40%,1.70%,-0.66%,4.00%,-1.43%,-0.14%,-0.55%,-0.63%,-4.80%,-7.45%
EPS (Basic),4.49,7.73,8.53,8.04,6.27,4.92,4.49,4.60,2.54,2.35,2.00
EPS (Diluted),4.21,6.55,7.55,7.66,5.95,4.87,4.43,4.55,2.50,2.32,1.98
EPS Growth,-46.91%,-13.25%,-1.44%,28.74%,22.18%,9.93%,-2.64%,82.00%,7.76%,17.17%,8.20%
Free Cash Flow,333.21,586.06,580.28,27.17,111.63,331.4,58.79,275.4,-326.3,83.81,167.69
Free Cash Flow Per Share,9.83,15.37,15.58,0.74,3.03,9.35,1.64,7.65,-9.01,2.30,4.38
Gross Margin,20.83%,20.29%,18.20%,15.69%,15.34%,15.59%,14.72%,14.04%,13.70%,13.51%,13.33%
Operating Margin,4.75%,4.77%,4.72%,4.03%,3.50%,3.43%,3.33%,3.35%,2.91%,2.84%,2.46%
Profit Margin,1.72%,2.87%,3.07%,2.69%,2.33%,2.07%,2.06%,2.31%,1.35%,1.54%,1.41%
Free Cash Flow Margin,4.03%,6.73%,6.32%,0.26%,1.18%,3.97%,0.76%,3.89%,-4.87%,1.53%,3.12%
EBITDA,496.32,513.15,495.76,476.52,385.85,351.74,303.57,274.65,237.84,193.79,170.18
EBITDA Margin,6.00%,5.90%,5.40%,4.57%,4.09%,4.22%,3.93%,3.88%,3.55%,3.53%,3.17%
D&A For EBITDA,103.75,98.14,62.48,56.61,55.42,65.56,46.21,37.46,42.6,38.13,37.96
EBIT,392.56,415.02,433.28,419.91,330.43,286.18,257.36,237.19,195.24,155.66,132.23
EBIT Margin,4.75%,4.77%,4.72%,4.03%,3.50%,3.43%,3.33%,3.35%,2.91%,2.84%,2.46%
Effective Tax Rate,30.90%,25.00%,25.55%,25.06%,25.02%,24.43%,24.71%,22.76%,43.00%,39.27%,36.35%
Revenue as Reported,"8,272","8,702","9,176","10,431","9,436","8,341","7,731","7,080","6,704","5,486","5,373"
Advertising Expenses,-,76.17,81.96,88.67,66.38,60.87,62.91,57.45,47.05,37.57,33.57
