Period Ending,"Sep '25Sep 30, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016","Dec '15Dec 31, 2015"
Cash & Equivalents,547.02,259.23,268.73,163.64,103.84,128.31,114.67,142.66,105.83,202.88,187.98
Cash & Short-Term Investments,547.02,259.23,268.73,163.64,103.84,128.31,114.67,142.66,105.83,202.88,187.98
Cash Growth,72.32%,-3.53%,64.22%,57.59%,-19.07%,11.90%,-19.62%,34.80%,-47.84%,7.93%,14.26%
Receivables,"5,543","4,254","3,689","3,280","2,937","2,685","2,511","1,932","1,815","1,437","1,315"
Inventory,149,122.58,184.61,265.15,328.1,185.65,190.83,148.5,231.49,216.82,171.58
Restricted Cash,-,-,-,-,-,-,-,-,0.05,-,-
Other Current Assets,265.57,208.72,189.16,191.6,199.64,177.04,231.15,115.68,151.83,127.16,77.01
Total Current Assets,"6,504","4,845","4,331","3,901","3,568","3,176","3,048","2,339","2,304","1,984","1,752"
"Property, Plant & Equipment",186.42,292.21,295.02,280.42,248.87,225.43,205.59,72.95,75.25,70.91,88.28
Goodwill,902.28,893.52,684.35,493.03,428.35,429.37,415.15,166.84,131.43,62.65,56.2
Other Intangible Assets,373.93,426.49,369.69,205,214.79,246.92,278.58,112.18,100.78,20.71,26.98
Long-Term Accounts Receivable,59.39,86.95,132.78,-,147.14,154.66,154.42,38.16,32.23,-,-
Long-Term Deferred Tax Assets,-,3.44,3.06,5.62,5.69,4.29,3.57,7.97,17.06,52.35,62.99
Other Long-Term Assets,875.75,901.35,470.16,227.84,75.94,73.61,72.84,39.27,24.56,29.09,27.91
Total Assets,"8,902","7,449","6,286","5,113","4,689","4,311","4,178","2,776","2,686","2,219","2,014"
Accounts Payable,"4,267","3,060","2,255","1,785","1,780","1,461","1,276",978.1,899.08,"1,070",905.46
Accrued Expenses,513.59,493.6,517.76,414.58,402.82,387.27,332.56,253.03,171.22,149.73,141.15
Short-Term Debt,240.3,217.6,231.85,301.31,311.88,356.93,253.68,304.13,319.47,154.93,106.33
Current Portion of Long-Term Debt,0.01,332.88,348,346.2,-,-,-,-,16.59,0.48,-
Current Portion of Leases,-,18.45,20.58,19.24,20.7,21.95,21.34,1.4,-,-,1.54
Current Unearned Revenue,-,-,-,-,-,-,-,-,88.98,61.1,50.17
Other Current Liabilities,-,-,-,-,-,-,-,-,4.64,2.16,3.49
Total Current Liabilities,"5,021","4,122","3,373","2,866","2,515","2,227","1,884","1,537","1,500","1,439","1,208"
Long-Term Debt,"1,393",531.23,592.52,291.67,361.54,436.42,855.54,194,296.58,40.25,89
Long-Term Leases,-,65.9,71.03,63.32,58.47,66.35,62.42,1.53,-,-,-
Long-Term Deferred Tax Liabilities,70.24,64.46,27.59,32.84,47.07,33.21,44.63,0.68,0.72,0.9,0.24
Other Long-Term Liabilities,837.18,894.18,486.1,220.27,197.51,204.86,171.74,56.09,44.92,26.04,30.91
Total Liabilities,"7,321","5,678","4,551","3,475","3,180","2,968","3,018","1,789","1,842","1,506","1,328"
Common Stock,0.31,0.32,0.33,0.34,0.35,0.35,0.35,0.36,0.36,0.36,0.37
Additional Paid-In Capital,156.8,342.89,328.61,327.87,368.28,364.29,357.03,323.62,317.16,309.65,316.69
Retained Earnings,"1,468","1,509","1,448","1,369","1,168",993.25,841.1,704.67,550.22,459.54,408.72
Comprehensive Income & Other,-44.83,-81.16,-41.61,-58.8,-27.09,-15.46,-38.16,-41.65,-24.26,-56.1,-40.04
Shareholders' Equity,"1,581","1,771","1,736","1,638","1,509","1,342","1,160",986.99,843.47,713.44,685.74
Total Liabilities & Equity,"8,902","7,449","6,286","5,113","4,689","4,311","4,178","2,776","2,686","2,219","2,014"
Total Debt,"1,633","1,166","1,264","1,022",752.59,881.66,"1,193",501.05,632.64,195.66,196.86
Net Cash (Debt),"-1,086",-906.83,-995.26,-858.11,-648.75,-753.34,"-1,078",-358.4,-526.81,7.22,-8.88
Net Cash Per Share,-32.04,-23.78,-26.72,-23.43,-17.60,-21.25,-29.99,-9.95,-14.55,0.20,-0.23
Filing Date Shares Outstanding,30.98,31.78,32.59,33.81,34.9,35.1,35.26,35.5,35.84,35.49,37.11
Total Common Shares Outstanding,30.97,31.78,32.59,34.01,34.9,35.1,35.26,35.48,35.83,35.48,37.11
Working Capital,"1,483",722.42,957.92,"1,034","1,053",948.99,"1,165",801.92,804.37,544.94,543.53
Book Value Per Share,51.05,55.72,53.26,48.17,43.25,38.24,32.90,27.82,23.54,20.11,18.48
Tangible Book Value,304.52,450.6,681.7,940.04,866.09,666.15,466.59,707.97,611.26,630.09,602.56
Tangible Book Value Per Share,9.83,14.18,20.92,27.64,24.82,18.98,13.23,19.95,17.06,17.76,16.24
Land,-,36.91,38.2,38.2,38.64,39.82,31.37,5.12,5.18,5.13,5.12
Buildings,-,93.42,109.64,98.23,83.41,66.84,92.09,64.26,65.47,63.25,65.42
Machinery,-,98.63,96.79,94.81,85.12,100.34,95.43,138.62,142,130.08,130.13
Leasehold Improvements,-,53.66,28.08,26.07,42.25,35.67,33.67,26.32,25.98,21.13,21.97
