Period Ending,"Nov '25Nov 18, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016","Dec '15Dec 31, 2015"
Market Capitalization,"2,505","1,343",492,216,534,"1,559",190,164,131,208,232
Market Cap Growth,52.59%,173.13%,127.16%,-59.47%,-65.74%,720.77%,15.59%,25.42%,-37.09%,-10.15%,-53.78%
Enterprise Value,"2,246",991,464,155,413,"1,546",183,122,98,148,133
Last Close Price,11.89,8.54,4.46,2.81,6.97,20.70,3.95,3.98,4.45,8.37,9.37
PS Ratio,36.99,21.07,8.41,4.20,12.27,89.57,44.93,82.56,68.12,110.36,132.43
PB Ratio,8.06,4.26,5.39,6.12,6.07,20.48,-52.32,4.58,5.01,4.00,2.59
P/TBV Ratio,9.74,4.26,5.39,6.12,6.07,20.48,-,4.58,5.01,4.00,2.59
EV/Sales Ratio,40.27,15.54,7.94,3.01,9.50,88.85,43.26,61.11,50.83,78.46,76.14
Debt / Equity Ratio,0.30,0.24,0.92,1.82,0.67,0.77,-16.35,0.69,0.69,0.30,0.17
Asset Turnover,0.12,0.18,0.29,0.29,0.19,0.10,0.06,0.03,0.03,0.02,0.02
Inventory Turnover,65.67,49.86,31.01,35.98,44.46,28.56,74.15,220.53,260.83,222.74,201.72
Quick Ratio,7.62,10.27,6.36,3.94,7.04,9.01,4.74,5.93,3.11,8.24,19.57
Current Ratio,7.85,10.66,6.66,4.13,7.26,9.23,5.00,6.14,3.23,8.42,19.89
Return on Equity (ROE),-81.83%,-95.21%,-127.64%,-115.16%,-7.99%,-429.55%,-535.72%,-193.41%,-162.21%,-63.14%,-53.61%
Return on Assets (ROA),-36.61%,-30.53%,-25.66%,-27.76%,-20.90%,-23.06%,-70.66%,-57.52%,-56.97%,-29.24%,-25.33%
Return on Capital (ROIC),-43.27%,-38.31%,-37.56%,-39.86%,-34.65%,-41.29%,-92.16%,-70.49%,-66.42%,-31.39%,-26.76%
Return on Capital Employed (ROCE),-73.00%,-41.60%,-37.90%,-66.70%,-43.70%,-26.70%,-128.60%,-92.50%,-141.50%,-65.00%,-36.40%
Earnings Yield,-9.93%,-14.41%,-16.42%,-32.83%,-1.23%,-9.98%,-45.48%,-36.50%,-48.39%,-21.47%,-17.15%
FCF Yield,-7.93%,-10.13%,-15.53%,-29.26%,-12.50%,-3.49%,-42.03%,-31.11%,-44.83%,-17.25%,-15.33%
Buyback Yield / Dilution,-26.34%,-84.90%,-3.57%,-0.59%,-35.24%,-34.19%,-18.78%,-32.26%,-16.13%,-6.76%,-118.20%
