Period Ending,"Nov '25Nov 18, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016","Dec '15Dec 31, 2015"
Market Capitalization,"2,235","2,163","1,703","2,128","2,027","1,732","2,218","1,907","2,158","2,411","1,557"
Market Cap Growth,5.18%,27.05%,-19.98%,4.97%,17.03%,-21.89%,16.27%,-11.63%,-10.48%,54.89%,-5.95%
Last Close Price,36.74,34.69,26.55,32.00,28.91,23.63,28.81,23.10,25.17,27.37,17.09
PE Ratio,10.22,9.70,10.29,29.60,13.76,10.82,14.74,12.75,20.43,22.24,13.41
PS Ratio,2.88,4.16,2.52,3.41,3.05,2.64,3.68,3.25,3.69,4.41,2.81
PB Ratio,1.04,1.10,1.02,1.43,1.16,1.00,1.34,1.20,1.37,1.59,1.06
P/FCF Ratio,8.16,23.15,10.86,7.88,6.31,40.50,22.37,8.49,11.16,17.45,9.74
P/OCF Ratio,7.81,18.50,8.65,7.18,5.81,26.51,19.04,7.97,10.45,16.25,9.02
Debt / Equity Ratio,0.41,0.45,0.69,1.19,0.32,0.32,0.27,0.12,0.96,1.07,1.00
Debt / FCF Ratio,3.19,9.54,7.33,6.56,1.73,12.98,4.46,0.88,7.79,11.75,9.20
Return on Equity (ROE),10.87%,2.50%,9.72%,3.77%,8.46%,9.41%,9.25%,9.46%,6.83%,7.24%,8.02%
Return on Assets (ROA),1.19%,0.24%,0.83%,0.34%,0.86%,1.06%,1.12%,1.10%,0.78%,0.83%,0.93%
Earnings Yield,9.98%,10.31%,9.72%,3.38%,7.27%,9.24%,6.78%,7.84%,4.89%,4.50%,7.46%
FCF Yield,12.25%,4.32%,9.21%,12.68%,15.86%,2.47%,4.47%,11.77%,8.96%,5.73%,10.27%
Dividend Yield,2.56%,2.65%,3.46%,2.88%,3.18%,3.89%,3.19%,3.98%,3.65%,3.36%,5.38%
Payout Ratio,26.23%,25.46%,34.23%,78.84%,39.42%,36.73%,39.75%,41.73%,59.45%,57.80%,53.95%
Buyback Yield / Dilution,0.75%,-0.25%,0.33%,2.45%,1.06%,1.74%,4.27%,0.34%,-0.15%,-0.14%,-0.14%
Total Shareholder Return,3.35%,2.40%,3.79%,5.32%,4.24%,5.63%,7.46%,4.32%,3.50%,3.23%,5.24%
