Period Ending,"Nov '25Nov 13, 2025","Jan '25Jan 31, 2025","Jan '24Jan 31, 2024","Jan '23Jan 31, 2023","Jan '22Jan 31, 2022","Jan '21Jan 31, 2021","Jan '20Jan 31, 2020","Dec '15Dec 31, 2015","Dec '09Dec 31, 2009"
Market Capitalization,"7,333","11,809","11,072","7,394","9,268",-,-,-,-
Market Cap Growth,-15.16%,6.66%,49.73%,-20.22%,-,-,-,-,-
Enterprise Value,"6,168","10,938","10,129","6,518","8,368",-,-,-,-
Last Close Price,43.97,72.76,71.11,49.41,64.01,-,-,-,-
Forward PE,49.92,92.64,218.13,-,-,-,-,-,-
PS Ratio,8.39,15.55,19.09,17.43,36.68,-,-,-,-
PB Ratio,8.46,14.38,18.26,8.97,11.60,-,-,-,-
P/TBV Ratio,8.77,15.92,20.15,9.75,12.20,-,-,-,-
P/FCF Ratio,206.63,-,331.08,-,-,-,-,-,-
P/OCF Ratio,175.16,-,315.98,-,-,-,-,-,-
PEG Ratio,1.54,2.49,7.27,-,-,-,-,-,-
EV/Sales Ratio,7.19,14.41,17.47,15.36,33.12,-,-,-,-
EV/FCF Ratio,173.81,-,302.89,-,-,-,-,-,-
Debt / Equity Ratio,0,0,0.00,0.00,-,-,-,-,-
Debt / FCF Ratio,0.01,-,0.01,-,-,-,-,-,-
Asset Turnover,0.60,0.56,0.47,0.38,0.35,0.40,-,-,-
Quick Ratio,2.46,2.33,1.79,3.50,4.19,2.54,4.73,28.33,0.30
Current Ratio,2.60,2.45,1.90,3.65,4.35,2.74,4.94,27.89,0.30
Return on Equity (ROE),-1.52%,-1.28%,-60.03%,-22.39%,-31.74%,-79.41%,-,-,-
Return on Assets (ROA),-4.07%,-6.22%,-9.00%,-11.69%,-11.09%,-35.44%,-,-,-
Return on Capital (ROIC),-7.32%,-11.85%,-15.65%,-16.26%,-16.23%,-55.23%,-,-,-
Earnings Yield,-0.12%,-0.05%,-3.84%,-2.34%,-1.67%,-,-,-,-
FCF Yield,0.48%,-0.64%,0.30%,-1.13%,-0.58%,-,-,-,-
Buyback Yield / Dilution,-3.99%,-4.08%,-3.96%,-86.08%,-58.42%,-6.42%,-,-,-
