Period Ending,"Jul '25Jul 31, 2025","Jan '25Jan 31, 2025","Jan '24Jan 31, 2024","Jan '23Jan 31, 2023","Jan '22Jan 31, 2022","Jan '21Jan 31, 2021","Jan '20Jan 31, 2020","Dec '15Dec 31, 2015","Dec '09Dec 31, 2009"
Cash & Equivalents,261.37,227.65,288,295.4,884.67,282.85,343.33,5.23,0.06
Short-Term Investments,903.81,764.73,748.29,641.25,50.03,-,-,-,-
Cash & Short-Term Investments,"1,165",992.38,"1,036",936.65,934.7,282.85,343.33,5.23,0.06
Cash Growth,7.58%,-4.24%,10.64%,0.21%,230.46%,-17.61%,6466.91%,8522.88%,-
Accounts Receivable,197.78,267,168.64,132.01,77.23,39.65,24.78,0.34,-
Other Receivables,-,11.54,9.82,2.31,0.05,-,-,-,-
Receivables,197.78,278.54,178.46,134.32,77.28,39.65,24.78,0.34,-
Prepaid Expenses,37.91,24.85,36.09,15.73,14.25,4.88,5.86,-,-
Restricted Cash,-,-,-,2.5,-,-,-,-,-
Other Current Assets,35.31,40.55,33.63,28.76,25.61,21.11,10.52,-,-
Total Current Assets,"1,436","1,336","1,284","1,118","1,052",348.49,384.48,5.48,0.06
"Property, Plant & Equipment",8.04,4.39,3.36,6.8,3.27,-,-,0.04,0.49
Long-Term Investments,-,-,-,12.68,-,-,-,-,-
Goodwill,16.63,16.14,8.15,8.15,8.15,-,-,-,-
Other Intangible Assets,13.8,17.98,2.07,4.5,7.25,0.8,-,-,-
Long-Term Deferred Charges,18.96,20.14,19.32,15.63,14.74,11.78,5.73,-,-
Other Long-Term Assets,4.58,4.29,4.05,3.49,6.18,1.5,1.65,-,-
Total Assets,"1,498","1,399","1,321","1,169","1,091",362.57,391.85,5.58,0.57
Accounts Payable,11.4,7.52,1.74,5.18,4.98,3.11,1.67,0.1,-
Accrued Expenses,82.5,75.26,60.11,39.19,52.03,19.1,13.82,-,-
Current Portion of Leases,-,0.28,0.41,0.72,-,-,-,-,-
Current Income Taxes Payable,-,13.11,269.93,0.86,0.32,0.21,0.22,-,-
Current Unearned Revenue,459.46,442.6,338.35,254.38,179.22,103.54,61.52,-,-
Other Current Liabilities,-,6.27,6.63,5.97,5.05,1.23,0.56,-,-
Total Current Liabilities,553.36,545.03,677.16,306.3,241.6,127.18,77.79,0.2,0.2
Long-Term Leases,0.4,0.12,-,0.41,-,-,-,-,-
Long-Term Unearned Revenue,25.75,26.37,23.79,28.36,32.57,30.63,18.74,1.45,-
Long-Term Deferred Tax Liabilities,-,0.04,10.56,0.85,0.38,-,-,-,-
Other Long-Term Liabilities,7.1,6.4,3.5,8.56,17.62,11.08,4.92,-,-
Total Liabilities,586.61,577.96,715.01,344.48,292.17,168.88,101.45,1.64,0.2
Additional Paid-In Capital,"2,081","1,952","1,719","1,497","1,320",186.89,67.17,-,-
Retained Earnings,"-1,213","-1,168","-1,161",-725.65,-553.34,-398.2,-206.01,-,-
Comprehensive Income & Other,-1.51,-8.51,2.4,-0.71,7.72,-19.92,4.09,-,-
Total Common Equity,866.55,775.91,559.77,771.02,774.87,-231.22,-134.75,3.94,0.37
Minority Interest,45.03,45.4,46.62,53.71,24.4,-,-,-,-
Shareholders' Equity,911.58,821.31,606.39,824.73,799.27,193.68,290.4,3.94,0.37
Total Liabilities & Equity,"1,498","1,399","1,321","1,169","1,091",362.57,391.85,5.58,0.57
Total Debt,0.4,0.39,0.41,1.13,-,-,-,-,-
Net Cash (Debt),"1,165",991.99,"1,036",935.52,934.7,282.85,343.33,-,-
Net Cash Growth,7.57%,-4.24%,10.73%,0.09%,230.46%,-17.61%,-,-,-
Net Cash Per Share,7.11,6.18,6.71,6.30,11.72,5.62,7.26,-,-
Filing Date Shares Outstanding,166.7,164,158.6,151.8,147.6,55.04,47.31,-,-
Total Common Shares Outstanding,166.71,163.91,157.56,151.14,146.89,53.62,47.31,-,-
Working Capital,882.81,791.29,607.3,811.67,810.24,221.31,306.69,-,-
Book Value Per Share,5.20,4.73,3.55,5.10,5.28,-4.31,-2.85,-,-
Tangible Book Value,836.11,741.79,549.56,758.38,759.47,-232.02,-134.75,-,-
Tangible Book Value Per Share,5.02,4.53,3.49,5.02,5.17,-4.33,-2.85,-,-
Machinery,-,7.01,9.18,8.58,3.05,-,-,-,-
Leasehold Improvements,-,0.08,1.15,1.21,0.77,-,-,-,-
