Period Ending,"Sep '25Sep 30, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020",2015 - 2019
Cash & Equivalents,242.01,228.13,183.73,201.04,148.15,312.05,Upgrade
Cash & Short-Term Investments,242.01,228.13,183.73,201.04,148.15,312.05,Upgrade
Cash Growth,30.76%,24.17%,-8.62%,35.71%,-52.52%,71.81%,Upgrade
Accounts Receivable,268.23,327.26,235.72,190.88,114.18,148.45,Upgrade
Other Receivables,-,18.09,23.63,29.78,26,24.03,Upgrade
Receivables,274.93,354.88,259.35,220.65,140.19,172.48,Upgrade
Inventory,"1,662","1,788","1,801","1,429","1,020",858.29,Upgrade
Prepaid Expenses,38.13,18.96,15.78,16.62,15.99,14.91,Upgrade
Total Current Assets,"2,217","2,390","2,260","1,868","1,324","1,358",Upgrade
"Property, Plant & Equipment","1,817","1,727","1,608","1,471","1,347","1,264",Upgrade
Goodwill,440.75,427.49,420.71,416.36,370.33,292.14,Upgrade
Other Intangible Assets,-,12,12,12.3,14.1,7,Upgrade
Long-Term Accounts Receivable,-,4.7,-,-,-,-,Upgrade
Other Long-Term Assets,77.6,56.6,62.98,53.38,63.88,64.23,Upgrade
Total Assets,"4,553","4,618","4,364","3,821","3,120","2,985",Upgrade
Accounts Payable,280.65,244.02,162.13,171.72,122.29,110.73,Upgrade
Accrued Expenses,178.12,152.81,165.85,158,126.83,148.53,Upgrade
Short-Term Debt,"1,007","1,081","1,140",933.2,630.73,511.79,Upgrade
Current Portion of Long-Term Debt,0.13,-,-,-,-,141.67,Upgrade
Current Portion of Leases,54.5,54.34,53.56,44.21,38.79,36.57,Upgrade
Other Current Liabilities,102.12,117.75,152.03,121.54,84.86,77.51,Upgrade
Total Current Liabilities,"1,623","1,650","1,673","1,429","1,004","1,027",Upgrade
Long-Term Debt,263.01,408.44,414,275.43,334.93,387.98,Upgrade
Long-Term Leases,197.7,190.11,202.13,182.51,147.81,141.9,Upgrade
Long-Term Deferred Tax Liabilities,198.45,178.92,159.57,151.97,140.47,126.44,Upgrade
Other Long-Term Liabilities,34.56,28.06,24.81,19.46,26.51,34.25,Upgrade
Total Liabilities,"2,316","2,456","2,474","2,058","1,653","1,717",Upgrade
Common Stock,0.83,0.82,0.81,0.57,0.56,0.55,Upgrade
Additional Paid-In Capital,628.08,587.64,542.05,500.64,470.75,437.65,Upgrade
Retained Earnings,"1,855","1,699","1,450","1,378","1,032",831.85,Upgrade
Treasury Stock,-262.5,-136.24,-119.84,-130.93,-36.93,-2.88,Upgrade
Comprehensive Income & Other,-6.46,-9.29,-2.16,-4.13,0.79,0.87,Upgrade
Total Common Equity,"2,214","2,142","1,871","1,744","1,467","1,268",Upgrade
Minority Interest,22.25,20.35,19.54,18.53,-,-,Upgrade
Shareholders' Equity,"2,237","2,162","1,890","1,763","1,467","1,268",Upgrade
Total Liabilities & Equity,"4,553","4,618","4,364","3,821","3,120","2,985",Upgrade
Total Debt,"1,522","1,734","1,809","1,435","1,152","1,220",Upgrade
Net Cash (Debt),"-1,280","-1,506","-1,626","-1,234","-1,004",-907.86,Upgrade
Net Cash Per Share,-15.71,-18.41,-19.42,-14.40,-11.57,-10.76,Upgrade
Filing Date Shares Outstanding,77.84,79.25,77.88,81.56,83.09,82.61,Upgrade
Total Common Shares Outstanding,77.84,79.27,77.83,81.64,83.26,82.46,Upgrade
Working Capital,594.72,739.6,586.99,439.07,320.95,330.93,Upgrade
Book Value Per Share,28.45,27.02,24.04,21.37,17.62,15.38,Upgrade
Tangible Book Value,"1,774","1,702","1,438","1,316","1,082",968.9,Upgrade
Tangible Book Value Per Share,22.79,21.47,18.48,16.12,13.00,11.75,Upgrade
Land,-,174.96,172.4,162.64,156.17,136.02,Upgrade
Buildings,-,616.52,591.99,570.6,552.97,495.81,Upgrade
Machinery,-,"1,665","1,508","1,379","1,228","1,171",Upgrade
Construction In Progress,-,14,31.04,14.59,6.66,2.99,Upgrade
Leasehold Improvements,-,47.52,43.09,42.24,39.67,38.77,Upgrade
Order Backlog,-,"1,513","3,733",-,-,-,Upgrade
